strategy,tp,sl,rr,horizon_min,train_n,train_net,train_ev,train_wr,train_pf,train_dd,train_streak,train_tp,train_sl,train_time,oos_n,oos_net,oos_ev,oos_wr,oos_pf,oos_dd,oos_streak,oos_tp,oos_sl,oos_time,all_n,all_net,all_wr,all_pf,n_2018,net_2018,wr_2018,tp_2018,sl_2018,time_2018,n_2019,net_2019,wr_2019,tp_2019,sl_2019,time_2019,n_2020,net_2020,wr_2020,tp_2020,sl_2020,time_2020,n_2021,net_2021,wr_2021,tp_2021,sl_2021,time_2021,n_2022,net_2022,wr_2022,tp_2022,sl_2022,time_2022,n_2023,net_2023,wr_2023,tp_2023,sl_2023,time_2023,n_2024,net_2024,wr_2024,tp_2024,sl_2024,time_2024,n_2025,net_2025,wr_2025,tp_2025,sl_2025,time_2025,n_2026,net_2026,wr_2026,tp_2026,sl_2026,time_2026,oos_all_years_positive,train_pos_years
CORE A - Asia Compression Breakout,6.0,20.0,0.3,1440,220,-75.11100000000033,-0.34141363636363786,0.6272727272727273,0.9103554702605156,196.30600000000027,4,120,23,77,176,185.1450000000002,1.0519602272727284,0.7727272727272727,1.300878527272373,64.49800000000005,3,133,26,17,396,110.03399999999988,0.6919191919191919,1.0757171640435335,34,29.55899999999974,0.6176470588235294,14,0,20,58,-51.58899999999994,0.5344827586206896,24,4,30,45,-84.83599999999979,0.6222222222222222,26,8,11,40,-20.996000000000322,0.625,24,5,11,43,52.750999999999976,0.7674418604651163,32,6,5,46,81.3240000000003,0.7391304347826086,33,3,10,45,-2.782000000000153,0.7333333333333333,31,8,6,50,26.603000000000065,0.78,39,10,1,35,80.0,0.8571428571428571,30,5,0,False,2
CORE A - Asia Compression Breakout,6.0,25.0,0.24,1440,220,-87.46900000000028,-0.3975863636363649,0.6318181818181818,0.897133294288933,209.41100000000029,4,120,14,86,176,185.49000000000046,1.0539204545454572,0.7897727272727273,1.2930317865792116,72.15299999999979,3,136,21,19,396,98.02100000000019,0.702020202020202,1.0660823006815132,34,29.55899999999974,0.6176470588235294,14,0,20,58,-71.58899999999994,0.5344827586206896,24,4,30,45,-75.96699999999964,0.6444444444444445,26,5,14,40,-23.29700000000048,0.625,24,2,14,43,53.825000000000045,0.7674418604651163,32,3,8,46,66.3240000000003,0.7391304347826086,33,3,10,45,5.208000000000084,0.7555555555555555,32,6,7,50,58.958000000000084,0.82,41,7,2,35,55.0,0.8571428571428571,30,5,0,True,2
CORE A - Asia Compression Breakout,6.0,30.0,0.2,1440,220,-46.634000000000015,-0.21197272727272734,0.6363636363636364,0.942813978042353,163.4889999999998,4,121,6,93,176,234.5429999999999,1.3326306818181812,0.8068181818181818,1.3896386743084972,73.05000000000018,3,139,13,24,396,187.90899999999988,0.7121212121212122,1.1325703086362702,34,29.55899999999974,0.6176470588235294,14,0,20,58,-73.87999999999988,0.5344827586206896,24,2,32,45,-38.974999999999454,0.6666666666666666,27,1,17,40,-2.1630000000004657,0.625,24,0,16,43,38.825000000000045,0.7674418604651163,32,3,8,46,51.3240000000003,0.7391304347826086,33,3,10,45,4.871000000000095,0.7555555555555555,32,3,10,50,112.3479999999995,0.86,43,3,4,35,66.0,0.8857142857142857,31,4,0,True,2
CORE A - Asia Compression Breakout,6.0,35.0,0.17142857142857143,1440,220,-22.81100000000015,-0.10368636363636431,0.6409090909090909,0.9714024592054719,165.66599999999994,4,122,4,94,176,246.8230000000001,1.4024034090909097,0.8125,1.4143619789480755,74.64499999999998,3,140,10,26,396,224.01199999999994,0.7171717171717171,1.160775008863683,34,29.55899999999974,0.6176470588235294,14,0,20,58,-71.05700000000002,0.5344827586206896,24,1,33,45,-43.974999999999454,0.6666666666666666,27,1,17,40,-2.1630000000004657,0.625,24,0,16,43,64.82500000000005,0.7906976744186046,33,2,8,46,36.3240000000003,0.7391304347826086,33,3,10,45,26.151000000000295,0.7555555555555555,32,1,12,50,97.3479999999995,0.86,43,3,4,35,87.0,0.9142857142857143,32,3,0,True,2
CORE A - Asia Compression Breakout,7.5,8.0,0.9375,1440,220,-121.32099999999991,-0.5514590909090905,0.4818181818181818,0.8467795813878888,208.23600000000033,6,83,90,47,176,37.58200000000011,0.2135340909090915,0.5284090909090909,1.057486982751764,77.0,5,92,81,3,396,-83.7389999999998,0.5025252525252525,0.9420713843471886,34,24.29600000000005,0.5882352941176471,10,6,18,58,-137.38699999999994,0.3620689655172414,9,24,25,45,-19.0,0.4888888888888889,22,23,0,40,-15.628000000000156,0.475,19,19,2,43,26.39800000000014,0.5581395348837209,23,18,2,46,4.580000000000155,0.5217391304347826,23,21,2,45,46.50199999999995,0.5777777777777777,26,18,1,50,3.0,0.52,26,24,0,35,-16.5,0.4857142857142857,17,18,0,False,2
CORE A - Asia Compression Breakout,7.5,10.0,0.75,1440,220,-157.52099999999996,-0.7160045454545453,0.5136363636363637,0.8198654488526101,268.5580000000002,5,89,75,56,176,105.4659999999999,0.5992386363636357,0.5965909090909091,1.158210786703609,115.0,5,102,65,9,396,-52.055000000000064,0.5505050505050505,0.966221740597503,34,26.895999999999958,0.5882352941176471,10,2,22,58,-127.07399999999984,0.41379310344827586,12,20,26,45,-63.766999999999825,0.4888888888888889,22,22,1,40,-40.05600000000027,0.5,19,17,4,43,46.48000000000002,0.627906976744186,26,14,3,46,38.48400000000015,0.5869565217391305,25,15,6,45,59.48199999999974,0.6444444444444445,28,14,3,50,-10.0,0.56,28,22,0,35,17.5,0.6,21,14,0,False,2
CORE A - Asia Compression Breakout,7.5,12.0,0.625,1440,220,-123.29100000000062,-0.5604136363636392,0.5409090909090909,0.8597164540830833,239.50400000000081,4,93,57,70,176,197.1170000000002,1.1199829545454556,0.6647727272727273,1.3023865151233913,102.0,5,112,52,12,396,73.82599999999957,0.5959595959595959,1.0482289296491043,34,25.852999999999838,0.5882352941176471,10,1,23,58,-126.47499999999991,0.43103448275862066,13,16,29,45,-43.78699999999981,0.5555555555555556,23,16,6,40,-22.538000000000693,0.525,20,12,8,43,43.65599999999995,0.6511627906976745,27,12,4,46,34.38900000000035,0.6304347826086957,25,13,8,45,90.72799999999984,0.7111111111111111,31,10,4,50,4.5,0.62,31,19,0,35,67.5,0.7142857142857143,25,10,0,True,2
CORE A - Asia Compression Breakout,7.5,15.0,0.5,1440,220,-70.92699999999991,-0.3223954545454541,0.5681818181818182,0.9183096417818996,198.3820000000003,4,98,38,84,176,134.37300000000027,0.7634829545454561,0.6818181818181818,1.1836637621732449,119.89699999999993,5,114,44,18,396,63.44600000000037,0.6186868686868687,1.0396570464919899,34,22.852999999999838,0.5882352941176471,10,1,23,58,-109.94699999999966,0.4482758620689655,14,9,35,45,-44.13499999999976,0.5777777777777777,24,12,9,40,16.9879999999996,0.6,22,7,11,43,43.31400000000008,0.6744186046511628,28,9,6,46,35.55200000000036,0.6521739130434783,26,9,11,45,83.71799999999985,0.7333333333333333,31,8,6,50,-22.396999999999935,0.64,32,17,1,35,37.5,0.7142857142857143,25,10,0,False,3
CORE A - Asia Compression Breakout,7.5,20.0,0.375,1440,220,-113.91999999999985,-0.5178181818181811,0.5772727272727273,0.8760817825426732,252.75900000000001,4,99,24,97,176,167.26400000000035,0.9503636363636384,0.7215909090909091,1.2226523293674147,107.39699999999993,4,121,31,24,396,53.344000000000506,0.6414141414141414,1.0319319984436266,34,27.212999999999738,0.5882352941176471,10,0,24,58,-129.08299999999963,0.4482758620689655,14,5,39,45,-70.19699999999966,0.5777777777777777,24,8,13,40,-6.424000000000433,0.6,22,5,13,43,64.57100000000014,0.7209302325581395,29,6,8,46,50.94300000000044,0.6521739130434783,26,3,17,45,43.71799999999985,0.7333333333333333,31,8,6,50,-24.896999999999935,0.7,35,14,1,35,97.5,0.8285714285714286,29,6,0,False,2
CORE A - Asia Compression Breakout,7.5,25.0,0.3,1440,220,-131.2779999999998,-0.5967181818181809,0.5818181818181818,0.8598586181644275,270.86400000000003,4,99,15,106,176,160.32900000000086,0.9109602272727322,0.7386363636363636,1.2053738524265738,76.32199999999966,3,124,25,27,396,29.051000000001068,0.6515151515151515,1.0169154599653092,34,27.212999999999738,0.5882352941176471,10,0,24,58,-154.08299999999963,0.4482758620689655,14,5,39,45,-61.32799999999952,0.6,24,5,16,40,-8.725000000000591,0.6,22,2,16,43,65.64500000000021,0.7209302325581395,29,3,11,46,35.94300000000044,0.6521739130434783,26,3,17,45,53.208000000000084,0.7555555555555555,32,6,7,50,3.6780000000003383,0.74,37,10,3,35,67.5,0.8285714285714286,29,6,0,True,2
