strategy,tp,sl,rr,horizon_min,train_n,train_net,train_ev,train_wr,train_pf,train_dd,train_streak,train_tp,train_sl,train_time,oos_n,oos_net,oos_ev,oos_wr,oos_pf,oos_dd,oos_streak,oos_tp,oos_sl,oos_time,all_n,all_net,all_wr,all_pf,n_2018,net_2018,wr_2018,tp_2018,sl_2018,time_2018,n_2019,net_2019,wr_2019,tp_2019,sl_2019,time_2019,n_2020,net_2020,wr_2020,tp_2020,sl_2020,time_2020,n_2021,net_2021,wr_2021,tp_2021,sl_2021,time_2021,n_2022,net_2022,wr_2022,tp_2022,sl_2022,time_2022,n_2023,net_2023,wr_2023,tp_2023,sl_2023,time_2023,n_2024,net_2024,wr_2024,tp_2024,sl_2024,time_2024,n_2025,net_2025,wr_2025,tp_2025,sl_2025,time_2025,n_2026,net_2026,wr_2026,tp_2026,sl_2026,time_2026,oos_all_years_positive,train_pos_years,smooth_score,profit_score
CORE B - Thu/Fri Asia Close Breakout,15.0,30.0,0.5,480,482,265.06800000000203,0.5499336099585105,0.5186721991701245,1.1491508180652406,122.17500000000041,6,84,8,390,324,564.1639999999993,1.7412469135802449,0.5987654320987654,1.311234048375102,172.23999999999978,7,141,33,150,806,829.2320000000013,0.5508684863523573,1.2309935598962523,97,10.78300000000013,0.4845360824742268,4,0,93,97,-74.6810000000005,0.422680412371134,7,0,90,91,72.3030000000008,0.5384615384615384,22,3,66,97,128.0560000000005,0.5463917525773195,27,3,67,100,128.6070000000011,0.6,24,2,74,98,62.122999999999365,0.4897959183673469,25,2,71,99,199.25400000000104,0.6262626262626263,35,5,59,81,107.7869999999989,0.6049382716049383,46,15,20,46,195.0,0.7608695652173914,35,11,0,True,4,1.1706069293347243,29.666729551700676
CORE B - Thu/Fri Asia Close Breakout,15.0,35.0,0.42857142857142855,480,482,257.47400000000175,0.5341784232365182,0.5186721991701245,1.1442613214550863,132.1750000000004,6,84,4,394,324,558.1129999999994,1.7225709876543192,0.6018518518518519,1.304361246188756,184.73699999999963,7,142,23,159,806,815.5870000000011,0.5521091811414393,1.225394045146959,97,10.78300000000013,0.4845360824742268,4,0,93,97,-74.6810000000005,0.422680412371134,7,0,90,91,57.30300000000079,0.5384615384615384,22,3,66,97,134.33800000000042,0.5463917525773195,27,1,69,100,129.7310000000009,0.6,24,0,76,98,62.78299999999945,0.4897959183673469,25,1,72,99,206.19700000000103,0.6262626262626263,35,1,63,81,99.1329999999989,0.6049382716049383,46,11,24,46,190.0,0.782608695652174,36,10,0,True,4,1.1672219282058345,29.20456196470606
CORE B - Thu/Fri Asia Close Breakout,20.0,10.0,2.0,480,482,97.25000000000341,0.2017634854771855,0.46265560165975106,1.0524561903159149,130.81099999999878,7,45,152,285,324,234.8280000000002,0.7247777777777784,0.4228395061728395,1.1366086808304678,121.47500000000014,8,78,161,85,806,332.0780000000036,0.4466501240694789,1.0929432611111791,97,21.540999999999713,0.4845360824742268,2,7,88,97,-56.900999999999385,0.41237113402061853,4,26,67,91,-6.163999999999078,0.45054945054945056,12,42,37,97,69.95000000000005,0.4639175257731959,17,41,39,100,68.82400000000212,0.5,10,36,54,98,35.81399999999985,0.4387755102040816,15,38,45,99,73.56500000000074,0.45454545454545453,23,49,27,81,15.448999999999614,0.37037037037037035,21,47,13,46,110.0,0.41304347826086957,19,27,0,True,3,0.6519114251643534,11.85174130212458
CORE B - Thu/Fri Asia Close Breakout,20.0,12.0,1.6666666666666667,480,482,109.39300000000412,0.22695643153527825,0.48132780082987553,1.057600061500164,126.93000000000006,6,46,111,325,324,344.63100000000054,1.0636759259259276,0.4691358024691358,1.1918635141379448,115.66800000000035,7,86,134,104,806,454.02400000000466,0.47642679900744417,1.122861537495685,97,16.774000000000115,0.4845360824742268,2,4,91,97,-80.57499999999936,0.41237113402061853,4,20,73,91,11.624000000000933,0.4835164835164835,12,31,48,97,76.41000000000031,0.4845360824742268,18,29,50,100,85.16000000000213,0.54,10,27,63,98,50.96399999999994,0.46938775510204084,15,27,56,99,87.42200000000116,0.5050505050505051,24,41,34,81,118.24499999999944,0.4444444444444444,27,40,14,46,88.0,0.43478260869565216,20,26,0,True,4,0.8138082473111544,18.018266193787383
CORE B - Thu/Fri Asia Close Breakout,20.0,15.0,1.3333333333333333,480,482,140.17400000000316,0.29081742738589866,0.49377593360995853,1.0731643282274106,138.1959999999999,6,47,65,370,324,465.8450000000007,1.4377932098765454,0.5092592592592593,1.2532848271054922,94.29800000000023,7,91,101,132,806,606.0190000000039,0.5,1.161385883119274,97,16.951000000000022,0.4845360824742268,2,1,94,97,-64.95000000000005,0.422680412371134,4,8,85,91,-14.541999999999007,0.4945054945054945,12,22,57,97,113.78700000000026,0.5154639175257731,18,16,63,100,88.92800000000193,0.55,11,18,71,98,95.20000000000005,0.4897959183673469,15,16,67,99,143.81400000000144,0.5555555555555556,25,29,45,81,76.83099999999922,0.4691358024691358,27,34,20,46,150.0,0.5217391304347826,24,22,0,True,3,0.9791656965558382,24.975290501843638
CORE B - Thu/Fri Asia Close Breakout,20.0,20.0,1.0,480,482,331.8870000000022,0.688562240663905,0.5124481327800829,1.1852340520294233,103.51200000000085,6,49,25,408,324,565.1759999999999,1.7443703703703701,0.5432098765432098,1.2972854977218715,133.0699999999997,7,98,71,155,806,897.0630000000021,0.5248138957816377,1.2429196073806634,97,19.909000000000106,0.4845360824742268,2,0,95,97,-61.77200000000039,0.422680412371134,4,2,91,91,92.98600000000079,0.5384615384615384,14,9,68,97,165.25900000000024,0.5360824742268041,18,6,73,100,115.50500000000147,0.58,11,8,81,98,102.91500000000019,0.4897959183673469,15,7,76,99,215.5370000000014,0.6060606060606061,27,19,53,81,126.72399999999834,0.5185185185185185,30,25,26,46,120.0,0.5652173913043478,26,20,0,True,4,1.1152077967605092,30.112559491324948
CORE B - Thu/Fri Asia Close Breakout,20.0,25.0,0.8,480,482,313.52800000000207,0.6504730290456474,0.5124481327800829,1.1732126164868226,118.80899999999951,6,49,16,417,324,674.6719999999996,2.08232098765432,0.5648148148148148,1.3492767233408536,188.64999999999964,7,105,52,167,806,988.2000000000016,0.533498759305211,1.2641044102389771,97,19.909000000000106,0.4845360824742268,2,0,95,97,-62.9020000000005,0.422680412371134,4,1,92,91,101.15700000000083,0.5384615384615384,14,5,72,97,176.0970000000002,0.5360824742268041,18,3,76,100,79.26700000000142,0.58,11,7,82,98,87.58400000000006,0.4897959183673469,15,4,79,99,255.52100000000132,0.6161616161616161,28,12,59,81,86.56699999999819,0.5308641975308642,31,21,29,46,245.0,0.6739130434782609,31,15,0,True,4,1.2494523098861063,35.64766928627889
CORE B - Thu/Fri Asia Close Breakout,20.0,30.0,0.6666666666666666,480,482,303.320000000002,0.6292946058091328,0.5124481327800829,1.166633338533988,122.97799999999961,6,49,9,424,324,762.4799999999993,2.3533333333333313,0.5771604938271605,1.3963368676246917,167.8699999999999,7,109,36,179,806,1065.8000000000013,0.5384615384615384,1.2846610482299896,97,19.909000000000106,0.4845360824742268,2,0,95,97,-57.862000000000535,0.422680412371134,4,0,93,91,90.36300000000097,0.5384615384615384,14,3,74,97,161.0970000000002,0.5360824742268041,18,3,76,100,89.81300000000124,0.58,11,3,86,98,82.55699999999979,0.4897959183673469,15,2,81,99,282.5000000000016,0.6161616161616161,28,5,66,81,127.42299999999796,0.5555555555555556,33,16,32,46,270.0,0.717391304347826,33,13,0,True,4,1.3523486765804835,40.74075053014367
CORE B - Thu/Fri Asia Close Breakout,20.0,35.0,0.5714285714285714,480,482,296.9570000000017,0.6160933609958541,0.5124481327800829,1.1625694510214626,120.62299999999982,6,49,4,429,324,746.4289999999994,2.3037932098765412,0.5802469135802469,1.3808565776590167,177.0,7,110,26,188,806,1043.386000000001,0.5397022332506204,1.2755530413710126,97,19.909000000000106,0.4845360824742268,2,0,95,97,-57.862000000000535,0.422680412371134,4,0,93,91,75.36300000000097,0.5384615384615384,14,3,74,97,167.37900000000013,0.5360824742268041,18,1,78,100,92.16800000000103,0.58,11,0,89,98,83.21699999999987,0.4897959183673469,15,1,82,99,289.4430000000016,0.6161616161616161,28,1,70,81,113.76899999999796,0.5555555555555556,33,12,36,46,260.0,0.7391304347826086,34,12,0,True,4,1.3384922347848756,39.75540626442659
CORE B - Thu/Fri Asia Close Breakout,25.0,12.0,2.0833333333333335,480,482,75.72900000000391,0.15711410788382554,0.47717842323651455,1.0395566958936358,138.92399999999884,7,21,112,349,324,421.6670000000015,1.301441358024696,0.4537037037037037,1.2298936365673445,105.86599999999976,7,63,137,124,806,497.3960000000054,0.46774193548387094,1.1326875854479994,97,17.167000000000144,0.4845360824742268,0,4,93,97,-75.13499999999931,0.41237113402061853,3,20,74,91,36.688000000000784,0.4835164835164835,7,31,53,97,41.3720000000003,0.4742268041237113,8,29,60,100,55.63700000000199,0.53,3,28,69,98,101.3090000000002,0.46938775510204084,10,27,61,99,102.77000000000203,0.5050505050505051,16,41,42,81,66.58799999999928,0.3950617283950617,18,42,21,46,151.0,0.41304347826086957,19,27,0,True,4,0.8779249190084822,22.401768489929633
