engine,tp,sl,filter,train_n,train_final,train_multiple,train_dd,train_wr,train_pos_years,modern_final,modern_dd,train_score,retain_train
B,6,8,spread<=0.75,189,73.79300000000057,0.2459766666666686,0.7664638063681026,0.4656084656084656,0,187.3580000000029,0.7953761594282578,-1000000000.0,0.9813278008298755
B,6,8,spread<=1.0,189,73.79300000000057,0.2459766666666686,0.7664638063681026,0.4656084656084656,0,199.3580000000029,0.7953761594282578,-1000000000.0,0.9896265560165975
B,6,8,spread<=1.25,189,73.79300000000057,0.2459766666666686,0.7664638063681026,0.4656084656084656,0,199.3580000000029,0.7953761594282578,-1000000000.0,0.9979253112033195
B,6,8,body>=0.40,292,78.6040000000005,0.262013333333335,0.7512382073605676,0.5,1,203.36700000000178,0.8146542541049695,-1000000000.0,0.8464730290456431
B,6,8,body>=0.60,310,143.88299999999958,0.4796099999999986,0.7686211537761994,0.5419354838709678,2,288.40100000000143,0.6966511466496993,-1000000000.0,0.6431535269709544
B,6,8,close>=0.70,320,149.7840000000008,0.4992800000000026,0.715565881181546,0.55625,2,308.17800000000284,0.6879969510372429,-1000000000.0,0.6639004149377593
B,6,8,trend>=2,189,73.79300000000057,0.2459766666666686,0.7664638063681026,0.4656084656084656,0,199.3580000000029,0.7840108661075351,-1000000000.0,0.995850622406639
B,6,8,trend=3,229,77.93700000000104,0.25979000000000346,0.7533490937746224,0.4847161572052402,0,416.6010000000042,0.6192660805234184,-1000000000.0,0.8568464730290456
B,6,8,mom>=0,256,78.01700000000119,0.26005666666667066,0.7545137599667688,0.48828125,0,201.3580000000029,0.7953761594282578,-1000000000.0,0.983402489626556
B,6,8,mom>=0.15,252,79.08800000000133,0.2636266666666711,0.7567024644150245,0.49206349206349204,0,203.56600000000253,0.7872870694150081,-1000000000.0,0.9626556016597511
B,6,8,emaAligned,189,73.79300000000057,0.2459766666666686,0.7664638063681026,0.4656084656084656,0,77.55200000000195,0.8145106124460002,-1000000000.0,1.0
B,6,8,prevRoom>=0,174,79.54499999999985,0.2651499999999995,0.7573575167465867,0.46551724137931033,0,210.9010000000021,0.6554033887409292,-1000000000.0,0.6950207468879668
B,6,8,prevDist>=0.25,177,72.79100000000085,0.2426366666666695,0.7696348831100577,0.4519774011299435,0,218.86500000000296,0.7132582624959888,-1000000000.0,0.9336099585062241
B,6,8,prevDist>=0.50,249,78.02700000000073,0.26009000000000243,0.7399099999999976,0.4979919678714859,1,239.55300000000284,0.6698461476559981,-1000000000.0,0.8049792531120332
B,6,8,break>=0.05,305,139.97700000000123,0.4665900000000041,0.6833518146161899,0.5344262295081967,1,312.14100000000417,0.7176747471206265,-1000000000.0,0.6327800829875518
B,6,8,break>=0.10,228,101.92300000000091,0.3397433333333364,0.732765650483001,0.5219298245614035,1,280.04200000000424,0.715073577860748,-1000000000.0,0.4730290456431535
B,6,8,break<=0.25,206,78.23500000000081,0.26078333333333603,0.7555874211950216,0.47572815533980584,0,79.15900000000101,0.7849489532565023,-1000000000.0,0.7842323651452282
B,6,8,asiaRatio>=0.80,118,72.12400000000139,0.24041333333333795,0.7595866666666621,0.4491525423728814,0,146.29800000000114,0.7601630464518225,-1000000000.0,0.6680497925311203
B,6,8,time<=12,162,73.14700000000084,0.24382333333333614,0.7685082330899616,0.4506172839506173,0,192.57700000000182,0.7022672955974805,-1000000000.0,0.7780082987551867
B,6,8,time<=13,185,72.22800000000029,0.24076000000000097,0.7714166358103801,0.4540540540540541,0,201.0250000000019,0.6924134598750846,-1000000000.0,0.8423236514522822
B,6,8,LONG,263,141.44800000000146,0.4714933333333382,0.6625998756040351,0.532319391634981,1,216.04400000000123,0.6959646391208663,-1000000000.0,0.5456431535269709
B,6,8,SHORT,101,74.25600000000054,0.2475200000000018,0.7549961891375551,0.43564356435643564,0,257.0640000000019,0.6317099999999967,-1000000000.0,0.45435684647302904
B,6,8,Thu-Fri,189,73.79300000000057,0.2459766666666686,0.7664638063681026,0.4656084656084656,0,77.55200000000195,0.8145106124460002,-1000000000.0,1.0
B,6,8,spread<=10%TP,189,73.79300000000057,0.2459766666666686,0.7664638063681026,0.4656084656084656,0,78.84300000000167,0.8114227900902627,-1000000000.0,0.9688796680497925
B,6,8,spread<=15%TP,189,73.79300000000057,0.2459766666666686,0.7664638063681026,0.4656084656084656,0,199.3580000000029,0.7953761594282578,-1000000000.0,0.9896265560165975
B,6,8,lowSpread+close,316,149.7840000000008,0.4992800000000026,0.715565881181546,0.5569620253164557,2,322.17800000000284,0.6618951195719626,-1000000000.0,0.6556016597510373
B,6,8,body+close,302,173.32100000000105,0.5777366666666701,0.6651698847477906,0.5562913907284768,2,371.14800000000287,0.6134229585950495,-1000000000.0,0.6265560165975104
B,6,8,trend+mom,255,72.01700000000119,0.24005666666667064,0.773393202142184,0.48627450980392156,0,201.3580000000029,0.7840108661075351,-1000000000.0,0.979253112033195
B,6,8,trend+close,318,149.7840000000008,0.4992800000000026,0.715565881181546,0.5566037735849056,2,322.17800000000284,0.6274833897863445,-1000000000.0,0.6597510373443983
B,6,8,trend+lowSpread,189,73.79300000000057,0.2459766666666686,0.7664638063681026,0.4656084656084656,0,199.3580000000029,0.7840108661075351,-1000000000.0,0.9854771784232366
B,6,8,break+trend,304,141.97700000000123,0.47325666666667077,0.6833518146161899,0.5361842105263158,1,320.4540000000045,0.7220416065040024,-1000000000.0,0.6307053941908713
B,6,8,prevRoom+trend,172,75.02499999999964,0.2500833333333321,0.771145234696244,0.46511627906976744,0,178.9010000000021,0.6198412984887828,-1000000000.0,0.6908713692946058
B,6,8,prevDist+trend,177,72.79100000000085,0.2426366666666695,0.7696348831100577,0.4519774011299435,0,217.78300000000286,0.70511292773937,-1000000000.0,0.9315352697095436
B,6,8,early+trend,185,72.22800000000029,0.24076000000000097,0.7714166358103801,0.4540540540540541,0,201.0250000000019,0.6924134598750846,-1000000000.0,0.8423236514522822
B,6,8,lowSpread+body,289,78.6040000000005,0.262013333333335,0.7512382073605676,0.5017301038062284,1,205.24900000000184,0.8202877569139825,-1000000000.0,0.8402489626556017
B,6,8,TPspread+close,316,149.7840000000008,0.4992800000000026,0.715565881181546,0.5569620253164557,2,322.17800000000284,0.6618951195719626,-1000000000.0,0.6556016597510373
B,6,10,ALL,189,94.23100000000113,0.3141033333333371,0.7017827021244912,0.47619047619047616,0,270.26600000000303,0.7600800430081784,-1000000000.0,1.0
B,6,10,spread<=0.5,189,94.23100000000113,0.3141033333333371,0.7017827021244912,0.47619047619047616,0,90.24600000000191,0.7926647153694482,-1000000000.0,0.9522821576763485
B,6,10,spread<=0.75,189,94.23100000000113,0.3141033333333371,0.7017827021244912,0.47619047619047616,0,268.26600000000303,0.7600800430081784,-1000000000.0,0.9813278008298755
B,6,10,spread<=1.0,189,94.23100000000113,0.3141033333333371,0.7017827021244912,0.47619047619047616,0,270.26600000000303,0.7600800430081784,-1000000000.0,0.9896265560165975
B,6,10,spread<=1.25,189,94.23100000000113,0.3141033333333371,0.7017827021244912,0.47619047619047616,0,278.613000000003,0.7638777207500651,-1000000000.0,0.9979253112033195
B,6,10,body>=0.40,291,97.29700000000116,0.3243233333333372,0.6920795870637755,0.5189003436426117,1,274.54600000000187,0.7048038057671648,-1000000000.0,0.8464730290456431
B,6,10,body>=0.60,251,96.33699999999908,0.32112333333333026,0.7353582691441335,0.5378486055776892,1,369.2970000000014,0.637596185392499,-1000000000.0,0.6431535269709544
B,6,10,close>=0.70,255,95.55300000000034,0.3185100000000011,0.7087331585685529,0.5490196078431373,1,213.02900000000182,0.6870977868466462,-1000000000.0,0.6639004149377593
B,6,10,trend>=2,189,94.23100000000113,0.3141033333333371,0.7017827021244912,0.47619047619047616,0,99.49300000000176,0.7592052973721239,-1000000000.0,0.995850622406639
B,6,10,trend=3,223,92.0700000000013,0.30690000000000434,0.7464690996307289,0.5022421524663677,0,435.46900000000323,0.6492841345594187,-1000000000.0,0.8568464730290456
B,6,10,mom>=0,255,91.44000000000165,0.3048000000000055,0.7646713660333034,0.5058823529411764,0,277.4040000000032,0.750173457150335,-1000000000.0,0.983402489626556
B,6,10,mom>=0.15,250,96.17500000000177,0.32058333333333927,0.7506274827053279,0.508,0,277.96000000000276,0.7378086043936308,-1000000000.0,0.9626556016597511
