portfolio,components,train_score,train_final,train_dd,train_wr,train_trades,train_pos_years,oos_final,oos_multiple,oos_dd,oos_wr,oos_trades,oos_pos_years,oos_max_day_loss,full_final,full_dd,oos_ret_2023,oos_ret_2024,oos_ret_2025,oos_ret_2026
A:20/15|close>=0.85 + B:20/20|trend=3,2,1.87591012898339,2939.280000000016,0.5347368421052628,0.543046357615894,453,4,3387.42299999998,11.291409999999933,0.7638361261469406,0.5461346633416458,401,4,0.1980772136530956,49296.34599999975,0.7685430550447835,0.8606100000000052,2.1732514247119665,0.13333370971428438,0.6874485347632331
A:15/15|close>=0.85 + B:20/20|mom>=0,2,1.8205872911115522,2440.624000000013,0.42674137025107073,0.5317324185248714,583,4,3195.04199999999,10.650139999999967,0.6960641006410687,0.5537383177570093,428,4,0.19338856384935876,39627.53399999988,0.7316970553517305,0.7249200000000011,0.9923745255818663,0.2948925612459934,1.3932145954958828
A:20/12|close>=0.85 + B:20/20|break>=0.05,2,1.7271451230471453,2563.327000000004,0.5522826867716102,0.5486486486486486,370,4,2939.546999999994,9.79848999999998,0.6034948825319163,0.5218855218855218,297,4,0.19122073725155433,42173.36999999992,0.6586927406789063,0.5889600000000041,0.19232705669116723,0.43489253441431086,2.6043869942505045
A:15/15|close>=0.85 + B:20/20|trend+mom,2,1.7803640181394254,2408.8050000000126,0.44497749754415156,0.5301204819277109,581,4,2929.8429999999903,9.766143333333302,0.7011164419478267,0.5539906103286385,426,4,0.1966987394889109,40342.78999999988,0.731880879923553,0.7249200000000011,0.9904691232057179,0.20370769499620112,1.3630758087919301
A:20/15|close>=0.85 + B:20/20|break+trend,2,1.7044580905389408,2424.1330000000044,0.5223143291163306,0.5555555555555556,369,4,2583.977999999996,8.613259999999986,0.5623933579265442,0.5322033898305085,295,4,0.17693965178276513,24971.95499999996,0.6020699773186474,0.7043133333333351,0.21019609070319678,0.16195459996185124,2.5939597595475945
A:20/12|close>=0.85 + B:20/20|break+trend,2,1.7270374446823167,2563.051000000004,0.5522826867716102,0.5474254742547425,369,4,2493.9369999999944,8.313123333333316,0.6172302041919386,0.5220338983050847,295,4,0.1993564110529857,42703.848999999915,0.6587158751187732,0.5889600000000041,0.19080195012251044,0.2718196888526263,2.454507803312495
A:20/15|close>=0.85 + B:15/20|trend=3,2,1.8057694132714108,2760.930000000013,0.5392221567471994,0.5484581497797357,454,4,2489.0009999999897,8.296669999999965,0.7611751293606998,0.5635910224438903,401,4,0.1966398638259405,30573.05499999989,0.7730978873995257,0.9432466666666695,1.3866741913018448,0.1959451446740479,0.4957929712782656
A:15/15|close>=0.85 + B:20/20|trend=3,2,1.9005798753029917,2848.8590000000154,0.4920515299738376,0.5410526315789473,475,4,2485.3189999999904,8.284396666666634,0.7263596580299736,0.5561097256857855,401,4,0.19508822051905492,39240.37799999985,0.7638067348545444,0.7610566666666698,0.9255882358508274,0.27326478073291116,0.918692615487003
A:20/15|close>=0.85 + B:15/20|trend=3 + C:20/20|Thu-Fri,3,1.709627635272792,2647.037000000009,0.5755654671985504,0.5213270142180095,844,4,2398.595999999903,7.995319999999677,0.9766691230834662,0.5371794871794872,780,2,0.2957858945793442,27893.647999998895,0.9812843026742128,0.6941766666666589,6.049689819833867,-0.32219414539556823,-0.012352816195036587
A:20/15|close>=0.85 + B:20/20|break>=0.05,2,1.7045719391970728,2424.409000000004,0.5223143291163306,0.5567567567567567,370,4,2364.9599999999964,7.883199999999988,0.5623933579265442,0.531986531986532,297,3,0.1904882849704754,23738.21999999997,0.6020435683443809,0.7043133333333351,-0.07563554432479114,0.44927658890190325,2.452697967764554
A:20/15|close>=0.85 + B:20/12|close>=0.85,2,1.9633817627838024,3040.6760000000195,0.4835231763699532,0.5527950310559007,322,4,2028.019999999994,6.7600666666666465,0.6760093726850659,0.49433962264150944,265,4,0.19733632910082716,20612.765999999956,0.732129592350917,1.137400000000004,0.6144848881818965,0.3069626366832785,0.49888397806388896
A:20/12|close>=0.85 + B:20/8|close>=0.85,2,1.7495174794660804,2736.2500000000196,0.5702195695935137,0.5062111801242236,322,4,1739.7829999999767,5.799276666666589,0.7896321502147327,0.43018867924528303,265,3,0.1946231305536045,19144.759999999776,0.7995573088059199,1.2439000000000031,1.100169348010125,-0.0014061683257056146,0.23233032271957188
A:15/15|close>=0.85 + B:20/12|close>=0.85,2,1.7049254652352108,2264.7590000000137,0.4567586970262916,0.5527950310559007,322,4,1637.4679999999953,5.458226666666651,0.7105425525068153,0.5094339622641509,265,4,0.19586783243277128,12230.613999999972,0.7396591543275142,1.056113333333336,0.22138208983291574,0.3425556484689185,0.6189024269675392
A:20/15|close>=0.85 + B:15/20|trend=3 + C:15/25|Thu-Fri,3,1.6725496457639253,2469.048000000009,0.5498928126724961,0.5269526952695269,909,4,1218.8729999999887,4.062909999999962,0.9589734246035464,0.5576923076923077,780,3,0.2957018831324443,11058.86099999987,0.9719439489328042,0.79091333333333,2.956165755275733,-0.48707131582724306,0.11797261736496223
A:20/15|close>=0.85 + B:20/8|close>=0.85,2,2.0308855228011944,3435.241000000029,0.5277192467386562,0.515527950310559,322,4,1110.4999999999804,3.7016666666666014,0.8429372477385769,0.44150943396226416,265,3,0.1918083482300178,15088.395999999775,0.8456252418683071,1.1104233333333347,0.9729785651219738,-0.21666482540872278,0.13490035769034514
A:20/15|close>=0.85 + B:20/12|close>=0.85 + C:20/25|break>=0.10,3,1.6916294998230255,2729.813000000019,0.6123286021861734,0.5010845986984815,922,4,1055.2310000000052,3.517436666666684,0.8335509004325641,0.5182250396196514,631,3,0.2888599765113294,11516.390000000083,0.8774727318764542,0.8502999999999983,0.8011493631663487,-0.4665423084616912,0.9784925874330321
A:20/15|close>=0.85 + B:15/20|trend=3 + C:15/20|Thu-Fri,3,1.8659417905520954,3096.01100000001,0.5772503520717336,0.5243757431629013,841,4,1003.7889999999516,3.345963333333172,0.9726458984592187,0.5474358974358975,780,2,0.2978037158879378,12529.378999999288,0.9801221310283426,1.2859999999999898,2.2874730242053327,-0.3294494819141448,-0.3360257284581488
A:15/15|close>=0.85 + B:20/8|close>=0.85,2,1.6877946144071163,2448.5320000000197,0.5308385323744191,0.515527950310559,322,4,957.237999999985,3.1907933333332834,0.827944124006916,0.45660377358490567,265,3,0.18832254427402592,8461.091999999873,0.8492992437824529,0.8034399999999997,0.6232551863845124,-0.04781760648939526,0.14469564884638375
A:20/15|close>=0.85 + B:20/8|close>=0.85 + C:15/25|break>=0.10,3,1.7036704551187158,2797.9700000000275,0.6245956421879881,0.4945770065075922,922,4,752.1309999999935,2.5071033333333115,0.831729248541464,0.5071315372424723,631,3,0.26280968693653173,4645.351999999976,0.8951975669185791,1.0369166666666563,0.6210383340833772,-0.4072832372276365,0.28102757306291415
A:20/15|close>=0.85 + B:15/20|trend=3 + C:20/20|break>=0.05,3,2.08722537776016,4058.3430000000108,0.5593818564733568,0.5038503850385039,909,3,140.63599999998587,0.46878666666661956,0.9661414721944855,0.5207439198855508,699,2,0.2932482781034369,12628.341999999784,0.9779131175397798,0.657809999999998,1.3320062813792624,-0.6847440996648716,-0.6153661018061917
