system,year,start,final,return_pct,max_dd_pct,win_rate_pct,trades,max_day_loss_pct,max_nominal_risk_pct,end_tradable,min_equity_for_001,reclaims
A Smooth + B Partial Balanced,2022,300.0,588.7010000000016,96.23366666666719,22.9397266005147,63.559322033898304,118,9.443561733743485,19.588446734116218,True,200.0,
A Smooth + B Reclaim,2022,300.0,715.1570000000006,138.38566666666688,24.00787131148301,72.5609756097561,164,8.89568914903838,19.543512408908885,True,200.0,46.0
B Partial Balanced,2022,300.0,393.37600000000134,31.12533333333378,22.19104031910878,58.16326530612245,98,6.944893563038834,9.965991055522998,True,200.0,
B20/25 + Momentum,2022,300.0,409.07400000000143,36.358000000000466,23.15835602408737,59.183673469387756,98,7.127116397214145,8.450913712790632,True,250.0,
B5/20 + Momentum,2022,300.0,389.874,29.95800000000002,23.528666093328262,78.57142857142857,98,9.942285035369688,9.942285035369688,True,200.0,
A Smooth + B Partial Balanced,2023,300.0,699.295000000001,133.09833333333367,19.2883908030142,56.09756097560976,123,10.242281160860136,19.824683713691886,True,200.0,
A Smooth + B Reclaim,2023,300.0,557.6470000000006,85.88233333333355,13.121731010617395,65.33333333333333,150,11.159157483609986,18.611100125392273,True,200.0,27.0
B Partial Balanced,2023,300.0,487.69800000000055,62.56600000000019,21.369691932091897,55.434782608695656,92,9.08626270657049,9.9943781622837,True,200.0,
B20/25 + Momentum,2023,300.0,351.17100000000005,17.05700000000001,34.102714350080525,47.82608695652174,92,7.616076623823694,8.856674212553099,True,250.0,
B5/20 + Momentum,2023,300.0,378.999,26.333000000000006,14.127447307175881,71.73913043478261,92,6.340148993501346,7.049998590000279,True,200.0,
A Smooth + B Partial Balanced,2024,300.0,597.6410000000019,99.2136666666673,24.2503333333334,62.18487394957983,119,12.854213932682471,17.172025053984544,True,200.0,
A Smooth + B Reclaim,2024,300.0,532.2769999999985,77.42566666666615,19.215117106349087,71.875,160,8.271144664387979,17.74430019807077,True,200.0,41.0
B Partial Balanced,2024,300.0,554.1750000000027,84.72500000000089,31.48866666666671,62.10526315789474,95,8.61938931626694,9.90788147201391,True,200.0,
B20/25 + Momentum,2024,300.0,245.27600000000007,-18.24133333333331,20.34502132026511,50.0,16,8.987859199792918,9.875450814329675,False,250.0,
B5/20 + Momentum,2024,300.0,390.83399999999915,30.277999999999714,20.189724066324857,81.05263157894737,95,9.97919338179897,9.97919338179897,True,200.0,
A Smooth + B Partial Balanced,2025,300.0,457.4569999999976,52.48566666666588,24.456680250228537,53.63636363636364,110,10.92774613284632,19.831383660427292,True,200.0,
A Smooth + B Reclaim,2025,300.0,385.91499999999996,28.63833333333332,36.05618831512156,67.74193548387096,155,9.400925991210125,15.082785639679768,True,200.0,45.0
B Partial Balanced,2025,300.0,487.14399999999796,62.38133333333265,23.22353243474248,52.63157894736842,76,8.636622735045727,9.877006575617168,True,200.0,
B20/25 + Momentum,2025,300.0,460.84099999999853,53.613666666666184,24.88089235841636,56.57894736842105,76,9.971660540743239,9.971660540743239,True,250.0,
B5/20 + Momentum,2025,300.0,387.7829999999999,29.26099999999996,21.73913043478261,85.52631578947368,76,9.930905723429245,9.930905723429245,True,200.0,
A Smooth + B Partial Balanced,2026,300.0,190.0,-36.66666666666667,36.666666666666664,28.57142857142857,14,17.391304347826086,17.77777777777778,False,200.0,
A Smooth + B Reclaim,2026,300.0,191.0,-36.33333333333333,41.59021406727829,55.55555555555556,27,14.652014652014653,18.433179723502306,False,200.0,4.0
B Partial Balanced,2026,300.0,566.5500000000002,88.85000000000005,25.0,56.52173913043478,46,8.610483263373153,9.83888820563276,True,200.0,
B20/25 + Momentum,2026,300.0,245.0,-18.333333333333336,18.333333333333332,25.0,4,9.25925925925926,10.0,False,250.0,
B5/20 + Momentum,2026,300.0,330.0,10.000000000000009,23.809523809523807,82.6086956521739,46,7.6923076923076925,8.333333333333332,True,200.0,
