family,variant,n_2023,n_2024,n_2025,n_2026
asia_body_cont_10,th=1.0,218,232,247,162
asia_body_fade_10,th=1.0,218,232,247,162
asia_body_cont_10,th=2.0,176,205,233,156
asia_body_fade_10,th=2.0,176,205,233,156
asia_body_cont_10,th=3.0,148,185,221,155
asia_body_fade_10,th=3.0,148,185,221,155
asia_body_cont_10,th=5.0,83,138,199,153
asia_body_fade_10,th=5.0,83,138,199,153
asia_body_cont_10,th=8.0,38,81,167,141
asia_body_fade_10,th=8.0,38,81,167,141
asia_outside_10_cont,b=1.0,45,40,44,29
asia_outside_10_fade,b=1.0,45,40,44,29
asia_outside_10_cont,b=2.0,27,26,39,25
asia_outside_10_fade,b=2.0,27,26,39,25
rsi_cont_600,th=52.0,221,221,214,143
rsi_fade_600,th=52.0,221,221,214,143
rsi_cont_600,th=55.0,176,170,161,113
rsi_fade_600,th=55.0,176,170,161,113
rsi_cont_600,th=58.0,132,126,126,82
rsi_fade_600,th=58.0,132,126,126,82
z_cont_600,z=0.75,162,164,170,111
z_fade_600,z=0.75,162,164,170,111
z_cont_600,z=1.0,134,139,132,93
z_fade_600,z=1.0,134,139,132,93
prevday_cont_600,th=1.0,239,253,251,162
prevday_fade_600,th=1.0,239,253,251,162
prevday_cont_600,th=2.0,223,240,243,160
prevday_fade_600,th=2.0,223,240,243,160
prevday_cont_600,th=3.0,207,226,240,157
prevday_fade_600,th=3.0,207,226,240,157
prevday_cont_600,th=5.0,184,205,223,156
prevday_fade_600,th=5.0,184,205,223,156
prevday_cont_600,th=8.0,139,173,207,150
prevday_fade_600,th=8.0,139,173,207,150
asia_pos_cont_660,f=0.65,205,209,208,117
asia_pos_fade_660,f=0.65,205,209,208,117
asia_pos_cont_660,f=0.7,192,192,188,103
asia_pos_fade_660,f=0.7,192,192,188,103
asia_pos_cont_660,f=0.75,175,175,166,86
asia_pos_fade_660,f=0.75,175,175,166,86
asia_mid_ema_660,cont,180,185,171,97
prevday_cont_660,th=1.0,239,253,251,162
prevday_fade_660,th=1.0,239,253,251,162
prevday_cont_660,th=2.0,223,240,243,160
prevday_fade_660,th=2.0,223,240,243,160
prevday_cont_660,th=3.0,207,226,240,157
prevday_fade_660,th=3.0,207,226,240,157
prevday_cont_660,th=5.0,184,205,223,156
prevday_fade_660,th=5.0,184,205,223,156
prevday_cont_660,th=8.0,139,173,207,150
prevday_fade_660,th=8.0,139,173,207,150
asia_pos_cont_720,f=0.75,184,180,175,97
asia_pos_fade_720,f=0.75,184,180,175,97
prevday_cont_720,th=1.0,239,253,251,162
prevday_fade_720,th=1.0,239,253,251,162
prevday_cont_720,th=2.0,223,240,243,160
prevday_fade_720,th=2.0,223,240,243,160
prevday_cont_720,th=3.0,207,226,240,157
prevday_fade_720,th=3.0,207,226,240,157
prevday_cont_720,th=5.0,184,205,223,156
prevday_fade_720,th=5.0,184,205,223,156
prevday_cont_720,th=8.0,139,173,207,150
prevday_fade_720,th=8.0,139,173,207,150
asia_pos_cont_780,f=0.55,235,249,252,151
asia_pos_fade_780,f=0.55,235,249,252,151
asia_pos_cont_780,f=0.6,218,232,240,143
asia_pos_fade_780,f=0.6,218,232,240,143
asia_pos_cont_780,f=0.65,202,217,224,127
asia_pos_fade_780,f=0.65,202,217,224,127
asia_pos_cont_780,f=0.7,186,199,204,111
asia_pos_fade_780,f=0.7,186,199,204,111
asia_pos_cont_780,f=0.75,175,184,186,99
asia_pos_fade_780,f=0.75,175,184,186,99
prevday_cont_780,th=1.0,239,253,251,162
prevday_fade_780,th=1.0,239,253,251,162
prevday_cont_780,th=2.0,223,240,243,160
prevday_fade_780,th=2.0,223,240,243,160
prevday_cont_780,th=3.0,207,226,240,157
prevday_fade_780,th=3.0,207,226,240,157
prevday_cont_780,th=5.0,184,205,223,156
prevday_fade_780,th=5.0,184,205,223,156
prevday_cont_780,th=8.0,139,173,207,150
prevday_fade_780,th=8.0,139,173,207,150
ema_trend_840,basic,166,174,164,109
asia_pos_cont_840,f=0.55,245,250,236,155
asia_pos_fade_840,f=0.55,245,250,236,155
asia_pos_cont_840,f=0.6,226,233,226,137
asia_pos_fade_840,f=0.6,226,233,226,137
asia_pos_cont_840,f=0.65,213,216,214,125
asia_pos_fade_840,f=0.65,213,216,214,125
asia_pos_cont_840,f=0.7,198,205,200,119
asia_pos_fade_840,f=0.7,198,205,200,119
asia_pos_cont_840,f=0.75,182,192,187,104
asia_pos_fade_840,f=0.75,182,192,187,104
asia_mid_ema_840,cont,158,160,154,94
prevday_cont_840,th=1.0,239,253,251,162
prevday_fade_840,th=1.0,239,253,251,162
prevday_cont_840,th=2.0,223,240,243,160
prevday_fade_840,th=2.0,223,240,243,160
prevday_cont_840,th=3.0,207,226,240,157
prevday_fade_840,th=3.0,207,226,240,157
prevday_cont_840,th=5.0,184,205,223,156
prevday_fade_840,th=5.0,184,205,223,156
prevday_cont_840,th=8.0,139,173,207,150
prevday_fade_840,th=8.0,139,173,207,150
ema_trend_900,basic,153,162,151,110
rsi_cont_900,th=52.0,222,224,235,148
rsi_fade_900,th=52.0,222,224,235,148
rsi_cont_900,th=55.0,169,184,195,126
rsi_fade_900,th=55.0,169,184,195,126
rsi_cont_900,th=58.0,113,135,144,92
rsi_fade_900,th=58.0,113,135,144,92
rsi_cont_900,th=60.0,91,103,116,66
rsi_fade_900,th=60.0,91,103,116,66
z_cont_900,z=0.5,203,209,209,134
z_fade_900,z=0.5,203,209,209,134
z_cont_900,z=0.75,166,178,182,114
z_fade_900,z=0.75,166,178,182,114
z_cont_900,z=1.0,136,150,157,96
z_fade_900,z=1.0,136,150,157,96
z_cont_900,z=1.25,104,118,124,78
z_fade_900,z=1.25,104,118,124,78
asia_pos_cont_900,f=0.55,241,247,236,155
asia_pos_fade_900,f=0.55,241,247,236,155
asia_pos_cont_900,f=0.6,235,235,223,146
asia_pos_fade_900,f=0.6,235,235,223,146
asia_pos_cont_900,f=0.65,220,219,198,133
asia_pos_fade_900,f=0.65,220,219,198,133
asia_pos_cont_900,f=0.7,204,211,186,122
asia_pos_fade_900,f=0.7,204,211,186,122
asia_pos_cont_900,f=0.75,180,194,175,108
asia_pos_fade_900,f=0.75,180,194,175,108
prevday_cont_900,th=1.0,239,253,251,162
prevday_fade_900,th=1.0,239,253,251,162
prevday_cont_900,th=2.0,223,240,243,160
prevday_fade_900,th=2.0,223,240,243,160
prevday_cont_900,th=3.0,207,226,240,157
prevday_fade_900,th=3.0,207,226,240,157
prevday_cont_900,th=5.0,184,205,223,156
prevday_fade_900,th=5.0,184,205,223,156
prevday_cont_900,th=8.0,139,173,207,150
prevday_fade_900,th=8.0,139,173,207,150
09_10_cont,th=8.0,6,12,53,85
09_10_fade,th=8.0,6,12,53,85
09_10_ema_cont,th=8.0,6,12,52,82
09_10_cont,th=10.0,4,5,32,61
09_10_fade,th=10.0,4,5,32,61
09_10_ema_cont,th=10.0,4,5,32,58
08_10_cont,th=8.0,13,28,101,98
08_10_fade,th=8.0,13,28,101,98
08_10_ema_cont,th=8.0,13,26,89,80
08_10_cont,th=10.0,8,15,75,86
08_10_fade,th=10.0,8,15,75,86
08_10_ema_cont,th=10.0,8,14,69,71
13_14_ema_cont,th=1.0,134,161,176,137
14_15_cont,th=2.0,82,136,183,144
14_15_fade,th=2.0,82,136,183,144
14_15_ema_cont,th=2.0,78,129,161,122
14_15_cont,th=3.0,49,94,150,129
14_15_fade,th=3.0,49,94,150,129
14_15_ema_cont,th=3.0,48,92,133,112
14_15_cont,th=5.0,18,43,93,106
14_15_fade,th=5.0,18,43,93,106
14_15_ema_cont,th=5.0,18,43,90,98
asia_outside_10_cont,b=3.0,14,17,29,23
asia_outside_10_fade,b=3.0,14,17,29,23
asia_outside_10_cont,b=5.0,11,9,16,18
asia_outside_10_fade,b=5.0,11,9,16,18
z_cont_600,z=1.25,101,110,109,70
z_fade_600,z=1.25,101,110,109,70
ema_slope_720,aligned,154,142,145,97
z_cont_720,z=0.5,198,201,192,123
z_fade_720,z=0.5,198,201,192,123
ema_slope_840,aligned,150,160,153,104
z_cont_840,z=0.75,168,180,169,117
z_fade_840,z=0.75,168,180,169,117
z_cont_840,z=1.0,140,150,143,88
z_fade_840,z=1.0,140,150,143,88
z_cont_840,z=1.25,103,113,109,70
z_fade_840,z=1.25,103,113,109,70
z_cont_840,z=1.5,77,83,82,50
z_fade_840,z=1.5,77,83,82,50
13_14_cont,th=2.0,77,117,167,137
13_14_fade,th=2.0,77,117,167,137
13_14_ema_cont,th=2.0,74,111,149,127
rsi_cont_660,th=58.0,138,135,124,88
rsi_fade_660,th=58.0,138,135,124,88
asia_mid_ema_720,cont,159,167,166,95
z_cont_900,z=1.5,67,91,98,58
z_fade_900,z=1.5,67,91,98,58
z_cont_720,z=0.75,168,159,157,101
z_fade_720,z=0.75,168,159,157,101
z_cont_720,z=1.0,124,117,122,84
z_fade_720,z=1.0,124,117,122,84
z_cont_720,z=1.25,90,87,88,69
z_fade_720,z=1.25,90,87,88,69
rsi_cont_660,th=60.0,108,116,97,64
rsi_fade_660,th=60.0,108,116,97,64
z_cont_660,z=1.25,109,117,101,67
z_fade_660,z=1.25,109,117,101,67
z_cont_660,z=1.5,81,90,75,54
z_fade_660,z=1.5,81,90,75,54
rsi_cont_600,th=60.0,108,100,107,63
rsi_fade_600,th=60.0,108,100,107,63
08_09_cont,th=2.0,78,131,179,150
08_09_fade,th=2.0,78,131,179,150
08_09_ema_cont,th=2.0,76,125,158,134
13_14_cont,th=3.0,43,79,132,119
13_14_fade,th=3.0,43,79,132,119
13_14_ema_cont,th=3.0,43,77,119,114
13_14_cont,th=5.0,16,40,82,92
13_14_fade,th=5.0,16,40,82,92
13_14_ema_cont,th=5.0,16,40,76,88
rsi_cont_720,th=58.0,123,111,109,82
rsi_fade_720,th=58.0,123,111,109,82
rsi_cont_720,th=60.0,94,93,88,60
rsi_fade_720,th=60.0,94,93,88,60
08_09_cont,th=3.0,42,83,150,137
08_09_fade,th=3.0,42,83,150,137
08_09_ema_cont,th=3.0,41,82,139,126
z_cont_600,z=1.5,70,79,76,51
z_fade_600,z=1.5,70,79,76,51
08_09_cont,th=5.0,10,34,98,123
08_09_fade,th=5.0,10,34,98,123
08_09_ema_cont,th=5.0,10,34,94,117
z_cont_720,z=1.5,66,62,66,49
z_fade_720,z=1.5,66,62,66,49
12_13_cont,th=5.0,12,29,83,101
12_13_fade,th=5.0,12,29,83,101
12_13_ema_cont,th=5.0,12,29,80,97
14_15_cont,th=8.0,6,12,47,86
14_15_fade,th=8.0,6,12,47,86
14_15_ema_cont,th=8.0,6,12,47,84
12_13_cont,th=8.0,2,5,40,61
12_13_fade,th=8.0,2,5,40,61
12_13_ema_cont,th=8.0,2,5,39,60
12_13_cont,th=10.0,2,2,27,48
12_13_fade,th=10.0,2,2,27,48
12_13_ema_cont,th=10.0,2,2,26,47
13_14_cont,th=8.0,1,9,49,60
13_14_fade,th=8.0,1,9,49,60
