tm,tp,sl,rr,threshold,freq_ok,all_years_positive,n,positive,negative,wr,net,ev,pf,dd,streak,n_2023,n_2024,n_2025,n_2026,net_2023,net_2024,net_2025,net_2026
600,30.0,25.0,1.2,0.5,True,False,692,317,375,0.45809248554913296,-931.0390000000039,-1.345432080924861,0.8423295435301251,1034.1450000000023,13,198,199,186,109,-224.3270000000016,4.996999999999389,-341.2920000000022,-370.41699999999946
600,30.0,25.0,1.2,0.52,True,False,568,256,312,0.4507042253521127,-770.9790000000044,-1.357357394366205,0.8423122037520893,945.7929999999969,12,155,160,156,97,-198.19100000000276,37.55699999999865,-250.4880000000012,-359.85699999999906
600,30.0,25.0,1.2,0.54,True,False,458,206,252,0.4497816593886463,-689.3160000000028,-1.505056768558958,0.8273462815189662,901.0789999999974,11,122,122,132,82,-169.13900000000172,8.377999999998792,-190.07500000000027,-338.47999999999956
600,30.0,25.0,1.2,0.56,False,False,353,158,195,0.4475920679886686,-653.7320000000004,-1.851932011331446,0.795086067788492,878.8409999999976,11,91,91,104,67,-167.28500000000076,76.29999999999927,-214.26699999999937,-348.47999999999956
600,30.0,25.0,1.2,0.58,False,False,272,119,153,0.4375,-565.6579999999992,-2.079624999999997,0.7786724053604619,822.1809999999987,9,62,69,84,57,-63.06000000000017,148.72699999999986,-247.74499999999898,-403.5799999999999
600,30.0,25.0,1.2,0.6,False,False,206,91,115,0.441747572815534,-420.657999999999,-2.0420291262135875,0.7847738518377916,564.9539999999988,7,43,57,62,44,-65.43899999999985,99.14899999999943,-134.887999999999,-319.47999999999956
600,30.0,25.0,1.2,0.62,False,False,158,65,93,0.41139240506329117,-488.9539999999997,-3.0946455696202513,0.6928804369673579,552.4139999999993,7,33,41,48,36,-30.63099999999963,7.977999999999383,-254.97099999999955,-211.32999999999993
600,30.0,25.0,1.2,0.64,False,False,115,47,68,0.40869565217391307,-426.45399999999927,-3.7082956521739066,0.648490613316101,436.47399999999925,7,21,29,35,30,-76.59099999999944,-31.515000000000782,-189.98799999999937,-128.35999999999967
600,30.0,25.0,1.2,0.66,False,False,79,29,50,0.3670886075949367,-403.7259999999992,-5.110455696202521,0.5515202008420264,405.2259999999992,6,13,21,26,19,-90.67899999999963,3.4140000000002146,-171.46099999999979,-145.0
600,30.0,25.0,1.2,0.68,False,False,55,20,35,0.36363636363636365,-190.59799999999882,-3.46541818181816,0.6660762496430358,207.5279999999998,6,8,16,18,13,-61.97799999999984,46.081000000000586,-124.70099999999957,-50.0
600,30.0,25.0,1.2,0.7,False,False,31,14,17,0.45161290322580644,4.9150000000011005,0.15854838709680968,1.0170774164631198,73.34999999999945,4,5,9,8,9,-18.779999999999973,70.53200000000061,-41.836999999999534,-5.0
840,10.0,10.0,1.0,0.5,True,False,752,344,408,0.4574468085106383,-536.7399999999996,-0.7137499999999994,0.8520264959524669,576.7399999999996,12,200,211,205,136,-90.54500000000007,-146.74300000000017,-219.45199999999932,-80.0
840,10.0,10.0,1.0,0.52,True,False,637,285,352,0.4474097331240188,-502.61599999999953,-0.7890361067503917,0.8384594938665738,544.7579999999994,10,175,176,171,115,-106.10899999999992,-187.0550000000003,-159.45199999999932,-50.0
840,10.0,10.0,1.0,0.54,True,False,516,226,290,0.437984496124031,-488.6020000000003,-0.9469031007751945,0.8115290080587798,544.2410000000004,9,127,139,147,103,-85.68599999999992,-178.93100000000072,-153.98499999999967,-70.0
840,10.0,10.0,1.0,0.56,False,False,413,183,230,0.4430992736077482,-359.68899999999985,-0.8709176755447938,0.8249523312663094,379.68899999999985,11,94,103,129,87,-112.2639999999999,-93.3540000000005,-64.07099999999946,-90.0
840,10.0,10.0,1.0,0.58,False,False,326,144,182,0.44171779141104295,-322.2660000000003,-0.9885460122699395,0.8052381536587119,352.2660000000003,11,72,79,100,75,-73.72800000000007,-106.7640000000008,-31.773999999999432,-110.0
840,10.0,10.0,1.0,0.6,False,False,251,108,143,0.4302788844621514,-301.78599999999983,-1.202334661354581,0.7726609470188052,331.78599999999983,9,49,53,83,66,-72.29100000000017,-77.45800000000031,-32.03699999999935,-120.0
840,10.0,10.0,1.0,0.62,False,False,185,84,101,0.4540540540540541,-156.07399999999961,-0.8436432432432411,0.836536296349052,190.0,6,33,39,60,53,-35.822999999999865,-16.131000000000313,25.880000000000564,-130.0
840,10.0,10.0,1.0,0.64,False,False,146,65,81,0.4452054794520548,-150.19299999999953,-1.0287191780821885,0.803845947897907,180.0,7,21,27,52,46,-44.95199999999954,23.868999999999687,-9.109999999999673,-120.0
840,10.0,10.0,1.0,0.66,False,False,109,45,64,0.41284403669724773,-162.90899999999988,-1.4945779816513751,0.7265200465343495,181.26199999999994,6,13,21,41,34,-27.667999999999893,3.868999999999687,-59.10999999999967,-80.0
840,10.0,10.0,1.0,0.68,False,False,82,32,50,0.3902439024390244,-165.92500000000018,-2.0234756097560997,0.6585378402016769,185.92500000000018,5,8,13,30,31,-32.67399999999998,16.748999999999796,-80.0,-70.0
840,10.0,10.0,1.0,0.7,False,False,64,26,38,0.40625,-113.2510000000002,-1.7695468750000032,0.6965821926799924,140.0,6,2,10,22,30,-20.0,26.748999999999796,-60.0,-60.0
840,15.0,15.0,1.0,0.5,True,False,724,350,374,0.48342541436464087,-216.98099999999909,-0.2996975138121534,0.9516582235670981,339.59099999999944,7,180,189,222,133,-101.05400000000122,50.66500000000224,-271.5920000000001,105.0
840,15.0,15.0,1.0,0.52,True,False,615,298,317,0.4845528455284553,-167.62299999999914,-0.27255772357723435,0.9562508808652579,320.64899999999943,7,144,160,191,120,-195.11900000000105,145.03400000000192,-267.538,150.0
840,15.0,15.0,1.0,0.54,True,False,506,242,264,0.4782608695652174,-266.5929999999994,-0.5268636363636352,0.9181715998271308,345.3049999999989,8,115,126,161,104,-173.59300000000098,145.0110000000011,-298.0109999999995,60.0
840,15.0,15.0,1.0,0.56,False,False,415,201,214,0.4843373493975904,-156.06599999999958,-0.3760626506024086,0.9417411361721526,291.0659999999996,7,87,100,135,93,-150.9490000000012,58.904000000000906,-199.02099999999928,135.0
840,15.0,15.0,1.0,0.58,False,False,327,157,170,0.4801223241590214,-204.68499999999926,-0.6259480122324137,0.9052471554703991,254.61699999999973,7,60,77,115,75,-116.39400000000091,71.04300000000103,-144.33399999999938,-15.0
840,15.0,15.0,1.0,0.6,False,False,266,130,136,0.48872180451127817,-84.69299999999976,-0.31839473684210434,0.952191822037271,208.81699999999955,7,41,59,94,72,-48.64000000000078,62.11100000000033,-98.1639999999993,0.0
