tm,tp,sl,rr,threshold,freq_ok,all_years_positive,n,positive,negative,wr,net,ev,pf,dd,streak,n_2023,n_2024,n_2025,n_2026,net_2023,net_2024,net_2025,net_2026
840,25.0,20.0,1.25,0.62,False,False,157,69,88,0.4394904458598726,-191.3890000000008,-1.2190382165605147,0.8583012197604896,345.83200000000056,5,30,32,49,46,8.640999999999622,-82.28900000000135,-178.49099999999908,60.75
840,25.0,20.0,1.25,0.64,False,False,126,54,72,0.42857142857142855,-261.14300000000003,-2.0725634920634923,0.7699592055341644,372.7059999999999,9,23,24,41,38,36.582999999999856,-87.75200000000063,-180.89399999999932,-29.079999999999927
840,25.0,20.0,1.25,0.66,False,False,94,39,55,0.4148936170212766,-291.71799999999985,-3.1033829787234026,0.6599781569552151,341.4589999999996,7,18,19,32,25,19.76099999999974,-77.19500000000039,-150.20399999999927,-84.07999999999993
840,25.0,20.0,1.25,0.68,False,False,62,26,36,0.41935483870967744,-217.29899999999975,-3.504822580645157,0.6276212721256195,260.0399999999995,13,10,14,20,18,15.376999999999953,-37.816000000000486,-70.77999999999929,-124.07999999999993
840,25.0,20.0,1.25,0.7,False,False,40,20,20,0.5,-58.03099999999995,-1.4507749999999988,0.8054165884278017,160.0399999999995,8,7,9,16,8,-5.6720000000000255,-2.4990000000007058,9.22000000000071,-59.07999999999993
840,30.0,25.0,1.2,0.5,True,False,653,307,346,0.47013782542113325,114.6929999999968,0.17564012251148056,1.0221940903611968,434.8150000000019,8,175,172,179,127,-193.85300000000188,143.4510000000007,-39.28500000000122,204.3799999999992
840,30.0,25.0,1.2,0.52,True,False,555,269,286,0.4846846846846847,400.11999999999944,0.720936936936936,1.0939452815458752,410.2060000000015,8,146,137,157,115,-137.4920000000011,298.23800000000165,-76.8060000000005,316.1799999999994
840,30.0,25.0,1.2,0.54,True,False,448,213,235,0.47544642857142855,326.34399999999846,0.7284464285714252,1.0937438240255168,438.9070000000015,9,106,116,130,96,-108.25000000000182,351.4890000000016,-189.2450000000008,272.34999999999945
840,30.0,25.0,1.2,0.56,False,False,349,164,185,0.4699140401146132,85.00399999999831,0.24356446991403527,1.0302214631263942,431.2700000000009,10,79,84,106,80,-59.48700000000099,205.68200000000047,-268.38099999999986,207.1899999999987
840,30.0,25.0,1.2,0.58,False,False,274,123,151,0.4489051094890511,-276.66700000000355,-1.0097335766423488,0.8868724957791893,433.4450000000015,10,58,64,81,71,26.44199999999887,59.97899999999913,-368.6380000000004,5.549999999998818
840,30.0,25.0,1.2,0.6,False,False,217,103,114,0.47465437788018433,-79.97200000000225,-0.36853456221199193,0.9581857339378296,345.2020000000002,8,39,50,64,64,-13.942000000000462,60.730999999999085,-252.3109999999997,125.54999999999882
840,30.0,25.0,1.2,0.62,False,False,162,78,84,0.48148148148148145,-12.259000000003425,-0.07567283950619398,0.9915551850984367,276.8720000000003,7,28,33,50,51,11.970999999999549,8.436999999998307,-174.57700000000023,141.90999999999894
840,30.0,25.0,1.2,0.64,False,False,124,57,67,0.4596774193548387,-254.87300000000232,-2.0554274193548574,0.7884550101799674,328.35700000000134,5,24,21,37,42,25.392999999999574,-84.11100000000124,-107.57499999999982,-88.58000000000084
840,30.0,25.0,1.2,0.66,False,False,88,41,47,0.4659090909090909,-161.86600000000135,-1.839386363636379,0.7937500398188069,209.02299999999968,4,19,17,27,25,7.607999999999947,-42.92000000000121,-19.73399999999947,-106.82000000000062
840,30.0,25.0,1.2,0.68,False,False,58,30,28,0.5172413793103449,0.301999999998543,0.005206896551699017,1.0006697478022482,94.02299999999968,4,12,10,20,16,7.120999999999867,-17.309000000001106,57.3100000000004,-46.82000000000062
840,30.0,25.0,1.2,0.7,False,False,34,19,15,0.5588235294117647,94.44099999999867,2.777676470588196,1.4549224944363548,59.07999999999993,3,8,6,12,8,7.571999999999889,-9.928000000000793,87.88699999999972,8.909999999999854
