key,family,variant,exit,tp,sl,rr,horizon_min,train_score,train_n,train_R,train_evR,train_wr,train_pf,train_ddR,train_streak,train_pos_years,oos_n,oos_R,oos_evR,oos_wr,oos_pf,oos_ddR,oos_streak,oos_pos_years,all_n,all_R,all_evR,all_pf,n_2018,R_2018,wr_2018,n_2019,R_2019,wr_2019,n_2020,R_2020,wr_2020,n_2021,R_2021,wr_2021,n_2022,R_2022,wr_2022,n_2023,R_2023,wr_2023,n_2024,R_2024,wr_2024,n_2025,R_2025,wr_2025,n_2026,R_2026,wr_2026
trend_pullback_600|f025|TP10_SL20|H480,trend_pullback_600,f025,TP10_SL20,10.0,20.0,0.5,480,-1.6353267092709953,813,-31.263350000000013,-0.038454305043050446,0.4784747847478475,0.8075479770387355,33.35884999999996,8,0,590,-6.486600000000109,-0.010994237288135778,0.5830508474576271,0.9591457682842143,16.18184999999998,7,2,1403,-37.74995000000013,-0.02690659301496802,0.8824800935802131,152,-7.092000000000007,0.42105263157894735,152,-8.815600000000007,0.4407894736842105,168,-2.555299999999919,0.5357142857142857,184,-6.774199999999996,0.4782608695652174,157,-6.026250000000082,0.5095541401273885,166,-13.094600000000037,0.4578313253012048,169,7.470749999999883,0.621301775147929,154,5.08675000000003,0.6493506493506493,101,-5.949499999999989,0.6237623762376238
asia_body_fade_600|all|TP15_SL15|H720,asia_body_fade_600,all,TP15_SL15,15.0,15.0,1.0,720,-1.6395695808726816,1291,-38.818400000000096,-0.030068474051123235,0.49806351665375675,0.897101893116923,41.24100000000006,8,1,938,-68.85726666666692,-0.07340859985785386,0.4690831556503198,0.834487193601263,81.49473333333353,7,1,2229,-107.67566666666701,-0.04830671452071198,0.8642643321522931,258,-11.682000000000063,0.4883720930232558,258,2.6252666666667213,0.49224806201550386,259,-9.157066666666697,0.4980694980694981,258,-2.772999999999958,0.5387596899224806,258,-17.8316000000001,0.4728682170542636,257,4.170066666666524,0.5136186770428015,259,-20.977733333333376,0.4749034749034749,258,-34.776266666666714,0.43410852713178294,164,-17.27333333333336,0.4451219512195122
asia_body_cont_840|all|TP20_SL20|H1440,asia_body_cont_840,all,TP20_SL20,20.0,20.0,1.0,1440,-1.6467443476438253,1291,-36.677099999999996,-0.028409837335398914,0.47792408985282725,0.8864949225053059,40.217600000000026,12,0,938,36.34430000000013,0.03874658848614086,0.5245202558635395,1.10736622721341,33.61234999999999,11,2,2229,-0.3327999999998674,-0.0001493046209061765,0.9994970070939686,258,-0.2172999999999905,0.47674418604651164,258,-11.072000000000038,0.4689922480620155,259,-5.630799999999954,0.5057915057915058,258,-8.767200000000072,0.4728682170542636,258,-10.989799999999946,0.46511627906976744,257,-2.7045000000000288,0.5019455252918288,259,20.737900000000153,0.5444015444015444,258,-3.6890999999999856,0.5,164,22.0,0.5670731707317073
asia_body_fade_600|all|TP15_SL15|H480,asia_body_fade_600,all,TP15_SL15,15.0,15.0,1.0,480,-1.6529684702547933,1291,-39.27546666666666,-0.030422514846372317,0.49109217660728116,0.8827417397226959,41.094733333333366,8,1,938,-62.24020000000006,-0.06635415778251605,0.47121535181236673,0.8400283273692556,75.43773333333334,8,1,2229,-101.5156666666667,-0.045543143412591615,0.8597885799976758,258,-8.1928666666667,0.4689922480620155,258,5.128266666666697,0.49612403100775193,259,-5.772066666666659,0.4864864864864865,258,-12.583799999999957,0.5232558139534884,258,-17.855000000000032,0.4806201550387597,257,8.846066666666609,0.5291828793774319,259,-23.639999999999905,0.44787644787644787,258,-29.846933333333435,0.45348837209302323,164,-17.59933333333332,0.4451219512195122
impulse60_fade_840|s040|TP15_SL20|H480,impulse60_fade_840,s040,TP15_SL20,15.0,20.0,0.75,480,-1.653828319847676,659,-30.45150000000001,-0.04620864946889228,0.47192716236722304,0.7860147688212527,33.65395000000002,8,1,481,-14.169100000000055,-0.029457588357588473,0.5135135135135135,0.9102218048781103,29.97380000000003,6,2,1140,-44.62060000000007,-0.039140877192982516,0.8513290659595949,117,1.5165000000000646,0.5299145299145299,132,-9.660300000000017,0.4393939393939394,123,-6.84749999999998,0.5040650406504065,145,-1.0529000000000548,0.47586206896551725,142,-14.407300000000022,0.4225352112676056,134,0.31754999999999445,0.5223880597014925,139,-20.495600000000014,0.4244604316546763,130,-1.7410500000000408,0.5307692307692308,78,7.75,0.6282051282051282
normal_range_mid_cont_14|r080_120|TP20_SL15|H1440,normal_range_mid_cont_14,r080_120,TP20_SL15,20.0,15.0,1.3333333333333333,1440,-1.6546590249686124,521,-27.044533333333444,-0.05190889315419087,0.43570057581573896,0.8400224625076055,34.52140000000014,8,1,330,-24.714866666666627,-0.07489353535353523,0.41515151515151516,0.8450773207185259,35.18726666666664,8,0,851,-51.75940000000007,-0.06082185663924802,0.8424766512144288,106,-7.203666666666746,0.39622641509433965,96,-10.096533333333383,0.4270833333333333,99,-6.6123333333332726,0.43434343434343436,121,-8.306933333333383,0.45454545454545453,99,5.174933333333348,0.46464646464646464,95,-9.594866666666725,0.42105263157894735,101,-2.803133333333248,0.4158415841584158,80,-4.983533333333318,0.4375,54,-7.333333333333333,0.37037037037037035
asia_body_fade_600|all|TP5_SL15|H480,asia_body_fade_600,all,TP5_SL15,5.0,15.0,0.3333333333333333,480,-1.670125717267525,1291,-39.21006666666668,-0.030371856442034606,0.6026336173508908,0.856394598600207,42.00860000000038,6,1,938,-28.984133333333435,-0.030899928926794707,0.6886993603411514,0.8791801540226406,43.84193333333352,6,2,2229,-68.19420000000012,-0.030594078061911226,0.8670511982201279,258,-8.757800000000016,0.49224806201550386,258,0.09046666666669245,0.5581395348837209,259,-11.377133333333362,0.6447876447876448,258,-5.518999999999964,0.6705426356589147,258,-13.646600000000024,0.6472868217054264,257,6.057066666666648,0.688715953307393,259,-9.647400000000065,0.667953667953668,258,-28.060466666666677,0.6627906976744186,164,2.666666666666662,0.7621951219512195
asia_body_cont_600|all|TP10_SL20|H1440,asia_body_cont_600,all,TP10_SL20,10.0,20.0,0.5,1440,-1.6771335352456442,1291,-34.73484999999986,-0.026905383423702446,0.5197521301316809,0.8837151650341194,45.81019999999991,8,0,938,12.76934999999996,0.013613379530916802,0.6257995735607675,1.048351570540467,17.57710000000006,8,2,2229,-21.9654999999999,-0.009854419021982906,0.9609709475164037,258,-0.3649999999999177,0.4806201550387597,258,-16.26194999999991,0.4728682170542636,259,-3.7071000000000036,0.555984555984556,258,-9.538650000000008,0.5348837209302325,258,-4.8621500000000175,0.5542635658914729,257,-10.947000000000074,0.5408560311284046,259,14.792249999999989,0.6254826254826255,258,9.424100000000044,0.686046511627907,164,-0.5,0.6646341463414634
asia_break_10_16|all|TP5_SL15|H720,asia_break_10_16,all,TP5_SL15,5.0,15.0,0.3333333333333333,720,-1.688731835693647,1191,-35.06639999999985,-0.02944282115869005,0.6045340050377834,0.86496237273698,48.375133333333245,6,1,801,2.9549999999999956,0.0036891385767790206,0.7103620474406991,1.0159627338139858,10.004666666666768,6,2,1992,-32.11139999999987,-0.0161201807228915,0.9278066823232334,232,-1.573600000000005,0.521551724137931,239,-13.87986666666663,0.5188284518828452,231,-4.584066666666652,0.6753246753246753,241,-24.64079999999996,0.5850622406639004,248,9.611933333333395,0.717741935483871,241,-6.275933333333404,0.6307053941908713,240,7.475866666666735,0.7375,206,-0.24493333333333522,0.7427184466019418,114,1.999999999999997,0.7631578947368421
prevday_liquidity_sweep|all|TP20_SL15|H1440,prevday_liquidity_sweep,all,TP20_SL15,20.0,15.0,1.3333333333333333,1440,-1.694827260405153,673,-30.476000000000024,-0.0452838038632987,0.4650817236255572,0.864181039656498,38.19333333333332,11,1,445,-51.628399999999985,-0.11601887640449435,0.4,0.7703228806665158,57.100799999999936,11,0,1118,-82.1044,-0.0734386404293381,0.8172101756602901,131,1.9896000000000185,0.5114503816793893,121,-5.572599999999997,0.4793388429752066,143,-11.191799999999986,0.44755244755244755,141,-9.519933333333379,0.45390070921985815,137,-6.181266666666685,0.43795620437956206,135,-6.342066666666581,0.4148148148148148,129,-13.867400000000044,0.43410852713178294,116,-15.418933333333348,0.3879310344827586,65,-16.0,0.3230769230769231
