tp2,sl2,b_train_final,b_train_dd,b_train_wr,b_train_pos_years,b_oos_final,b_oos_dd,b_oos_wr,b_oos_pos_years,b_oos_reentries,b_oos_maxdayloss,b_oos_max_second_risk,ab_train_final,ab_train_dd,ab_train_wr,ab_train_pos_years,ab_oos_final,ab_oos_dd,ab_oos_wr,ab_oos_pos_years,ab_oos_reentries,ab_oos_maxdayloss,ab_oos_maxrisk,ab_ret_2023,ab_ret_2024,ab_ret_2025,ab_ret_2026
6.0,15.0,192.38199999999938,0.397167298593052,0.6228571428571429,1,510.3810000000003,0.36562714805949464,0.7586912065439673,3,180,0.09880324568662086,0.04989223277720119,199.3609999999992,0.3891957805209116,0.5339805825242718,1,1232.3569999999984,0.5145741529824748,0.7328990228013029,4,195,0.18596931273878203,0.1999980000199999,0.474836666666669,0.19495492156193195,0.6272789001132943,0.43237865211766824
6.0,20.0,196.80699999999933,0.39816397613536175,0.627906976744186,1,713.7719999999997,0.3910103981486114,0.8032786885245902,3,118,0.09904716626057333,0.04988949476908649,198.02099999999905,0.3847700122722276,0.5360824742268041,0,1227.7779999999975,0.5578812170969791,0.7526690391459074,4,143,0.1878423720734751,0.19924312517822948,0.5652033333333346,0.21529258179448085,0.5276822733214865,0.4083608441598676
8.0,6.0,582.5080000000032,0.4672416825209015,0.6293375394321766,3,196.298,0.4474074616235636,0.6280487804878049,0,56,0.09246502510425432,0.049927189515290175,199.53299999999876,0.4222864985060124,0.5328185328185329,1,1093.559000000001,0.5344866799649517,0.6612377850162866,4,195,0.18617380255337337,0.19618445753158237,0.16898333333333304,0.6256861375269147,0.22528415070511398,0.5654497329502581
8.0,8.0,506.9800000000014,0.32557474324838587,0.6419558359621451,3,528.6240000000007,0.3597697231375226,0.6944444444444444,2,195,0.09759430049285107,0.049935084390292546,194.3799999999992,0.3932166882579744,0.536036036036036,1,908.7429999999988,0.5444808920239456,0.6807817589576547,4,195,0.196380944665987,0.19992536119848608,0.12219666666666695,0.5136116961079311,0.614579715093674,0.10452838857334568
8.0,10.0,477.34500000000116,0.35394631137401494,0.6498422712933754,3,420.2259999999999,0.33842376454738693,0.7162698412698413,2,195,0.09986617931971163,0.04979372947564714,197.76299999999924,0.39647337790947973,0.536036036036036,1,1257.841999999998,0.5018242253416666,0.6986970684039088,4,195,0.19119499260314418,0.19907083686891414,0.2979900000000013,0.5150193761122945,0.42529121408133386,0.49593145918020376
8.0,12.0,188.7859999999996,0.4355852798813704,0.5668016194331984,1,199.62400000000048,0.42246280164445155,0.6455696202531646,0,50,0.09106472880923741,0.04982230046168656,196.95399999999927,0.40196456495665656,0.5285714285714286,1,891.4179999999981,0.5200249205848658,0.6986970684039088,4,195,0.1609835018741167,0.1978151318685132,0.23652666666666855,0.4859013688881191,0.3741080936925665,0.1769168411630042
8.0,15.0,194.38199999999938,0.3909002600821004,0.6228571428571429,1,377.1900000000005,0.3830788595195093,0.7362869198312236,3,165,0.09952452159806523,0.04948110811292253,199.3609999999992,0.3891957805209116,0.5339805825242718,1,809.7819999999992,0.5459993309388478,0.7100977198697068,4,195,0.18697937929078742,0.1994810168877305,0.3751933333333348,0.4146010985122066,0.11339347675225486,0.24623643006423723
8.0,20.0,196.80699999999933,0.39816397613536175,0.627906976744186,1,700.6969999999999,0.4319857052003007,0.7822014051522248,3,118,0.09792768693171341,0.049915331119588416,198.02099999999905,0.3847700122722276,0.5360824742268041,0,1232.693999999998,0.5384694851086855,0.7329749103942652,4,139,0.17724721777257893,0.198282870342831,0.47264666666666777,0.29838114596395293,0.601580845755965,0.3417895403692641
10.0,6.0,574.6570000000042,0.49461107288421896,0.6230283911671924,3,191.99099999999999,0.49373600786855537,0.6219512195121951,0,56,0.09434362779551962,0.04988609342002428,199.31199999999922,0.4224681985453919,0.5381818181818182,1,1209.5170000000012,0.5705940056506089,0.6530944625407166,4,195,0.19591292976358168,0.19752761271419333,0.10845000000000038,0.7571563895529838,0.36658417705487945,0.5147041327861515
10.0,8.0,539.943000000002,0.43614182676051616,0.6356466876971609,3,540.7410000000009,0.36606646187909514,0.6805555555555556,2,195,0.0998766523343669,0.049854953245401616,194.61599999999908,0.3924799825188498,0.5374449339207048,1,1034.1809999999996,0.5227967450128572,0.6693811074918566,4,195,0.18541953487509688,0.19619512258925229,0.09102000000000099,0.7015453428901406,0.37393657326107665,0.35155080954702234
