family,variant,exit,rr,n_2023,n_2024,n_2025,n_2026,net_2023,net_2024,net_2025,net_2026,n,positive,negative,win_rate,tp_count,sl_count,time_count,net,ev,pf,max_dd,max_loss_streak,streak_start,streak_end,avg_tp,avg_sl
ensemble_600,majority,40_30,1.3333333333333333,260,262,261,166,40.0,120.0,-270.0,130.0,949,407,542,0.42887249736564803,407,542,0,20.0,0.02107481559536354,1.001230012300123,920.0,9,2024-04-09,2024-04-19,40.0,30.0
ensemble_600,majority,A25_R1,1.0,257,259,258,164,-119.04749999999996,-39.78812500000072,125.39400000000091,-354.49149999999975,938,451,487,0.48081023454157784,451,487,0,-387.9331249999995,-0.41357476012793126,0.9049467250017863,497.45762499999887,9,2023-02-10,2023-02-22,8.288382329424303,8.288382329424303
ensemble_600,majority,A25_R125,1.25,257,259,258,164,-173.16184374999995,25.144812499999205,189.21771875000078,-455.03503125000043,938,401,537,0.4275053304904051,401,537,0,-413.83434375000024,-0.4411879997334757,0.9081000090604359,609.7887812499994,10,2024-02-22,2024-03-06,10.360477911780379,8.288382329424303
ensemble_600,majority,R60_R1,1.0,257,259,258,164,-88.72549999999842,56.96899999999823,-24.56100000001061,-320.8054999999954,938,456,482,0.4861407249466951,456,482,0,-377.1230000000062,-0.4020501066098147,0.9215427527951667,458.5000000000023,9,2025-06-11,2025-06-23,9.846846481876321,9.846846481876321
ensemble_600,majority,R60_R125,1.25,257,259,258,164,-153.74612499999802,137.96474999999805,-51.43912500001295,-232.58049999999446,938,405,533,0.43176972281449894,405,533,0,-299.8010000000074,-0.31961727078892044,0.9430528292468131,526.2743749999989,10,2024-02-22,2024-03-06,12.3085581023454,9.846846481876321
asia_mid_cont_840,all,10_10,1.0,260,262,261,166,-160.0,-80.0,-130.0,-240.0,949,444,505,0.4678609062170706,444,505,0,-610.0,-0.642781875658588,0.8792079207920792,710.0,10,2023-04-17,2023-04-28,10.0,10.0
asia_mid_cont_840,all,15_15,1.0,260,262,261,166,150.0,0.0,-105.0,-450.0,949,461,488,0.4857744994731296,461,488,0,-405.0,-0.4267650158061117,0.944672131147541,840.0,9,2025-12-08,2025-12-18,15.0,15.0
asia_mid_cont_840,all,20_20,1.0,260,262,261,166,80.0,280.0,140.0,40.0,949,488,461,0.5142255005268704,488,461,0,540.0,0.5690200210748156,1.0585683297180044,580.0,9,2025-12-08,2025-12-18,20.0,20.0
asia_mid_cont_840,all,20_15,1.3333333333333333,260,262,261,166,195.0,235.0,145.0,-250.0,949,416,533,0.4383561643835616,416,533,0,325.0,0.3424657534246575,1.0406504065040652,600.0,9,2025-12-08,2025-12-18,20.0,15.0
asia_mid_cont_840,all,25_20,1.25,260,262,261,166,-25.0,475.0,45.0,235.0,949,438,511,0.46153846153846156,438,511,0,730.0,0.7692307692307693,1.0714285714285714,490.0,9,2025-12-08,2025-12-18,25.0,20.0
asia_mid_cont_840,all,30_25,1.2,260,262,261,166,-175.0,655.0,240.0,415.0,949,452,497,0.47629083245521603,452,497,0,1135.0,1.195995785036881,1.091348088531187,510.0,8,2024-06-17,2024-06-26,30.0,25.0
asia_mid_cont_840,all,40_30,1.3333333333333333,260,262,261,166,-30.0,680.0,780.0,340.0,949,432,517,0.45521601685985247,432,517,0,1770.0,1.8651211801896734,1.114119922630561,580.0,11,2023-09-06,2023-09-20,40.0,30.0
asia_mid_cont_840,all,A25_R1,1.0,257,259,258,164,-47.564999999999884,-215.92537499999935,-31.122750000000224,-270.04825000000085,938,423,515,0.4509594882729211,423,515,0,-564.6613750000004,-0.6019844083155654,0.8645760234479138,683.0056250000001,8,2023-10-20,2023-10-31,8.288382329424303,8.288382329424303
asia_mid_cont_840,all,A25_R125,1.25,257,259,258,164,-103.99403124999986,-214.96843749999923,84.42368749999986,-53.585250000000514,938,376,562,0.40085287846481876,376,562,0,-288.1240312499998,-0.30716847681236653,0.935212600075789,435.53246874999945,10,2023-04-17,2023-04-28,10.360477911780379,8.288382329424303
asia_mid_cont_840,all,R60_R1,1.0,257,259,258,164,-39.671999999999116,-206.64250000000243,-194.33750000000373,-83.50450000000046,938,429,509,0.4573560767590618,429,509,0,-524.1565000000057,-0.5588022388059762,0.8839261463659513,669.8460000000052,9,2023-04-17,2023-04-27,9.069589019189772,9.069589019189772
asia_mid_cont_840,all,R60_R125,1.25,257,259,258,164,-111.33187499999974,-204.2615000000025,-344.33900000000244,12.886624999998162,938,373,565,0.3976545842217484,373,565,0,-647.0457500000066,-0.6898142324093887,0.8709480528844201,897.2563750000046,10,2023-04-17,2023-04-28,11.336986273987218,9.069589019189772
asia_mid_fade_840,all,10_10,1.0,260,262,261,166,-20.0,-80.0,-130.0,-160.0,949,455,494,0.4794520547945205,455,494,0,-390.0,-0.410958904109589,0.9210526315789473,440.0,11,2023-03-01,2023-03-15,10.0,10.0
asia_mid_fade_840,all,15_15,1.0,260,262,261,166,-270.0,-150.0,-135.0,120.0,949,460,489,0.48472075869336145,460,489,0,-435.0,-0.458377239199157,0.9406952965235174,810.0,10,2023-03-06,2023-03-17,15.0,15.0
asia_mid_fade_840,all,20_20,1.0,260,262,261,166,-280.0,-520.0,-340.0,-160.0,949,442,507,0.4657534246575342,442,507,0,-1300.0,-1.36986301369863,0.8717948717948718,1420.0,11,2023-01-05,2023-01-19,20.0,20.0
asia_mid_fade_840,all,20_15,1.3333333333333333,260,262,261,166,-225.0,-185.0,-100.0,65.0,949,394,555,0.41517386722866173,394,555,0,-445.0,-0.46891464699683877,0.9465465465465466,890.0,13,2025-01-07,2025-01-23,20.0,15.0
asia_mid_fade_840,all,25_20,1.25,260,262,261,166,-385.0,-920.0,-495.0,-215.0,949,377,572,0.3972602739726027,377,572,0,-2015.0,-2.1232876712328768,0.8238636363636364,2090.0,13,2023-01-05,2023-01-23,25.0,20.0
asia_mid_fade_840,all,30_25,1.2,260,262,261,166,-120.0,-940.0,-145.0,-410.0,949,402,547,0.42360379346680715,402,547,0,-1615.0,-1.701791359325606,0.8819012797074954,1775.0,10,2024-10-09,2024-10-22,30.0,25.0
asia_mid_fade_840,all,40_30,1.3333333333333333,260,262,261,166,-380.0,-1210.0,-900.0,-710.0,949,361,588,0.3804004214963119,361,588,0,-3200.0,-3.3719704952581666,0.81859410430839,3290.0,14,2025-03-13,2025-04-01,40.0,30.0
asia_mid_fade_840,all,A25_R1,1.0,257,259,258,164,-62.435000000000116,-39.26162500000055,-306.71399999999994,46.81074999999976,938,449,489,0.47867803837953093,449,489,0,-361.59987500000085,-0.3855009328358218,0.9111122616756607,563.2698750000002,10,2025-01-13,2025-01-24,8.288382329424303,8.288382329424303
asia_mid_fade_840,all,A25_R125,1.25,257,259,258,164,-8.222781250000125,-36.64918750000015,-388.7344375000001,29.416124999999994,938,401,537,0.4275053304904051,401,537,0,-404.19028125000045,-0.4309064832089557,0.9101561438520968,631.242093749999,10,2023-03-06,2023-03-17,10.360477911780379,8.288382329424303
asia_mid_fade_840,all,R60_R1,1.0,257,259,258,164,-89.60400000000027,-60.28749999999968,-95.56149999999298,-226.4635000000021,938,447,491,0.47654584221748403,447,491,0,-471.91649999999504,-0.5031092750532996,0.8948866328826295,481.91649999999504,10,2025-01-13,2025-01-24,9.069589019189772,9.069589019189772
asia_mid_fade_840,all,R60_R125,1.25,257,259,258,164,-24.62025000000051,-123.90500000000111,-228.91287499999362,-142.59512499999994,938,394,544,0.4200426439232409,394,544,0,-520.0332499999952,-0.5544064498933851,0.8950993763955818,538.6994999999944,10,2023-03-06,2023-03-17,11.336986273987218,9.069589019189772
ensemble_840,majority,10_10,1.0,260,262,261,166,-20.0,60.0,-130.0,-200.0,949,460,489,0.48472075869336145,460,489,0,-290.0,-0.3055848261327713,0.9406952965235174,490.0,9,2023-04-18,2023-04-28,10.0,10.0
ensemble_840,majority,15_15,1.0,260,262,261,166,150.0,180.0,-315.0,-240.0,949,467,482,0.49209694415173866,467,482,0,-225.0,-0.23709167544783982,0.9688796680497925,840.0,10,2023-11-20,2023-12-01,15.0,15.0
ensemble_840,majority,20_20,1.0,260,262,261,166,-80.0,440.0,-300.0,80.0,949,478,471,0.5036880927291886,478,471,0,140.0,0.1475237091675448,1.0148619957537155,860.0,10,2023-11-20,2023-12-01,20.0,20.0
ensemble_840,majority,20_15,1.3333333333333333,260,262,261,166,125.0,445.0,-135.0,-145.0,949,415,534,0.43730242360379346,415,534,0,290.0,0.3055848261327713,1.0362047440699127,630.0,10,2023-11-20,2023-12-01,20.0,15.0
ensemble_840,majority,25_20,1.25,260,262,261,166,-250.0,520.0,-540.0,235.0,949,421,528,0.44362486828240255,421,528,0,-35.0,-0.0368809272918862,0.9966856060606061,900.0,11,2023-11-17,2023-12-01,25.0,20.0
ensemble_840,majority,30_25,1.2,260,262,261,166,-395.0,490.0,-475.0,305.0,949,430,519,0.45310853530031614,430,519,0,-75.0,-0.07903055848261328,0.9942196531791907,930.0,11,2023-11-17,2023-12-01,30.0,25.0
ensemble_840,majority,40_30,1.3333333333333333,260,262,261,166,-450.0,120.0,-550.0,-10.0,949,394,555,0.41517386722866173,394,555,0,-890.0,-0.9378292939936775,0.9465465465465466,1220.0,13,2025-12-03,2025-12-19,40.0,30.0
