family,param,tp,sl,robust_score,positive_train_years,train_n,train_net,train_expectancy,train_pf,train_positive_rate,train_max_dd,train_tp,train_sl,train_eod,oos_n,oos_net,oos_expectancy,oos_pf,oos_positive_rate,oos_max_dd,oos_tp,oos_sl,oos_eod,all_n,all_net,all_expectancy,all_pf,all_positive_rate,all_max_dd,all_tp,all_sl,all_eod
morning_momentum_fade,th=5.0,25.0,15.0,-0.579122600533251,2,173,13.398000000000593,0.07744508670520574,1.0103550856083792,0.44508670520231214,262.6300000000001,39,83,51,111,34.460000000000036,0.3104504504504508,1.0337843137254903,0.38738738738738737,270.0,42,68,1,284,47.85800000000063,0.16851408450704447,1.0206832142176463,0.4225352112676056,337.8599999999997,81,151,52
morning_momentum_fade,th=5.0,25.0,20.0,-0.13104957197906533,1,173,29.975000000001046,0.17326589595376327,1.0212837264521046,0.49710982658959535,239.3140000000003,43,61,69,111,21.529999999999745,0.19396396396396168,1.0178238805228779,0.45045045045045046,282.9300000000003,49,60,2,284,51.50500000000079,0.1813556338028197,1.0196863259823195,0.4788732394366197,282.9300000000003,92,121,71
morning_momentum_fade,th=5.0,25.0,25.0,0.20847546836046701,3,173,56.856000000000904,0.32864739884393585,1.038807119279882,0.5375722543352601,223.75400000000081,46,47,80,111,-40.82600000000002,-0.367801801801802,0.9704786214775875,0.4954954954954955,382.9300000000003,53,55,3,284,16.030000000000882,0.05644366197183409,1.0056284677576228,0.5211267605633803,382.9300000000003,99,102,83
morning_momentum_fade,th=5.0,25.0,30.0,0.813787573525816,3,173,151.68500000000063,0.8767919075144545,1.1049532161274458,0.5549132947976878,244.35700000000088,49,33,91,111,21.273999999999432,0.19165765765765255,1.0144639421279138,0.5495495495495496,370.83000000000084,59,48,4,284,172.95900000000006,0.6090105633802819,1.059311894373739,0.5528169014084507,370.83000000000084,108,81,95
morning_momentum_fade,th=5.0,25.0,35.0,0.7156723265605867,3,173,173.4450000000013,1.0025722543352675,1.1177092954680115,0.5664739884393064,294.3570000000009,51,26,96,111,62.677000000000135,0.5646576576576589,1.041084854642588,0.5855855855855856,349.42700000000013,62,42,7,284,236.12200000000144,0.8314154929577515,1.078732186460193,0.573943661971831,349.42700000000013,113,68,103
morning_momentum_fade,th=5.0,30.0,15.0,-0.20828224420910857,2,173,63.789999999999736,0.36872832369942043,1.0487371806087293,0.4393063583815029,260.7970000000005,29,84,60,111,-25.539999999999964,-0.23009009009008977,0.9769909909909911,0.3333333333333333,300.0,36,74,1,284,38.24999999999977,0.1346830985915485,1.0158132539459752,0.397887323943662,300.0,65,158,61
morning_momentum_fade,th=5.0,30.0,20.0,0.33255081323707314,3,173,95.36700000000019,0.5512543352601167,1.066767108690919,0.4913294797687861,242.48100000000068,33,62,78,111,-83.47000000000025,-0.7519819819819843,0.9380754193467018,0.38738738738738737,377.9300000000003,42,67,2,284,11.896999999999935,0.0418908450704223,1.0042852259657966,0.4507042253521127,377.9300000000003,75,129,80
morning_momentum_fade,th=5.0,30.0,25.0,0.5305626930173842,3,173,100.9380000000001,0.5834566473988445,1.067679941424244,0.5260115606936416,214.91100000000097,35,47,91,111,-160.82600000000002,-1.448882882882883,0.8967694312324688,0.43243243243243246,487.9300000000003,46,62,3,284,-59.88799999999992,-0.21087323943661943,0.9803602887452072,0.4894366197183099,487.9300000000003,81,109,94
morning_momentum_fade,th=5.0,30.0,30.0,1.1007135078049002,3,173,210.76699999999983,1.218306358381502,1.1432256503754825,0.5433526011560693,218.08100000000104,38,33,102,111,-28.136000000000422,-0.2534774774774813,0.9827939629656807,0.4954954954954955,465.2400000000007,53,53,5,284,182.6309999999994,0.6430669014084486,1.0587840336705168,0.5246478873239436,465.2400000000007,91,86,107
morning_momentum_fade,th=5.0,30.0,35.0,1.1613174298143396,3,173,242.5270000000005,1.4018901734104074,1.161704825868292,0.5549132947976878,278.08100000000104,40,26,107,111,21.307000000000244,0.19195495495495715,1.0125562784338686,0.5315315315315315,470.797,56,46,9,284,263.83400000000074,0.9289929577464815,1.0825323854072268,0.545774647887324,470.797,96,72,116
prevday_rejection,ext=0.0,10.0,15.0,-0.16751314344096238,0,456,-59.03199999999788,-0.12945614035087255,0.9733055982635446,0.5482456140350878,180.14499999999794,201,116,139,85,50.0,0.5882352941176471,1.1041666666666667,0.6235294117647059,115.0,53,32,0,541,-9.031999999997879,-0.016695009242140256,0.9966441257338198,0.5600739371534196,194.9400000000005,254,148,139
prevday_rejection,ext=0.0,10.0,20.0,-0.49810367593127536,0,456,-222.83499999999663,-0.4886732456140277,0.9089768323602723,0.5657894736842105,297.4749999999983,208,89,159,85,40.0,0.47058823529411764,1.0740740740740742,0.6823529411764706,180.0,58,27,0,541,-182.83499999999663,-0.3379574861367775,0.9388125549468856,0.5841035120147874,396.12499999999704,266,116,159
prevday_rejection,ext=0.0,10.0,25.0,-0.3239441034335087,0,456,-128.534999999996,-0.2818749999999912,0.9468079603283036,0.581140350877193,215.96599999999899,214,52,190,85,10.0,0.11764705882352941,1.0166666666666666,0.7176470588235294,215.0,61,24,0,541,-118.53499999999599,-0.21910351201478,0.960703585990474,0.6025878003696857,325.965999999999,275,76,190
prevday_rejection,ext=0.0,10.0,30.0,-0.5169566968212979,0,456,-200.10599999999522,-0.43882894736841055,0.9202130459122092,0.5855263157894737,284.6789999999969,216,40,200,85,50.0,0.5882352941176471,1.0833333333333333,0.7647058823529411,180.0,65,20,0,541,-150.10599999999522,-0.2774602587800281,0.9517034083611232,0.6136783733826248,343.32899999999563,281,60,200
prevday_rejection,ext=0.0,10.0,35.0,-0.5859886843135924,0,456,-228.48099999999408,-0.5010548245613905,0.9102721943591292,0.5877192982456141,291.7039999999945,217,25,214,85,138.0699999999997,1.6243529411764672,1.2501585345967778,0.8117647058823529,191.9300000000003,69,15,1,541,-90.41099999999437,-0.16711829944546094,0.9708192436583973,0.6229205175600739,301.7039999999945,286,40,215
prevday_rejection,ext=0.0,15.0,15.0,-0.4668875925814413,0,456,-153.60399999999845,-0.33685087719297907,0.9391298248561807,0.48464912280701755,287.3429999999994,135,134,187,85,-105.0,-1.2352941176470589,0.8478260869565217,0.4588235294117647,195.0,39,46,0,541,-258.60399999999845,-0.47801109057301006,0.9195249744123878,0.4805914972273567,387.7029999999986,174,180,187
prevday_rejection,ext=0.0,15.0,20.0,-0.7913934033055625,0,456,-301.9479999999969,-0.6621666666666599,0.8908695185468843,0.5021929824561403,399.78399999999897,141,100,215,85,-125.0,-1.4705882352941178,0.84375,0.5294117647058824,315.0,45,40,0,541,-426.9479999999969,-0.7891829944547077,0.8803012066939687,0.5064695009242144,627.8799999999972,186,140,215
prevday_rejection,ext=0.0,15.0,25.0,-0.6323666998761037,1,456,-180.83199999999601,-0.3965614035087632,0.9339365428110812,0.5175438596491229,340.54699999999843,146,60,250,85,-205.0,-2.411764705882353,0.7783783783783784,0.5647058823529412,360.0,48,37,0,541,-385.831999999996,-0.7131829944547061,0.8946461011504695,0.5249537892791127,561.6969999999963,194,97,250
prevday_rejection,ext=0.0,15.0,30.0,-0.8503446836304842,1,456,-256.970999999995,-0.5635328947368311,0.9096250034290119,0.5219298245614035,404.1999999999971,148,45,263,85,-210.0,-2.4705882352941178,0.7878787878787878,0.611764705882353,360.0,52,33,0,541,-466.970999999995,-0.8631626617375139,0.8781831519184357,0.5360443622920518,617.8359999999952,200,78,263
prevday_rejection,ext=0.0,15.0,35.0,-0.8924209314432097,1,456,-281.58599999999365,-0.6175131578947229,0.9023288580198222,0.5241228070175439,412.9609999999964,149,28,279,85,-184.26000000000022,-2.1677647058823557,0.8174305927114914,0.6470588235294118,336.9300000000003,55,28,2,541,-465.84599999999386,-0.8610831792975857,0.8803148093100656,0.5434380776340111,629.3809999999942,204,56,281
prevday_rejection,ext=0.0,20.0,15.0,-1.169309199592111,0,456,-427.60799999999904,-0.9377368421052611,0.8436450355302332,0.4451754385964912,502.6699999999994,76,147,233,85,-45.51999999999998,-0.5355294117647057,0.9380680272108843,0.4235294117647059,205.0,34,49,2,541,-473.127999999999,-0.8745434380776322,0.8636461361198484,0.4417744916820702,647.6699999999994,110,196,235
