family,variant,exit,exit_type,initial_rr,n_2023,n_2024,n_2025,n_2026,net_2023,net_2024,net_2025,net_2026,n,positive,negative,win_rate,tp_count,sl_count,eod_count,net,ev,pf,max_dd,max_loss_streak,streak_start,streak_end,avg_tp,avg_sl,avg_rr
stretch_fade_840,z1_rsi55,F15_15,fixed,1.0,132,141,131,79,-109.3360000000007,-314.10099999999875,44.776000000001204,165.0,483,233,250,0.4824016563146998,162,171,150,-213.66099999999824,-0.4423623188405761,0.927742115706091,624.0169999999987,7,2024-05-17,2024-06-04,15.0,15.0,1.0
stretch_fade_840,z1_rsi55,F20_20,fixed,1.0,132,141,131,79,-64.12000000000035,-426.26199999999835,178.208000000001,327.33000000000084,483,242,241,0.5010351966873706,128,124,231,15.156000000003132,0.03137888198758412,1.0046766894370887,629.977999999998,6,2024-06-07,2024-06-20,20.0,20.0,1.0
stretch_fade_840,z1_rsi55,F20_15,fixed,1.3333333333333333,132,141,131,79,-75.03900000000021,-364.4599999999991,32.35000000000127,167.89000000000033,483,218,265,0.45134575569358176,113,183,187,-239.25899999999774,-0.4953602484472003,0.9241731379857535,670.1319999999992,7,2024-05-17,2024-06-04,20.0,15.0,1.3333333333333333
stretch_fade_840,z1_rsi55,F25_20,fixed,1.25,132,141,131,79,-46.5,-440.77399999999784,236.50800000000027,342.8200000000006,483,233,250,0.4824016563146998,100,130,253,92.05400000000304,0.1905879917184328,1.0271773082141882,647.5429999999976,6,2024-06-07,2024-06-20,25.0,20.0,1.25
stretch_fade_840,z1_rsi55,F30_25,fixed,1.2,132,141,131,79,-30.135000000000446,-472.827999999997,374.24200000000064,253.2100000000005,483,234,249,0.484472049689441,86,97,300,124.48900000000367,0.25774120082816493,1.0336912499205018,661.1619999999969,7,2026-06-22,2026-07-16,30.0,25.0,1.1999999999999997
stretch_fade_840,z1_rsi55,F40_30,fixed,1.3333333333333333,132,141,131,79,-4.46100000000024,-562.3899999999956,539.676000000004,267.93300000000045,483,236,247,0.4886128364389234,59,80,344,240.75800000000868,0.49846376811596,1.061308627689853,714.3689999999958,7,2026-06-22,2026-07-16,40.0,30.0,1.3333333333333333
stretch_fade_840,z1_rsi55,R60x075_R1,r60,1.0,132,141,131,79,-64.77887500000088,-211.8116249999993,0.9765000000029431,298.81237500000157,483,218,265,0.45134575569358176,213,260,10,23.19837500000432,0.048029761904770846,1.012515081864891,370.08424999999835,16,2024-04-18,2024-06-03,7.80946765010354,7.80946765010354,1.0
stretch_fade_840,z1_rsi55,R60x075_R125,r60,1.25,132,141,131,79,-57.93471875000081,-228.76874999999978,8.010000000002464,307.8856562500019,483,191,292,0.39544513457556935,184,286,13,29.19218750000377,0.060439311594210704,1.0142534871339772,421.40928124999965,16,2024-04-18,2024-06-03,9.761834562629424,7.80946765010354,1.25
stretch_fade_840,z1_rsi55,R60x1_R1,r60,1.0,132,141,131,79,-39.84100000000058,-188.3679999999997,59.00250000000142,285.1954999999998,483,224,259,0.463768115942029,216,251,16,115.98900000000094,0.2401428571428591,1.0537912266536693,309.9589999999989,10,2024-10-21,2024-11-18,9.417439958592151,9.417439958592151,1.0
stretch_fade_840,z1_rsi55,R60x1_R125,r60,1.25,132,141,131,79,-35.478000000000804,-220.47212500000012,-33.765999999995074,451.17537499999685,483,195,288,0.40372670807453415,181,277,25,161.45925000000085,0.334284161490685,1.0685663489523582,403.34737499999926,18,2024-05-07,2024-06-21,11.771799948240186,9.417439958592151,1.25
