date,year,direction,pnl,outcome
2023-06-05,2023,SHORT,-19.646999999999935,EOD
2023-06-06,2023,SHORT,-5.527000000000044,EOD
2023-06-07,2023,SHORT,16.6099999999999,EOD
2023-06-13,2023,LONG,-19.08699999999999,EOD
2023-06-15,2023,SHORT,-26.926999999999907,EOD
2023-06-16,2023,LONG,-4.267000000000053,EOD
2023-06-19,2023,SHORT,3.4720000000002074,EOD
2023-06-22,2023,SHORT,13.459999999999809,EOD
2023-06-26,2023,SHORT,-2.269999999999982,EOD
2023-06-28,2023,SHORT,3.321999999999889,EOD
2023-06-30,2023,SHORT,-14.647000000000162,EOD
2023-07-03,2023,SHORT,-7.210000000000036,EOD
2023-07-04,2023,LONG,-1.900000000000091,EOD
2023-07-05,2023,SHORT,6.093000000000075,EOD
2023-07-11,2023,LONG,-3.8999999999998636,EOD
2023-07-13,2023,LONG,-2.2339999999999236,EOD
2023-07-14,2023,SHORT,0.8329999999998563,EOD
2023-07-18,2023,LONG,20.0,TP
2023-07-24,2023,LONG,-9.288000000000011,EOD
2023-07-26,2023,LONG,1.5199999999999818,EOD
2023-08-01,2023,SHORT,12.02299999999991,EOD
2023-08-03,2023,SHORT,-1.6269999999999527,EOD
2023-08-04,2023,SHORT,-10.787000000000035,EOD
2023-08-07,2023,SHORT,-0.8369999999999891,EOD
2023-08-11,2023,LONG,-3.37700000000018,EOD
2023-08-16,2023,LONG,-14.167000000000144,EOD
2023-08-17,2023,LONG,-8.807000000000016,EOD
2023-08-22,2023,LONG,-1.7369999999998527,EOD
2023-09-11,2023,LONG,-7.09699999999998,EOD
2023-09-12,2023,SHORT,5.742999999999938,EOD
2023-09-14,2023,SHORT,-4.09699999999998,EOD
2023-09-15,2023,LONG,4.643000000000029,EOD
2023-09-22,2023,LONG,-0.7239999999999327,EOD
2023-09-26,2023,SHORT,9.003000000000156,EOD
2023-09-29,2023,LONG,-22.124000000000024,EOD
2023-10-04,2023,SHORT,-4.0340000000001055,EOD
2023-10-06,2023,SHORT,-14.196999999999889,EOD
2023-10-10,2023,SHORT,-4.207000000000107,EOD
2023-10-11,2023,LONG,10.526000000000067,EOD
2023-10-12,2023,LONG,-13.860000000000127,EOD
2023-10-13,2023,LONG,20.0,TP
2023-10-16,2023,SHORT,-12.478000000000065,EOD
2023-10-30,2023,SHORT,-2.7170000000000982,EOD
2023-11-07,2023,SHORT,0.2929999999998927,EOD
2023-11-10,2023,SHORT,20.0,TP
2023-11-15,2023,LONG,-11.517000000000053,EOD
2023-11-16,2023,LONG,20.0,TP
2023-11-17,2023,LONG,-6.427000000000135,EOD
2023-11-22,2023,LONG,-14.106999999999971,EOD
2023-12-04,2023,SHORT,20.0,TP
2023-12-06,2023,LONG,-8.787000000000035,EOD
2023-12-11,2023,SHORT,11.379000000000133,EOD
2023-12-15,2023,LONG,-19.050000000000182,EOD
2023-12-26,2023,LONG,2.8730000000000473,EOD
2024-01-09,2024,LONG,-7.289999999999964,EOD
2024-01-12,2024,LONG,20.0,TP
2024-01-19,2024,LONG,2.0499999999999545,EOD
2024-01-24,2024,LONG,-16.43100000000004,EOD
2024-01-29,2024,LONG,0.8599999999999,EOD
2024-01-30,2024,LONG,-2.2000000000000455,EOD
2024-02-05,2024,SHORT,0.9329999999999927,EOD
2024-02-13,2024,LONG,-32.440000000000055,EOD
2024-02-16,2024,LONG,7.320000000000164,EOD
2024-02-20,2024,LONG,2.5299999999999727,EOD
2024-02-22,2024,LONG,-7.32100000000014,EOD
2024-02-26,2024,LONG,-3.911000000000058,EOD
2024-02-27,2024,LONG,-5.891000000000076,EOD
2024-02-28,2024,SHORT,-6.679999999999836,EOD
2024-02-29,2024,LONG,6.569999999999936,EOD
2024-03-04,2024,LONG,20.0,TP
2024-03-22,2024,SHORT,2.9200000000000728,EOD
2024-04-12,2024,LONG,20.0,TP
2024-04-16,2024,SHORT,-9.769999999999982,EOD
2024-04-18,2024,LONG,-0.7100000000000364,EOD
2024-04-22,2024,SHORT,20.0,TP
2024-04-25,2024,LONG,20.0,TP
2024-04-26,2024,LONG,-4.220000000000255,EOD
2024-04-30,2024,SHORT,20.0,TP
2024-05-02,2024,SHORT,20.0,TP
2024-05-03,2024,SHORT,20.0,TP
2024-05-06,2024,LONG,9.079999999999927,EOD
2024-05-07,2024,SHORT,5.809999999999945,EOD
2024-05-10,2024,LONG,-9.079999999999927,EOD
2024-05-13,2024,SHORT,11.75,EOD
2024-05-17,2024,LONG,20.0,TP
2024-05-24,2024,LONG,-5.039999999999964,EOD
2024-05-28,2024,SHORT,-18.860000000000127,EOD
2024-06-04,2024,SHORT,20.0,TP
2024-06-14,2024,LONG,20.0,TP
2024-06-17,2024,SHORT,-1.9400000000000546,EOD
2024-06-18,2024,SHORT,-10.139999999999873,EOD
2024-06-20,2024,LONG,20.0,TP
2024-06-28,2024,LONG,-1.5270000000000437,EOD
2024-07-03,2024,LONG,20.0,TP
2024-07-04,2024,SHORT,-2.007000000000062,EOD
2024-07-08,2024,SHORT,20.0,TP
2024-07-10,2024,LONG,-1.8600000000001273,EOD
2024-07-11,2024,LONG,20.0,TP
2024-07-12,2024,SHORT,-8.231000000000222,EOD
2024-07-15,2024,SHORT,-20.51000000000022,EOD
2024-07-16,2024,LONG,20.0,TP
2024-07-17,2024,SHORT,5.960000000000036,EOD
2024-07-18,2024,LONG,-26.570000000000164,EOD
2024-07-19,2024,SHORT,20.0,TP
2024-07-22,2024,SHORT,4.110000000000127,EOD
2024-07-23,2024,SHORT,-19.059999999999945,EOD
2024-07-24,2024,LONG,-20.860000000000127,EOD
2024-07-30,2024,LONG,20.0,TP
2024-07-31,2024,LONG,20.0,TP
2024-08-02,2024,LONG,-40.0,SL
2024-08-08,2024,LONG,20.0,TP
2024-08-12,2024,LONG,20.0,TP
2024-08-15,2024,LONG,0.5100000000002183,EOD
2024-09-04,2024,SHORT,-11.889999999999873,EOD
2024-09-05,2024,LONG,12.420000000000073,EOD
2024-09-11,2024,LONG,-15.460000000000036,EOD
2024-09-19,2024,LONG,10.5300000000002,EOD
2024-09-20,2024,LONG,15.278999999999996,EOD
2024-09-25,2024,SHORT,-3.199999999999818,EOD
2024-09-26,2024,LONG,20.0,TP
2024-10-01,2024,LONG,20.0,TP
2024-10-09,2024,SHORT,2.868999999999687,EOD
2024-10-14,2024,LONG,-15.880999999999858,EOD
2024-10-16,2024,LONG,-4.177000000000135,EOD
2024-10-22,2024,LONG,13.480000000000018,EOD
2024-10-24,2024,LONG,1.0100000000002183,EOD
2024-11-07,2024,LONG,20.0,TP
2024-11-08,2024,SHORT,3.0099999999997635,EOD
2024-11-12,2024,SHORT,0.4190000000003238,EOD
2024-11-20,2024,SHORT,-29.949999999999818,EOD
2024-11-21,2024,LONG,5.449999999999818,EOD
2024-11-22,2024,LONG,18.48999999999978,EOD
2024-11-27,2024,LONG,-11.73700000000008,EOD
2024-12-09,2024,LONG,20.0,TP
2024-12-18,2024,SHORT,20.0,TP
2024-12-19,2024,LONG,-21.4670000000001,EOD
2024-12-20,2024,LONG,20.0,TP
2024-12-30,2024,SHORT,20.0,TP
2024-12-31,2024,LONG,10.759000000000015,EOD
2025-01-02,2025,LONG,20.0,TP
2025-01-03,2025,SHORT,13.722999999999956,EOD
2025-01-06,2025,SHORT,-11.009999999999764,EOD
2025-01-08,2025,LONG,8.420000000000073,EOD
2025-01-15,2025,LONG,13.293999999999869,EOD
2025-01-17,2025,SHORT,6.48700000000008,EOD
2025-01-21,2025,LONG,15.670000000000073,EOD
2025-01-27,2025,SHORT,8.5,EOD
2025-01-30,2025,LONG,20.0,TP
2025-02-04,2025,SHORT,-31.83699999999999,EOD
2025-02-05,2025,LONG,0.4630000000001928,EOD
2025-02-06,2025,SHORT,20.0,TP
2025-02-10,2025,LONG,11.9699999999998,EOD
2025-02-20,2025,LONG,-11.450000000000273,EOD
2025-02-24,2025,LONG,9.079999999999927,EOD
2025-02-25,2025,SHORT,20.0,TP
2025-02-27,2025,SHORT,20.0,TP
2025-02-28,2025,SHORT,20.0,TP
2025-03-04,2025,LONG,20.0,TP
2025-03-06,2025,SHORT,-3.4099999999998545,EOD
2025-03-07,2025,LONG,-8.297000000000025,EOD
2025-03-10,2025,SHORT,20.0,TP
2025-03-11,2025,LONG,20.0,TP
2025-03-13,2025,SHORT,-40.0,SL
2025-03-18,2025,LONG,20.0,TP
2025-03-20,2025,SHORT,-2.2599999999997635,EOD
2025-03-26,2025,LONG,-12.309999999999945,EOD
2025-03-31,2025,LONG,3.5530000000003383,EOD
2025-04-03,2025,SHORT,20.0,TP
2025-04-08,2025,LONG,-28.472999999999956,EOD
2025-04-09,2025,LONG,20.0,TP
2025-04-16,2025,LONG,20.0,TP
2025-04-21,2025,LONG,20.0,TP
2025-04-23,2025,SHORT,20.0,TP
2025-05-08,2025,SHORT,-40.0,SL
2025-05-09,2025,LONG,20.0,TP
2025-05-12,2025,SHORT,20.0,TP
2025-05-13,2025,LONG,-14.269999999999982,EOD
2025-05-21,2025,LONG,-4.339999999999691,EOD
2025-05-23,2025,LONG,20.0,TP
2025-05-27,2025,SHORT,20.0,TP
2025-06-02,2025,LONG,20.0,TP
2025-06-09,2025,LONG,-0.1799999999998363,EOD
2025-06-10,2025,LONG,20.0,TP
2025-06-16,2025,SHORT,20.0,TP
2025-06-19,2025,SHORT,-13.054000000000087,EOD
2025-06-20,2025,SHORT,-26.016999999999825,EOD
2025-06-24,2025,SHORT,20.0,TP
2025-06-25,2025,LONG,-2.050000000000182,EOD
2025-06-30,2025,LONG,9.360000000000127,EOD
2025-07-01,2025,LONG,20.0,TP
2025-07-04,2025,LONG,-6.416999999999916,EOD
2025-07-07,2025,SHORT,-28.740000000000236,EOD
2025-07-10,2025,LONG,-4.019999999999982,EOD
2025-07-16,2025,LONG,20.0,TP
2025-07-17,2025,SHORT,20.0,TP
2025-07-21,2025,LONG,20.0,TP
2025-07-22,2025,SHORT,-40.0,SL
2025-07-24,2025,SHORT,20.0,TP
2025-07-31,2025,LONG,-10.876999999999953,EOD
2025-08-05,2025,SHORT,-14.366999999999734,EOD
2025-08-07,2025,LONG,8.460000000000036,EOD
2025-08-11,2025,SHORT,20.0,TP
2025-08-13,2025,LONG,-2.5399999999999636,EOD
2025-08-20,2025,LONG,20.0,TP
2025-08-21,2025,SHORT,-3.7800000000002,EOD
2025-09-08,2025,LONG,20.0,TP
2025-09-16,2025,LONG,-3.73700000000008,EOD
2025-09-17,2025,SHORT,20.0,TP
2025-09-18,2025,SHORT,-8.110000000000127,EOD
2025-09-22,2025,LONG,20.0,TP
2025-09-29,2025,LONG,16.549999999999727,EOD
2025-10-07,2025,SHORT,-34.48000000000002,EOD
2025-10-14,2025,SHORT,-40.0,SL
2025-10-15,2025,LONG,20.0,TP
2025-10-22,2025,LONG,-40.0,SL
2025-10-23,2025,LONG,20.0,TP
2025-10-24,2025,SHORT,20.0,TP
2025-10-28,2025,SHORT,20.0,TP
2025-10-29,2025,LONG,20.0,TP
2025-11-03,2025,LONG,-25.407000000000153,EOD
2025-11-05,2025,LONG,4.110000000000127,EOD
2025-11-06,2025,LONG,-40.0,SL
2025-11-07,2025,LONG,-7.905999999999949,EOD
2025-11-10,2025,LONG,20.0,TP
2025-11-13,2025,LONG,20.0,TP
2025-11-21,2025,SHORT,-40.0,SL
2025-12-10,2025,SHORT,20.0,TP
2025-12-12,2025,LONG,20.0,TP
2025-12-29,2025,SHORT,20.0,TP
2026-01-02,2026,LONG,-40.0,SL
2026-01-05,2026,LONG,20.0,TP
2026-01-20,2026,LONG,20.0,TP
2026-01-22,2026,LONG,20.0,TP
2026-01-27,2026,LONG,-40.0,SL
2026-01-28,2026,LONG,20.0,TP
2026-02-03,2026,LONG,20.0,TP
2026-02-04,2026,LONG,-40.0,SL
2026-02-18,2026,LONG,20.0,TP
2026-03-02,2026,LONG,-40.0,SL
2026-03-10,2026,LONG,20.0,TP
2026-03-12,2026,LONG,-40.0,SL
2026-03-13,2026,SHORT,-40.0,SL
2026-03-19,2026,SHORT,20.0,TP
2026-03-30,2026,LONG,20.0,TP
2026-04-01,2026,LONG,20.0,TP
2026-04-02,2026,SHORT,-40.0,SL
2026-04-13,2026,LONG,20.0,TP
2026-04-14,2026,LONG,20.0,TP
2026-04-15,2026,SHORT,20.0,TP
2026-04-21,2026,SHORT,20.0,TP
2026-04-22,2026,LONG,-40.0,SL
2026-04-30,2026,LONG,20.0,TP
2026-05-01,2026,SHORT,20.0,TP
2026-05-04,2026,SHORT,20.0,TP
2026-05-05,2026,LONG,20.0,TP
2026-05-06,2026,LONG,20.0,TP
2026-05-07,2026,LONG,20.0,TP
2026-05-12,2026,SHORT,20.0,TP
2026-05-15,2026,SHORT,20.0,TP
2026-05-21,2026,SHORT,20.0,TP
2026-05-27,2026,SHORT,20.0,TP
2026-05-29,2026,LONG,20.0,TP
2026-06-01,2026,SHORT,20.0,TP
2026-06-02,2026,LONG,-40.0,SL
2026-06-23,2026,SHORT,20.0,TP
2026-06-30,2026,LONG,20.0,TP
2026-07-01,2026,SHORT,-40.0,SL
2026-07-06,2026,SHORT,20.0,TP
2026-07-09,2026,LONG,20.0,TP
2026-07-13,2026,SHORT,20.0,TP
2026-07-21,2026,LONG,-1.300000000000182,EOD
2026-07-29,2026,LONG,-40.0,SL
2026-08-05,2026,LONG,20.0,TP
2026-08-07,2026,LONG,20.0,TP
2026-08-10,2026,LONG,-40.0,SL
2026-08-11,2026,SHORT,-5.170000000000073,EOD
2026-08-13,2026,SHORT,20.0,TP
