date,year,direction,pnl,outcome
2025-09-08,2025,LONG,35.0,TP
2025-09-17,2025,SHORT,-30.0,SL
2025-09-18,2025,LONG,-30.0,SL
2025-09-25,2025,LONG,-30.0,SL
2025-09-29,2025,SHORT,-28.32699999999977,EOD
2025-09-30,2025,SHORT,35.0,TP
2025-10-01,2025,LONG,-14.260000000000218,EOD
2025-10-07,2025,SHORT,-30.0,SL
2025-10-14,2025,LONG,14.172999999999774,EOD
2025-10-15,2025,LONG,-30.0,SL
2025-10-16,2025,LONG,35.0,TP
2025-10-17,2025,SHORT,35.0,TP
2025-10-20,2025,LONG,35.0,TP
2025-10-21,2025,SHORT,35.0,TP
2025-10-22,2025,SHORT,35.0,TP
2025-10-23,2025,SHORT,-30.0,SL
2025-10-24,2025,SHORT,-30.0,SL
2025-10-27,2025,SHORT,35.0,TP
2025-10-28,2025,SHORT,-30.0,SL
2025-10-29,2025,LONG,-30.0,SL
2025-10-30,2025,LONG,35.0,TP
2025-10-31,2025,SHORT,35.0,TP
2025-11-06,2025,LONG,-30.0,SL
2025-11-12,2025,LONG,35.0,TP
2025-11-13,2025,LONG,-30.0,SL
2025-11-17,2025,SHORT,35.0,TP
2025-11-18,2025,LONG,35.0,TP
2025-11-21,2025,LONG,35.0,TP
2025-11-25,2025,SHORT,-30.0,SL
2025-12-04,2025,SHORT,-30.0,SL
2025-12-09,2025,LONG,15.079999999999927,EOD
2025-12-12,2025,LONG,35.0,TP
2025-12-29,2025,SHORT,35.0,TP
2025-12-31,2025,SHORT,-30.0,SL
2026-01-05,2026,LONG,-30.0,SL
2026-01-06,2026,LONG,24.470000000000255,EOD
2026-01-12,2026,LONG,1.2899999999999636,EOD
2026-01-13,2026,LONG,35.0,TP
2026-01-20,2026,LONG,35.0,TP
2026-01-23,2026,SHORT,-30.0,SL
2026-01-29,2026,SHORT,35.0,TP
2026-01-30,2026,SHORT,35.0,TP
2026-02-02,2026,LONG,-30.0,SL
2026-02-06,2026,LONG,35.0,TP
2026-02-09,2026,LONG,-30.0,SL
2026-02-18,2026,SHORT,-30.0,SL
2026-02-20,2026,LONG,-30.0,SL
2026-03-02,2026,SHORT,35.0,TP
2026-03-03,2026,SHORT,35.0,TP
2026-03-06,2026,SHORT,35.0,TP
2026-03-19,2026,SHORT,35.0,TP
2026-03-20,2026,SHORT,35.0,TP
2026-03-23,2026,LONG,35.0,TP
2026-03-25,2026,LONG,-30.0,SL
2026-03-26,2026,SHORT,-30.0,SL
2026-03-27,2026,SHORT,-30.0,SL
2026-04-01,2026,SHORT,-30.0,SL
2026-04-02,2026,LONG,-30.0,SL
2026-04-06,2026,LONG,-30.0,SL
2026-04-09,2026,LONG,35.0,TP
2026-04-13,2026,LONG,-30.0,SL
2026-04-24,2026,LONG,35.0,TP
2026-04-29,2026,SHORT,35.0,TP
2026-04-30,2026,LONG,35.0,TP
2026-05-01,2026,SHORT,-30.0,SL
2026-05-04,2026,SHORT,35.0,TP
2026-05-06,2026,LONG,35.0,TP
2026-05-08,2026,SHORT,-30.0,SL
2026-05-11,2026,SHORT,-30.0,SL
2026-05-19,2026,LONG,-30.0,SL
2026-06-03,2026,SHORT,18.06999999999971,EOD
2026-06-05,2026,LONG,-30.0,SL
2026-06-10,2026,SHORT,35.0,TP
2026-06-11,2026,LONG,-30.0,SL
2026-06-12,2026,LONG,35.0,TP
2026-06-15,2026,LONG,35.0,TP
2026-06-16,2026,LONG,-4.440000000000509,EOD
2026-06-18,2026,SHORT,35.0,TP
2026-06-19,2026,LONG,-3.9399999999996,EOD
2026-06-23,2026,SHORT,-30.0,SL
2026-06-24,2026,SHORT,35.0,TP
2026-06-25,2026,LONG,35.0,TP
2026-07-02,2026,SHORT,-30.0,SL
2026-07-06,2026,LONG,-30.0,SL
2026-07-13,2026,LONG,-30.0,SL
2026-07-20,2026,LONG,-10.019999999999982,EOD
2026-07-23,2026,SHORT,35.0,TP
2026-07-24,2026,LONG,0.11000000000012733,EOD
2026-07-31,2026,SHORT,35.0,TP
2026-08-11,2026,SHORT,-30.0,SL
2026-08-13,2026,SHORT,-30.0,SL
2026-08-14,2026,LONG,35.0,TP
