strategy,tp,sl,horizon_m1,train_score,train_n,train_net_points,train_ev_points,train_wr,train_pf,train_time_exits
prevclose_1000close_to_1001,4.0,8.0,1440,-0.4900847383438089,1291,-491.4569999999992,-0.3806793183578615,0.611154144074361,0.862185687874168,121
prevclose_1000close_to_1001,12.0,5.0,240,-0.49190138166693637,1291,-500.9819999999961,-0.3880573199070458,0.42215336948102244,0.8027994043619519,860
prevclose_1000close_to_1001,4.0,12.0,240,-0.49229176757610216,1291,-501.93499999999926,-0.38879550735863616,0.5034856700232379,0.7985914826068048,797
prevclose_1000close_to_1001,8.0,8.0,240,-0.49396089530153653,1291,-501.73599999999783,-0.38864136328427407,0.4515879163439194,0.8129824200433281,967
prevclose_1000close_to_1001,10.0,8.0,240,-0.4944692608009876,1291,-501.9729999999979,-0.388824941905498,0.447714949651433,0.8151044918396664,1021
prevclose_1000close_to_1001,15.0,20.0,480,-0.4965986318526133,1291,-492.77499999999645,-0.3817002323779988,0.4686289697908598,0.9030521052512507,1022
prevclose_1000close_to_1001,30.0,10.0,240,-0.49750896617443285,1291,-504.925999999997,-0.39111231603407975,0.4492641363284276,0.8161081544495432,1176
prevclose_1000close_to_1001,15.0,10.0,240,-0.498504835775308,1291,-505.9879999999973,-0.39193493415956415,0.4492641363284276,0.8157213786844317,1151
prevclose_1000close_to_1001,15.0,30.0,480,-0.5031196868148367,1291,-499.3509999999976,-0.3867939581719579,0.47095274980635166,0.9022301888528743,1086
prevclose_1000close_to_1001,10.0,15.0,480,-0.5032040275816646,1291,-500.405999999997,-0.38761115414407205,0.48644461657629745,0.8946559370267316,788
prevclose_1000close_to_1001,20.0,12.0,240,-0.5082931676307247,1291,-516.2189999999985,-0.3998597986057308,0.45236250968241676,0.8135354146860205,1204
prevclose_1000close_to_1001,10.0,5.0,480,-0.5104646360585444,1291,-511.70699999999897,-0.3963648334624314,0.3625096824167312,0.8635968150811827,322
prevclose_1000close_to_1001,25.0,10.0,240,-0.5112476330063075,1291,-519.5969999999968,-0.40247637490317334,0.4492641363284276,0.8107650402782176,1174
prevclose_1000close_to_1001,12.0,5.0,480,-0.5114648843997308,1291,-512.3479999999984,-0.3968613477924077,0.3470178156467854,0.8663242508610625,371
prevclose_1000close_to_1001,8.0,10.0,240,-0.511827408574533,1291,-520.6029999999987,-0.4032556158017031,0.4539116963594113,0.80771442617344,1041
prevclose_1000close_to_1001,4.0,30.0,240,-0.5132934114650668,1291,-524.2629999999983,-0.40609062742060287,0.5050348567002324,0.7919620164005664,860
