strategy,tp,sl,horizon_m1,train_score,train_n,train_net_points,train_ev_points,train_wr,train_pf,train_time_exits
prevclose_0959_to_1000,20.0,10.0,120,-0.436884278138674,1291,-446.1039999999998,-0.3455491866769944,0.4756003098373354,0.7929559233521442,1233
prevclose_0959_to_1000,10.0,12.0,240,-0.4369520238052807,1291,-440.8659999999941,-0.3414918667699412,0.45933384972889235,0.838615788466053,1128
prevclose_0959_to_1000,25.0,12.0,240,-0.43805261367022397,1291,-441.8479999999943,-0.34225251742834567,0.4562354763749032,0.8397317012746458,1209
prevclose_0959_to_1000,12.0,8.0,120,-0.44033725063371887,1291,-449.81900000000064,-0.3484268009295125,0.4748257164988381,0.7913609067300194,1165
prevclose_0959_to_1000,10.0,30.0,240,-0.44079000753010444,1291,-444.8809999999935,-0.34460185902400736,0.45933384972889235,0.8373850516522832,1198
prevclose_0959_to_1000,8.0,8.0,240,-0.4417710796754635,1291,-446.46999999999457,-0.3458326878388804,0.4562354763749032,0.832238205440659,968
prevclose_0959_to_1000,20.0,12.0,240,-0.44229642406588965,1291,-446.31699999999455,-0.34571417505809027,0.4562354763749032,0.8381106935366824,1203
prevclose_0959_to_1000,4.0,20.0,240,-0.4430485475074326,1291,-449.1459999999952,-0.3479054996126996,0.5135553834237025,0.8204214765272425,830
prevclose_0959_to_1000,15.0,12.0,240,-0.4430654917503627,1291,-447.1279999999947,-0.3463423702556117,0.45701006971340047,0.8378107601160628,1188
prevclose_0959_to_1000,12.0,5.0,240,-0.443253306277172,1291,-448.8819999999955,-0.34770100697133655,0.42370255615801705,0.8244350524447507,843
prevclose_0959_to_1000,30.0,10.0,240,-0.4433095351781826,1291,-447.3879999999949,-0.3465437645236212,0.45236250968241676,0.8376930756862513,1170
prevclose_0959_to_1000,20.0,8.0,120,-0.44562000455596507,1291,-455.53400000000033,-0.35285360185902426,0.4748257164988381,0.7887101240417873,1183
prevclose_0959_to_1000,10.0,15.0,240,-0.4462990168307294,1291,-450.647999999994,-0.3490689388071216,0.45933384972889235,0.8356235735772451,1160
prevclose_0959_to_1000,25.0,10.0,240,-0.4463177979116917,1291,-450.55899999999497,-0.3489999999999961,0.45236250968241676,0.8365426754587107,1167
prevclose_0959_to_1000,30.0,15.0,240,-0.45012863513658097,1291,-454.45899999999415,-0.3520209140201349,0.4562354763749032,0.8360956739419844,1244
prevclose_0959_to_1000,20.0,10.0,240,-0.4505542484277623,1291,-455.02799999999525,-0.3524616576297407,0.45236250968241676,0.8349213766202123,1161
prevclose_0959_to_1000,10.0,25.0,240,-0.45065955820004044,1291,-455.2159999999935,-0.3526072811773769,0.45933384972889235,0.8342335702365061,1195
