strategy,tp,sl,horizon_m1,train_score,train_n,train_net_points,train_ev_points,train_wr,train_pf,train_time_exits,oos_n,oos_net_points,oos_ev_points,oos_wr,oos_pf,oos_time_exits,oos_compound_final,oos_compound_dd,oos_stalled,full_net_points,full_ev_points,full_wr,full_pf,robust_score
prevclose_0959_to_1000,10.0,30.0,120,-0.3724152296947546,1291,-377.4540000000011,-0.29237335398915654,0.4786986831913246,0.8212979187073929,1248,949,-187.35900000000288,-0.1974278187565889,0.505795574288725,0.9347877615020882,735,291.0,0.03,True,-564.813000000004,-0.2521486607142875,0.4901785714285714,0.886703447080614,-0.07545920748470858
prevclose_0959_to_1000,4.0,30.0,120,-0.339730663682834,1291,-343.6409999999996,-0.26618202943454655,0.5042602633617351,0.8289286215661622,983,949,-277.37500000000114,-0.2922813487881993,0.6016859852476291,0.876532851052881,469,291.0,0.03,True,-621.0160000000008,-0.2772392857142861,0.5455357142857142,0.8540608233436506,-0.07545920748470858
prevclose_0959_to_1000,15.0,30.0,120,-0.38077006163643934,1291,-386.3060000000014,-0.29923005422153476,0.47792408985282725,0.8174981717030652,1280,949,-265.2970000000016,-0.2795542676501598,0.48998946259220233,0.9120527252029302,833,291.0,0.03,True,-651.603000000003,-0.2908941964285728,0.4830357142857143,0.8730627845408477,-0.07545920748470858
prevclose_0959_to_1000,12.0,30.0,120,-0.38774142294584096,1291,-393.74100000000135,-0.30498915569326207,0.47792408985282725,0.8139856684196896,1268,949,-219.23800000000347,-0.23102002107481925,0.49631190727081137,0.9255546692935325,789,291.0,0.03,True,-612.9790000000048,-0.27365133928571644,0.4857142857142857,0.8788980411037677,-0.07545920748470858
prevclose_0959_to_1000,8.0,30.0,120,-0.38336309188923495,1291,-389.1150000000009,-0.3014058869093733,0.47947327652982186,0.8157492126672149,1216,949,-251.1520000000021,-0.2646491043203394,0.5205479452054794,0.9094486996626746,685,291.0,0.03,True,-640.267000000003,-0.2858334821428585,0.496875,0.868944511934892,-0.07545920748470858
prevclose_0959_to_1000,5.0,30.0,120,-0.3813915208466392,1291,-387.41199999999935,-0.3000867544539112,0.4903175832687839,0.812812613545879,1088,949,-190.94500000000403,-0.20120653319283882,0.5785036880927292,0.9201753971581763,538,291.0,0.03,True,-578.3570000000034,-0.2581950892857158,0.5276785714285714,0.8703730972800751,-0.07545920748470858
prevclose_0959_to_1000,30.0,30.0,120,-0.37557710092482716,1291,-380.7770000000012,-0.2949473276529831,0.47792408985282725,0.820110226935585,1288,949,-328.8990000000026,-0.3465742887249764,0.4773445732349842,0.8964570511105155,896,291.0,0.03,True,-709.6760000000038,-0.31681964285714453,0.47767857142857145,0.8659261909772844,-0.07545920748470858
prevclose_0959_to_1000,25.0,30.0,120,-0.37800404062123366,1291,-383.36000000000104,-0.2969481022463215,0.47792408985282725,0.8188899450282603,1287,949,-320.65600000000313,-0.3378883034773479,0.47839831401475236,0.8980895930334176,887,291.0,0.03,True,-704.0160000000042,-0.314292857142859,0.478125,0.8662373693136491,-0.07545920748470858
prevclose_0959_to_1000,4.0,30.0,240,-0.3919434290787708,1291,-395.4469999999951,-0.30631061192873366,0.5143299767621998,0.8386860965492166,843,949,-152.72599999999943,-0.160933614330874,0.6628029504741834,0.937687629489338,381,285.33299999999986,0.04889000000000048,True,-548.1729999999945,-0.24472008928571184,0.5772321428571429,0.8881824303140502,-0.12346055540755127
prevclose_0959_to_1000,12.0,25.0,120,-0.38918810612893157,1291,-395.2710000000013,-0.30617428350116294,0.47792408985282725,0.8133977322832857,1267,949,-264.13500000000295,-0.27832982086407054,0.4931506849315068,0.9105794133080546,781,249.55300000000102,0.1786859132586869,True,-659.4060000000043,-0.2943776785714305,0.484375,0.8699935963458155,-0.45214002706191836
prevclose_0959_to_1000,15.0,25.0,120,-0.38221900701249745,1291,-387.8360000000014,-0.3004151820294356,0.47792408985282725,0.8169076985101877,1279,949,-307.81400000000053,-0.3243561643835622,0.4868282402528978,0.8981086745031367,823,248.746000000001,0.18134186397056073,True,-695.6500000000019,-0.3105580357142866,0.4816964285714286,0.8646399664387281,-0.45936297510463714
prevclose_0959_to_1000,30.0,25.0,120,-0.377027734884402,1291,-382.30700000000115,-0.2961324554608839,0.47792408985282725,0.8195178670735423,1287,949,-366.7760000000021,-0.3864868282402551,0.47523709167544786,0.8845260804586006,884,246.94300000000112,0.1872757910257133,True,-749.0830000000033,-0.33441205357143006,0.4767857142857143,0.8585173238523366,-0.4755386204288746
prevclose_0959_to_1000,25.0,25.0,120,-0.3794538850495954,1291,-384.890000000001,-0.2981332300542223,0.47792408985282725,0.8182984665672763,1286,949,-358.53300000000263,-0.37780084299262656,0.47629083245521603,0.8862257625266273,875,246.94300000000112,0.1872757910257133,True,-743.4230000000036,-0.3318852678571445,0.4772321428571429,0.8589201940745652,-0.4755386204288746
prevclose_0959_to_1000,6.0,25.0,120,-0.36701490520063157,1291,-371.85800000000086,-0.2880387296669255,0.48412083656080557,0.8225578791959374,1138,949,-289.7050000000022,-0.305273972602742,0.5447839831401475,0.8877470481315448,598,248.82200000000057,0.19604130586501706,True,-661.5630000000031,-0.29534062500000136,0.5098214285714285,0.8585340130752155,-0.481106652060611
