family,param,tp,sl,score,positive_train_years,train_n,train_net,train_ev,train_pf,train_pos,train_dd,train_tp,train_sl,train_eod,oos_n,oos_net,oos_ev,oos_pf,oos_pos,oos_dd,oos_tp,oos_sl,oos_eod,all_n,all_net,all_ev,all_pf,all_pos,all_dd,all_tp,all_sl,all_eod
prevclose_gap_cont,th=20.0,10.0,35.0,-0.7524208194698325,2,93,105.09900000000152,1.1300967741935648,1.1870801337164003,0.7419354838709677,92.71000000000004,66,12,15,115,234.68999999999915,2.0407826086956447,1.3375328989946913,0.808695652173913,130.0,93,19,3,208,339.78900000000067,1.6336009615384648,1.2702967792435904,0.7788461538461539,130.0,159,31,18
prevclose_gap_cont,th=20.0,10.0,40.0,-0.29338474587464347,1,93,152.71900000000142,1.6421397849462518,1.2913561734259789,0.7526881720430108,86.22700000000032,67,9,17,115,224.51999999999907,1.9523478260869485,1.3138033208475413,0.8173913043478261,160.0,94,17,4,208,377.2390000000005,1.813649038461541,1.30431187613238,0.7884615384615384,160.0,161,26,21
prevclose_gap_cont,th=20.0,15.0,15.0,-1.6600152286953511,1,93,78.60599999999977,0.8452258064516104,1.1225549350321327,0.5161290322580645,111.23999999999978,48,40,5,115,-26.886999999999716,-0.23379999999999754,0.9690954022988509,0.4956521739130435,165.0,56,58,1,208,51.71900000000005,0.2486490384615387,1.034219402750044,0.5048076923076923,165.0,104,98,6
prevclose_gap_cont,th=20.0,15.0,20.0,-0.8366761823621411,1,93,93.74600000000055,1.00802150537635,1.1374073102342408,0.5913978494623656,111.67599999999948,51,31,11,115,21.302999999999884,0.18524347826086857,1.022190625,0.5826086956521739,205.0,65,48,2,208,115.04900000000043,0.5531201923076944,1.0700557589013606,0.5865384615384616,205.0,116,79,13
prevclose_gap_cont,th=20.0,15.0,25.0,-0.2354537152482914,1,93,157.40600000000086,1.6925376344086114,1.230939759884624,0.6451612903225806,99.93499999999995,55,24,14,115,21.302999999999884,0.18524347826086857,1.0202885714285712,0.6347826086956522,215.0,71,42,2,208,178.70900000000074,0.8591778846153881,1.1032052063162798,0.6394230769230769,215.0,126,66,16
prevclose_gap_cont,th=20.0,15.0,30.0,-1.0240967508308292,1,93,71.59900000000107,0.769881720430119,1.0933012421227126,0.6451612903225806,119.93499999999995,55,22,16,115,171.30299999999988,1.489591304347825,1.1679441176470586,0.7043478260869566,165.0,79,34,2,208,242.90200000000095,1.1677980769230816,1.1358971375117775,0.6778846153846154,165.0,134,56,18
prevclose_gap_cont,th=20.0,15.0,35.0,-1.214245388995027,1,93,49.36800000000085,0.5308387096774285,1.0625206584881226,0.6451612903225806,130.62400000000025,55,16,22,115,214.76599999999826,1.8675304347825936,1.2133711925145305,0.7217391304347827,140.4970000000003,81,27,7,208,264.1339999999991,1.2698749999999956,1.1470545005912594,0.6875,140.4970000000003,136,43,29
prevclose_gap_cont,th=20.0,15.0,40.0,-0.8030102560328227,1,93,93.51500000000078,1.0055376344086107,1.1229683883862833,0.6559139784946236,148.29700000000003,56,12,25,115,114.59599999999818,0.9964869565217234,1.1035468285643788,0.7217391304347827,215.4970000000003,81,26,8,208,208.11099999999897,1.000533653846149,1.11145696708471,0.6923076923076923,215.4970000000003,137,38,33
prevclose_gap_cont,th=20.0,20.0,15.0,-1.0457582734978907,1,93,146.93899999999894,1.5799892473118167,1.2139429306915683,0.4731182795698925,109.03700000000026,39,43,11,115,-74.63699999999972,-0.6490173913043453,0.9257343283582092,0.41739130434782606,200.0,46,67,2,208,72.30199999999923,0.3476057692307655,1.0427363764574589,0.4423076923076923,201.88699999999972,85,110,13
prevclose_gap_cont,th=20.0,20.0,20.0,-0.20256889036932835,1,93,162.07899999999972,1.742784946236556,1.2182385423385111,0.5483870967741935,115.88999999999987,42,34,17,115,-26.447000000000116,-0.22997391304347928,0.9768008771929824,0.5043478260869565,220.0,55,57,3,208,135.6319999999996,0.6520769230769212,1.0720424036301652,0.5240384615384616,252.7769999999996,97,91,20
prevclose_gap_cont,th=20.0,20.0,25.0,0.4900753890805549,1,93,236.33300000000008,2.541215053763442,1.3194056074008502,0.6021505376344086,115.79599999999982,45,26,22,115,-41.447000000000116,-0.3604086956521749,0.9674925490196078,0.5565217391304348,275.0,61,51,3,208,194.88599999999997,0.9369519230769229,1.0967216979376302,0.5769230769230769,282.68299999999954,106,77,25
prevclose_gap_cont,th=20.0,20.0,30.0,-0.25496110909538605,1,93,154.74600000000055,1.6639354838709737,1.1883695961787075,0.6021505376344086,136.57599999999957,45,23,25,115,326.9830000000002,2.8433304347826103,1.2851836346668761,0.6608695652173913,150.0,73,38,4,208,481.7290000000007,2.316004807692311,1.2447720408602942,0.6346153846153846,150.0,118,61,29
prevclose_gap_cont,th=20.0,20.0,35.0,-0.523659764114144,1,93,127.51500000000033,1.371129032258068,1.150241595413399,0.6021505376344086,156.98299999999972,45,17,31,115,360.44599999999855,3.1343130434782482,1.3125867764223078,0.6782608695652174,128.69000000000096,75,31,9,208,487.9609999999989,2.345966346153841,1.2437562442552845,0.6442307692307693,156.98299999999972,120,48,40
prevclose_gap_cont,th=20.0,20.0,40.0,-0.10534555874351303,1,93,171.66200000000026,1.8458279569892502,1.2081796198334682,0.6129032258064516,181.98299999999972,46,13,34,115,240.27599999999848,2.0893565217391172,1.188706777865302,0.6782608695652174,185.4970000000003,75,30,10,208,411.93799999999874,1.9804711538461477,1.1963607728436025,0.6490384615384616,210.0970000000002,121,43,44
prevclose_gap_cont,th=20.0,25.0,15.0,-0.5237696727168317,1,93,206.19199999999864,2.217118279569878,1.2876506318235952,0.45161290322580644,125.0,33,45,15,115,-4.636999999999716,-0.04032173913043231,0.9956460093896716,0.3826086956521739,161.88699999999972,42,71,2,208,201.55499999999893,0.9690144230769179,1.1131178675215252,0.41346153846153844,236.88699999999972,75,116,17
prevclose_gap_cont,th=20.0,25.0,20.0,0.3964141613351453,1,93,226.33199999999943,2.4336774193548325,1.289179717096243,0.5268817204301075,150.88999999999987,36,36,21,115,-107.81700000000001,-0.9375391304347827,0.9168316144310652,0.43478260869565216,261.8869999999997,47,64,4,208,118.51499999999942,0.569783653846151,1.0570047026534852,0.47596153846153844,377.7769999999996,83,100,25
prevclose_gap_cont,th=20.0,25.0,25.0,1.087363320034084,1,93,302.12599999999975,3.248666666666664,1.38247912750106,0.5806451612903226,150.79599999999982,38,28,27,115,-115.54299999999967,-1.004721739130432,0.9205396342469825,0.48695652173913045,334.6129999999994,53,57,5,208,186.58300000000008,0.8970336538461543,1.0831470968725199,0.5288461538461539,410.4089999999992,91,85,32
prevclose_gap_cont,th=20.0,25.0,30.0,0.2595730818530604,1,93,210.53900000000021,2.2638602150537657,1.2388412051248896,0.5806451612903226,176.57599999999957,38,25,30,115,282.8870000000006,2.4598869565217445,1.2086701296632067,0.591304347826087,190.0,65,44,6,208,493.42600000000084,2.3722403846153886,1.2205583130100204,0.5865384615384616,261.18899999999894,103,69,36
prevclose_gap_cont,th=20.0,25.0,35.0,0.2590297648543398,2,93,217.42799999999988,2.3379354838709663,1.2460335870675872,0.5913978494623656,201.98299999999972,38,18,37,115,394.4299999999989,3.4298260869565125,1.29831274017681,0.6260869565217392,195.34299999999985,68,35,12,208,611.8579999999988,2.9416249999999944,1.2773688810554789,0.6105769230769231,307.32599999999957,106,53,49
prevclose_gap_cont,th=20.0,25.0,40.0,0.6860203999249515,2,93,261.5749999999998,2.8126344086021486,1.3025436451665882,0.6021505376344086,231.98299999999972,39,14,40,115,254.25999999999885,2.2109565217391203,1.1738680897418092,0.6260869565217392,235.34299999999985,68,34,13,208,515.8349999999987,2.479975961538455,1.2216777347602594,0.6153846153846154,382.32599999999957,107,48,53
prevclose_gap_cont,th=20.0,30.0,15.0,-0.6344456043786897,1,93,195.90099999999802,2.106462365591377,1.2669445564845774,0.43010752688172044,120.0,25,46,22,115,25.363000000000284,0.220547826086959,1.022544888888889,0.34782608695652173,255.0,38,75,2,208,221.2639999999983,1.0637692307692226,1.1190318388004707,0.38461538461538464,266.8869999999997,63,121,24
prevclose_gap_cont,th=20.0,30.0,20.0,0.39925702064171853,1,93,226.0409999999988,2.4305483870967612,1.2808943246027478,0.5053763440860215,145.88999999999987,28,37,28,115,-83.87700000000041,-0.7293652173913079,0.9390592645872836,0.4,277.9470000000001,42,68,5,208,142.1639999999984,0.6834807692307615,1.0651802837940123,0.44711538461538464,373.837,70,105,33
prevclose_gap_cont,th=20.0,30.0,25.0,1.1186667115670756,2,93,306.8349999999991,3.299301075268808,1.37557912517672,0.5591397849462365,145.79599999999982,30,29,34,115,-81.60300000000007,-0.7095913043478267,0.9474916607468264,0.45217391304347826,350.6729999999998,48,61,6,208,225.23199999999906,1.0828461538461494,1.094992073168931,0.5,401.4689999999996,78,90,40
prevclose_gap_cont,th=20.0,30.0,30.0,0.24881623112163442,1,93,210.2479999999996,2.2607311827956944,1.2301434401106885,0.5591397849462365,166.57599999999957,30,26,37,115,297.46699999999964,2.586669565217388,1.2000254178137182,0.5478260869565217,191.0600000000004,58,48,9,208,507.71499999999924,2.4409374999999964,1.2114864093692748,0.5528846153846154,206.18899999999894,88,74,46
prevclose_gap_cont,th=20.0,30.0,35.0,0.16339248932062134,2,93,212.13699999999926,2.28104301075268,1.2303876157574578,0.5698924731182796,196.98299999999972,30,19,44,115,339.00999999999794,2.947913043478243,1.2247059190035268,0.5739130434782609,185.0,60,40,15,208,551.1469999999972,2.649745192307679,1.2268593180559006,0.5721153846153846,257.32599999999957,90,59,59
prevclose_gap_cont,th=20.0,30.0,40.0,0.6008443006106914,2,93,256.2839999999992,2.7557419354838624,1.2826757375617108,0.5806451612903226,231.98299999999972,31,15,47,115,206.5499999999979,1.796086956521721,1.125857405478985,0.5739130434782609,220.0,60,38,17,208,462.8339999999971,2.2251634615384477,1.1816617532368376,0.5769230769230769,337.32599999999957,91,53,64
prevclose_gap_cont,th=20.0,35.0,15.0,-0.1151210170688235,1,93,252.0209999999979,2.7099032258064293,1.3407881285800025,0.41935483870967744,115.0,20,46,27,115,55.13299999999981,0.4794173913043462,1.047734199134199,0.33043478260869563,230.0,33,77,5,208,307.1539999999977,1.476701923076912,1.1621272678519763,0.3701923076923077,230.0,53,123,32
prevclose_gap_cont,th=20.0,35.0,20.0,1.039316471579947,1,93,297.1609999999987,3.195279569892459,1.3666938555910242,0.4946236559139785,140.88999999999987,23,37,33,115,-44.10700000000088,-0.38353913043479027,0.9688591257934008,0.3826086956521739,262.9470000000001,37,70,8,208,253.0539999999978,1.2166057692307588,1.113642803926261,0.4326923076923077,328.837,60,107,41
prevclose_gap_cont,th=20.0,35.0,25.0,1.3051978254587704,2,93,327.954999999999,3.526397849462355,1.386910485179176,0.5376344086021505,140.79599999999982,24,30,39,115,-81.83300000000054,-0.7115913043478308,0.9497678467076216,0.4260869565217391,320.6729999999998,42,64,9,208,246.12199999999848,1.1832788461538388,1.0993741321691053,0.47596153846153844,406.4689999999996,66,94,48
prevclose_gap_cont,th=20.0,35.0,30.0,0.3899153133702473,1,93,226.36799999999948,2.434064516129027,1.238479918079417,0.5376344086021505,161.57599999999957,24,27,42,115,288.6769999999997,2.510234782608693,1.1830375881497337,0.5217391304347826,186.0600000000004,50,51,14,208,515.0449999999992,2.476177884615381,1.2038685728625949,0.5288461538461539,236.2889999999984,74,78,56
prevclose_gap_cont,th=20.0,35.0,35.0,0.2466192583261777,2,93,223.25699999999915,2.4006129032257975,1.232210333841943,0.5483870967741935,181.98299999999972,24,20,49,115,325.219999999998,2.8279999999999825,1.2015389639724765,0.5478260869565217,175.0,52,43,20,208,548.4769999999971,2.63690865384614,1.212990354646723,0.5480769230769231,277.425999999999,76,63,69
prevclose_gap_cont,th=20.0,35.0,40.0,0.7470576513845613,2,93,273.7079999999992,2.9430967741935397,1.2893343706923517,0.5591397849462365,216.98299999999972,25,15,53,115,196.2299999999973,1.706347826086933,1.1126028807469888,0.5478260869565217,215.0,52,40,23,208,469.93799999999646,2.2593173076922906,1.1747848839479802,0.5528846153846154,361.12199999999893,77,55,76
prevclose_gap_fade,th=20.0,10.0,15.0,-4.437647388374609,2,93,-225.32999999999993,-2.4229032258064507,0.6734347826086957,0.5053763440860215,340.3299999999999,46,46,1,115,-14.100000000000364,-0.12260869565217708,0.9796859242184118,0.591304347826087,109.10000000000036,68,46,1,208,-239.4300000000003,-1.1511057692307707,0.8270139440791848,0.5528846153846154,429.4300000000003,114,92,2
prevclose_gap_fade,th=20.0,10.0,20.0,-4.740704298977218,2,93,-252.51999999999998,-2.7152688172043007,0.6745708541677407,0.5698924731182796,376.55999999999995,51,38,4,115,7.539999999999964,0.06556521739130403,1.0100204662041836,0.6608695652173913,104.10000000000036,76,37,2,208,-244.98000000000002,-1.1777884615384617,0.8397168317609034,0.6201923076923077,440.6600000000003,127,75,6
prevclose_gap_fade,th=20.0,10.0,25.0,-5.182927771281989,2,93,-289.2999999999997,-3.11075268817204,0.6567150010679452,0.6021505376344086,403.77,54,32,7,115,-37.460000000000036,-0.3257391304347829,0.9552695054092135,0.6956521739130435,168.35999999999967,80,33,2,208,-326.75999999999976,-1.5709615384615374,0.8055231520057137,0.6538461538461539,441.23,134,65,9
