family,variant,tp,sl,rr,strict_tp_gt_sl,all_years_positive,positive_years,train_n,train_positive,train_negative,train_zero,train_win_rate,train_tp_count,train_sl_count,train_eod_count,train_net,train_ev,train_pf,train_max_dd,train_max_loss_streak,train_loss_streak_start,train_loss_streak_end,oos_n,oos_positive,oos_negative,oos_zero,oos_win_rate,oos_tp_count,oos_sl_count,oos_eod_count,oos_net,oos_ev,oos_pf,oos_max_dd,oos_max_loss_streak,oos_loss_streak_start,oos_loss_streak_end,all_n,all_positive,all_negative,all_zero,all_win_rate,all_tp_count,all_sl_count,all_eod_count,all_net,all_ev,all_pf,all_max_dd,all_max_loss_streak,all_loss_streak_start,all_loss_streak_end,net_2023,net_2024,net_2025,net_2026,distance
10_11_mom_cont_long,th=8.0,40.0,40.0,1.0,False,True,4,51,29,22,0,0.5686274509803921,11,9,31,184.37499999999957,3.615196078431364,1.409351077245519,109.5300000000002,3,2025-05-08,2025-05-19,31,18,13,0,0.5806451612903226,12,8,11,186.47000000000023,6.015161290322589,1.4959704231720614,156.64000000000033,3,2026-03-25,2026-04-06,82,47,35,0,0.573170731707317,23,17,42,370.8449999999998,4.522499999999997,1.4487595265120798,156.64000000000033,3,2025-05-08,2025-05-19,26.92999999999984,7.9520000000002256,149.49299999999948,186.47000000000023,2.2682926829268304
14_15_mom_cont_short,th=8.0,50.0,40.0,1.25,True,False,2,30,17,13,0,0.5666666666666667,5,3,22,73.59299999999939,2.45309999999998,1.2544331237056707,127.07099999999993,3,2024-08-05,2024-12-04,37,21,16,0,0.5675675675675675,15,11,11,331.9429999999993,8.971432432432414,1.64436183635834,80.0,2,2026-01-05,2026-01-09,67,38,29,0,0.5671641791044776,20,14,33,405.5359999999987,6.052776119402965,1.5041515776492314,127.07099999999993,3,2024-08-05,2024-12-04,-5.0,-3.3970000000003893,81.98999999999978,331.9429999999993,2.3283582089552244
asia_extreme_plus_mom,"frac=0.85,mom>=8.0",20.0,20.0,1.0,False,False,3,37,19,18,0,0.5135135135135135,15,10,12,82.11900000000082,2.2194324324324546,1.336193661697942,46.27700000000005,3,2023-01-04,2023-03-20,30,19,11,0,0.6333333333333333,19,11,0,160.0,5.333333333333333,1.7272727272727273,80.0,3,2026-02-04,2026-03-12,67,38,29,0,0.5671641791044776,34,21,12,242.1190000000008,3.61371641791046,1.5215148375590477,80.0,3,2023-01-04,2023-03-20,8.798000000000002,-25.27199999999948,98.5930000000003,160.0,2.3283582089552244
15_16_mom_cont,th=25.0,40.0,40.0,1.0,False,True,4,20,14,6,0,0.7,5,3,12,151.93100000000072,7.596550000000036,1.974060278117933,40.0,1,2023-05-05,2023-05-05,30,16,14,0,0.5333333333333333,12,9,9,34.43400000000065,1.1478000000000217,1.0722680680663887,165.84600000000046,4,2026-01-12,2026-02-02,50,30,20,0,0.6,17,12,21,186.36500000000137,3.727300000000028,1.2946701177795057,165.84600000000046,4,2026-01-12,2026-02-02,13.816000000000033,12.569000000000417,125.54600000000028,34.43400000000065,2.500000000000001
ema_stretch_fade_720,d=15.0,30.0,30.0,1.0,False,False,2,22,12,10,0,0.5454545454545454,9,10,3,0.8800000000005639,0.0400000000000256,1.0029333333333352,119.11999999999944,3,2025-10-10,2025-10-22,32,17,15,0,0.53125,16,14,2,52.74000000000024,1.6481250000000074,1.1225628035602246,70.30999999999949,3,2026-05-15,2026-06-10,54,29,25,0,0.5370370370370371,25,24,5,53.6200000000008,0.9929629629629778,1.073420876066329,119.11999999999944,3,2025-10-10,2025-10-22,-1000000000.0,-30.0,30.880000000000564,52.74000000000024,2.6296296296296298
prevclose_gap_cont,th=30.0,35.0,35.0,1.0,False,False,3,48,33,15,0,0.6875,20,11,17,495.1899999999987,10.316458333333308,2.2262763238702736,105.0,3,2025-11-18,2025-12-15,85,49,36,0,0.5764705882352941,41,29,15,417.7359999999976,4.91454117647056,1.3816380059328284,175.0,5,2026-01-21,2026-01-29,133,82,51,0,0.6165413533834586,61,40,32,912.9259999999964,6.8641052631578665,1.6092659985331017,175.0,5,2026-01-21,2026-01-29,-1000000000.0,63.07999999999993,432.1099999999988,417.7359999999976,2.8345864661654145
15_16_mom_fade_short,th=15.0,7.5,7.5,1.0,False,False,3,31,18,13,0,0.5806451612903226,17,13,1,33.13000000000011,1.0687096774193583,1.3397948717948729,45.0,5,2025-10-23,2025-11-18,29,17,12,0,0.5862068965517241,17,12,0,37.5,1.293103448275862,1.4166666666666667,22.5,3,2026-02-13,2026-02-27,60,35,25,0,0.5833333333333334,34,25,1,70.63000000000011,1.1771666666666685,1.376693333333334,45.0,5,2025-10-23,2025-11-18,22.5,33.13000000000011,-22.5,37.5,3.166666666666667
ema_stretch_fade_900,d=15.0,25.0,25.0,1.0,False,False,2,17,10,7,0,0.5882352941176471,9,6,2,73.83399999999983,4.343176470588226,1.4627176215484496,50.0,2,2025-10-20,2025-10-21,34,18,16,0,0.5294117647058824,17,15,2,40.71999999999935,1.1976470588235102,1.1050513389401972,125.0,5,2026-02-05,2026-03-10,51,28,23,0,0.5490196078431373,26,21,4,114.55399999999918,2.246156862745082,1.2093511164393809,125.0,5,2026-02-05,2026-03-10,-1000000000.0,0.0,73.83399999999983,40.71999999999935,3.5098039215686274
prevday_hilo_break,b=8.0,12.5,12.5,1.0,False,False,3,258,138,120,0,0.5348837209302325,120,102,36,243.1659999999997,0.9425038759689912,1.18084244799123,147.0229999999999,5,2023-01-03,2023-01-31,81,44,37,0,0.5432098765432098,44,37,0,87.5,1.0802469135802468,1.1891891891891893,75.0,5,2026-02-11,2026-02-23,339,182,157,0,0.5368731563421829,164,139,36,330.6659999999997,0.9754159292035388,1.182978636278871,147.0229999999999,5,2023-01-03,2023-01-31,43.60600000000022,-7.370000000000346,206.92999999999984,87.5,3.6312684365781713
asia_close_10_12_short,b=5.0,20.0,20.0,1.0,False,False,2,97,48,49,0,0.4948453608247423,31,29,37,34.00900000000024,0.3506082474226829,1.0479301082088188,143.36200000000008,5,2023-01-31,2023-03-15,28,19,9,0,0.6785714285714286,19,9,0,200.0,7.142857142857143,2.111111111111111,40.0,2,2026-06-23,2026-07-01,125,67,58,0,0.536,50,38,37,234.00900000000024,1.872072000000002,1.2630632878948331,143.36200000000008,5,2023-01-31,2023-03-15,-5.52800000000002,-10.123000000000047,49.66000000000031,200.0,3.64
