tp2,sl2,b_train_final,b_train_dd,b_train_wr,b_train_pos_years,b_oos_final,b_oos_dd,b_oos_wr,b_oos_trades,b_oos_reentries,b_oos_pos_years,b_oos_maxdayloss,b_oos_max_second_risk,ab_train_final,ab_train_dd,ab_train_wr,ab_train_pos_years,ab_oos_final,ab_oos_dd,ab_oos_wr,ab_oos_trades,ab_oos_reentries,ab_oos_pos_years,ab_oos_maxrisk,ab_oos_maxdayloss,b_full_final,b_full_dd,ab_full_final,ab_full_dd,b_ret_2023,ab_ret_2023,ab_ret_2024,ab_ret_2025,ab_ret_2026,b_train_score,ab_train_score,b_ret_2024,b_ret_2025,b_ret_2026
30.0,15.0,641.8740000000075,0.5003027287550336,0.6419558359621451,4,195.1980000000019,0.637547628066577,0.6845637583892618,447,170,1,0.09510336547034486,0.09987194197662028,196.0379999999991,0.39919642775052,0.5374449339207048,1,1494.7249999999983,0.795483491197089,0.6758957654723127,614,195,3,0.1980807951755426,0.16588358351547156,1227.814000000012,0.7497135571735629,196.0379999999991,0.39919642775052,0.2269600000000036,0.9003866666666749,0.19870692981780036,-0.1752511698824507,1.651937867591612,0.4852008642703892,-0.8643891341296935,-0.1202728695311912,-0.1995540691192902,-0.2469154854589909
25.0,15.0,550.6380000000049,0.49121330981126254,0.6435331230283912,4,194.87500000000227,0.6256255583198027,0.6859688195991092,449,171,1,0.09524580561283473,0.09978844848920235,197.23699999999872,0.395521816281688,0.5328185328185329,1,1746.846000000003,0.7787385456837005,0.6791530944625407,614,195,4,0.19959913839705012,0.18022185310116673,1174.6080000000136,0.7006057846049077,197.23699999999872,0.395521816281688,0.10725000000000295,0.6338066666666744,0.271298929697934,0.0894358523359089,1.5732581469140205,0.34415716304496646,-0.8533308752928054,-0.027055016181222413,-0.11854709952102371,-0.31592803861342444
8.0,6.0,636.7190000000096,0.6593292678237679,0.6293375394321766,3,194.587,0.526295289171497,0.609375,64,22,0,0.0973764353895179,0.09926707807355686,1287.0830000000128,0.5709671520812428,0.6218034993270525,3,189.46299999999997,0.5725730038983542,0.6292134831460674,89,25,0,0.1595630872556236,0.1450573520505669,193.70100000000912,0.7705673956276473,1192.7690000000225,0.8235667252634893,-0.35137666666666667,-0.36845666666666677,0.0,0.0,0.0,0.16245144172902382,0.9855455666152897,,,
20.0,12.0,772.4170000000115,0.5846261444557451,0.6419558359621451,3,194.45400000000086,0.5552877248672394,0.6226415094339622,106,37,0,0.09147917247940565,0.09995585283166564,192.59799999999905,0.4321792044529896,0.5328185328185329,1,198.06900000000132,0.5810235962305237,0.6372549019607843,204,56,0,0.19515812687229764,0.1830663615560638,1233.141000000019,0.7091817922770399,192.59799999999905,0.4321792044529896,-0.35181999999999714,-0.15169333333332968,-0.2217083444666219,0.0,0.0,0.4564967899623107,-0.9266192855736249,,,
25.0,8.0,1861.636000000039,0.6803319691531888,0.6261829652996845,5,194.43700000000058,0.6163671914306731,0.6132075471698113,106,37,0,0.09603795419949929,0.09921588446310206,3521.810000000061,0.6319707075141417,0.6191117092866757,4,193.93900000000076,0.6428833168529217,0.6121212121212121,165,47,0,0.19984112630458728,0.1733470277485249,1626.9880000000512,0.8778798255623188,10045.056000000084,0.8360028055249998,-0.35187666666666473,-0.35353666666666417,0.0,0.0,0.0,1.406980316991812,2.009787411179467,,,
15.0,8.0,1298.7460000000242,0.68132768009311,0.6277602523659306,3,193.96099999999956,0.5119999194889567,0.625,72,25,0,0.08722741433021806,0.09846153846153846,2416.868000000033,0.6142802981621879,0.620457604306864,4,188.21999999999912,0.5836549968257635,0.6153846153846154,117,34,0,0.18326178487815453,0.13672128682075174,929.5690000000261,0.840077589240125,4828.343000000032,0.8417773091359201,-0.3534633333333348,-0.37260000000000293,0.0,0.0,0.0,0.8455796197423091,1.6571668888801834,,,
6.0,8.0,197.27299999999968,0.42569221856377343,0.5450236966824644,1,193.923,0.48619188549717424,0.6527777777777778,72,25,0,0.08695652173913043,0.09920511898413958,197.59799999999927,0.43025119948330054,0.5330188679245284,1,199.23699999999985,0.5163093879731013,0.6347826086956522,115,33,0,0.18409086725207574,0.13140647636818775,197.27299999999968,0.42569221856377343,197.59799999999927,0.43025119948330054,-0.35358999999999996,-0.33587666666666716,0.0,0.0,0.0,-0.8938784134936386,-0.8983869301536053,,,
6.0,12.0,198.1320000000003,0.4137256584534448,0.5454545454545454,1,193.77600000000098,0.4777532523184626,0.6415094339622641,106,37,0,0.09083765947686555,0.09969095803010623,197.68999999999937,0.41069331250633523,0.5380952380952381,1,199.53200000000106,0.5354643447489098,0.6293706293706294,143,41,0,0.1928091815732254,0.12819732131697079,198.1320000000003,0.4137256584534448,197.68999999999937,0.41069331250633523,-0.35407999999999673,-0.3348933333333298,0.0,0.0,0.0,-0.8733786383306544,-0.8715182993319109,,,
8.0,8.0,653.9920000000072,0.5071683508008311,0.6419558359621451,3,193.69299999999998,0.4728337638090158,0.6285714285714286,70,24,0,0.08765805843661853,0.09894163371188815,188.00299999999925,0.46713584417940346,0.5346938775510204,1,194.79899999999998,0.5177168181030429,0.6404494382022472,89,25,0,0.17160753357072367,0.1560068487006579,182.96600000000694,0.7765456328536444,188.00299999999925,0.46713584417940346,-0.35435666666666676,-0.35067000000000004,0.0,0.0,0.0,0.3946353707291679,-0.9979579441489609,,,
25.0,10.0,1301.479000000021,0.6447935392159251,0.637223974763407,3,193.37900000000081,0.6125337116248486,0.6216216216216216,111,39,0,0.09004445945185414,0.09868421052631579,2465.550000000033,0.6028473696216656,0.6285329744279946,4,198.8370000000009,0.6171411076965718,0.624113475177305,141,41,0,0.19549147779338943,0.163523940926976,2377.670000000033,0.7483434951389162,13017.491000000042,0.7334131615761652,-0.35540333333333063,-0.337209999999997,0.0,0.0,0.0,0.8970028364781797,1.692543761675208,,,
15.0,6.0,1290.2430000000315,0.7707807389052717,0.613564668769716,3,193.34099999999899,0.5940440220803315,0.6,75,26,0,0.09418412997409915,0.09997633893311941,2575.0460000000467,0.7376690095374501,0.6083445491251682,4,199.3989999999983,0.6131652514341503,0.6086956521739131,115,33,0,0.17773354187402352,0.1703214817968913,1017.2980000000325,0.9032664271730105,6341.868000000045,0.8535644183801837,-0.35553000000000334,-0.3353366666666724,0.0,0.0,0.0,0.7182493795306528,1.553987039484205,,,
30.0,6.0,1803.5720000000479,0.7684107941919285,0.61198738170347,4,193.22799999999984,0.6864891877157916,0.6050420168067226,119,41,0,0.09734949767659203,0.09898267803134463,3985.5260000000835,0.7353027014931331,0.6069986541049798,4,198.135,0.7165661495854384,0.6170212765957447,188,54,0,0.18221007488389673,0.16443348221229706,1266.4990000000512,0.9128425051236788,8683.495000000064,0.9066547386808629,-0.35590666666666726,-0.10638333333333394,-0.260924706716153,0.0,0.0,1.156387375104602,1.9939834558230136,,,
8.0,12.0,184.67700000000013,0.45993139367921204,0.5752895752895753,1,192.38600000000065,0.48780247544654026,0.6216216216216216,111,39,0,0.08775393795796566,0.09779193949938664,198.83199999999965,0.414273173433256,0.5384615384615384,1,197.47400000000084,0.5281712856217836,0.6260869565217392,115,33,0,0.1938632585505806,0.14759167287781585,184.67700000000013,0.45993139367921204,198.83199999999965,0.414273173433256,-0.3587133333333312,-0.3417533333333306,0.0,0.0,0.0,-1.0060815029307786,-0.8705910117274596,,,
6.0,6.0,197.21800000000417,0.6713997227479876,0.6116910229645094,2,190.587,0.538280960421729,0.625,64,22,0,0.09690462404639792,0.09893357846875554,199.31299999999987,0.4563321040457375,0.5368852459016393,1,195.23599999999988,0.5709447803145681,0.6404494382022472,89,25,0,0.16641704110500913,0.14208279164269016,197.21800000000417,0.6713997227479876,199.31299999999987,0.4563321040457375,-0.3647100000000001,-0.3492133333333337,0.0,0.0,0.0,-1.125862384472535,-0.9249543617274246,,,
