reclaim,wait,tp2,sl2,b_train_final,b_train_dd,b_train_wr,b_train_pos_years,b_oos_final,b_oos_dd,b_oos_wr,b_oos_pos_years,b_oos_reclaims,ab_train_final,ab_train_dd,ab_train_wr,ab_train_pos_years,ab_oos_final,ab_oos_dd,ab_oos_wr,ab_oos_pos_years,ab_oos_reclaims,ab_oos_maxdayloss,ab_oos_maxrisk,ab_ret_2023,ab_ret_2024,ab_ret_2025,ab_ret_2026
1.5,240,12.0,12.0,580.752,0.3586755535572882,0.6565656565656566,2,831.5459999999994,0.3062998215803542,0.7192224622030238,4,154,199.3859999999986,0.3968965517241407,0.5495867768595041,1,1923.901999999997,0.480851366059381,0.699825479930192,4,154,0.1636155770210107,0.1977254976915556,0.3642800000000004,0.393709502448174,0.5670861799050875,1.1522515891003744
1.5,240,12.0,15.0,195.13799999999924,0.3957771468028277,0.6275071633237822,1,744.1829999999995,0.3420573362053825,0.7321428571428571,4,139,197.5019999999988,0.3872753107025665,0.54,1,2021.536999999997,0.5418006829729745,0.7085514834205934,4,154,0.1804179743211102,0.1998448704193373,0.3948666666666667,0.5869593270563465,0.5247237151001596,0.996506794319618
1.5,240,15.0,8.0,705.8190000000027,0.3440284870722607,0.6447811447811448,3,554.9699999999982,0.4582876409643694,0.6846652267818575,4,154,1197.7390000000023,0.3887782154333561,0.6344238975817923,4,1723.5769999999948,0.6304394500702436,0.6719022687609075,4,154,0.1752907269744688,0.1943002035294643,0.3007799999999967,0.5516766862959102,0.6111471684527441,0.7667257428168193
1.5,240,15.0,10.0,655.2050000000015,0.3909581527028227,0.6498316498316499,3,1017.2099999999988,0.4044881287206453,0.7019438444924406,4,154,1075.5220000000018,0.3821899576527551,0.6386913229018493,4,1892.228999999996,0.5719288407336828,0.6858638743455497,4,154,0.1812860249322676,0.1990346817933029,0.398536666666665,0.3792321021257898,0.6870161334918572,0.9383044347176774
1.5,240,15.0,12.0,571.7350000000001,0.4009750403148865,0.6548821548821548,2,931.0519999999996,0.344198620190641,0.7105831533477321,4,154,188.70299999999884,0.4292105263157916,0.55078125,1,2070.166999999997,0.5475353128230404,0.6928446771378709,4,154,0.1624090128881707,0.1970240744948029,0.3591399999999991,0.4724261910718015,0.486028615686993,1.3203806013896542
1.5,240,15.0,15.0,198.13799999999924,0.3864879844685231,0.6275071633237822,1,651.8709999999992,0.3791200408093447,0.7297297297297297,4,135,197.5019999999988,0.3872753107025665,0.54,1,1799.436999999997,0.5852514915369232,0.7033158813263525,4,154,0.1975431557716683,0.1975431557716683,0.3721733333333328,0.4941431111715688,0.4948566578925537,0.9571074472748028
1.5,240,20.0,8.0,520.6100000000017,0.3482086024893655,0.6430976430976431,3,451.2779999999984,0.4667989263624707,0.673866090712743,3,154,197.25299999999856,0.4037145975096978,0.5572519083969466,1,1231.2159999999965,0.6380801022655647,0.6631762652705061,4,154,0.1629956425831557,0.1984569968494959,0.395869999999999,0.3548945579936942,0.2905281673384723,0.6814928928075901
1.5,240,20.0,10.0,520.8860000000006,0.3962784441206149,0.6481481481481481,2,786.678999999999,0.3685346686100188,0.6911447084233261,4,154,199.30699999999865,0.3971355111917752,0.5572519083969466,1,1809.9759999999972,0.5426438019205703,0.6771378708551483,4,154,0.1898037429298111,0.1969090898861869,0.3703266666666664,0.4056332066806403,0.292674780610294,1.4230711562352791
1.5,240,20.0,12.0,516.9540000000002,0.3556432001060305,0.6531986531986532,2,830.3759999999993,0.3703736829866022,0.7019438444924406,4,154,197.4319999999984,0.402807017543863,0.5495867768595041,1,1762.216999999998,0.5331785451945239,0.6858638743455497,4,154,0.1711310478781894,0.1985387547649302,0.3583733333333332,0.4090603466891731,0.0888317668305442,1.8185685929845212
1.5,240,20.0,15.0,197.8709999999994,0.3901923379180912,0.6257142857142857,1,898.4819999999997,0.4149926421504278,0.7136659436008677,4,152,197.5019999999988,0.3872753107025665,0.54,1,1837.8469999999984,0.5848269681863716,0.6963350785340314,4,154,0.1964485378499041,0.1992713311657044,0.3971133333333341,0.4623246980679172,0.2397366660684272,1.4187066606830094
2.0,60,12.0,8.0,644.7470000000001,0.3862241362708653,0.6571428571428571,2,369.54399999999896,0.408584720263804,0.7025171624713958,3,128,199.4859999999985,0.3978944445450565,0.5503875968992248,1,1172.5799999999963,0.553848352747805,0.6855575868372943,4,128,0.1575671630032309,0.1988901927245975,0.5693866666666667,0.3300397607557905,0.2097974461996383,0.5477969323371816
2.0,60,12.0,10.0,617.7520000000002,0.3827410654647307,0.6625,2,702.8479999999993,0.3412260399976266,0.7185354691075515,3,128,197.4859999999985,0.4039310140833193,0.5503875968992248,1,2039.272999999996,0.5262062133514548,0.6983546617915904,4,128,0.1830282481222451,0.1996822556107604,0.5691566666666683,0.6630504283617267,0.5012249704934089,0.7351483442570388
2.0,60,12.0,12.0,552.9219999999993,0.3949760095768613,0.6678571428571428,2,731.6139999999998,0.3172224974195171,0.7299771167048055,3,128,199.2999999999984,0.3984558455121154,0.5439330543933054,1,2072.702999999996,0.5171228915334751,0.7074954296160878,4,128,0.1891695692372452,0.199716568902633,0.6634266666666675,0.651716937726937,0.3936291405672751,0.8043854677841038
2.0,60,12.0,15.0,199.1909999999996,0.4021412235048357,0.6296296296296297,1,878.3219999999981,0.3358085313158142,0.7437070938215103,4,128,198.5209999999988,0.3841732197974365,0.5380710659898477,0,3146.550999999994,0.5210121282102429,0.7184643510054844,4,128,0.1817612781453085,0.1995797420859508,0.8710633333333346,0.8204140604540338,0.57026735288447,0.9610165086681604
2.0,60,15.0,8.0,631.8790000000013,0.4234335600405854,0.6553571428571429,2,458.941,0.4749242983473686,0.6933638443935927,3,128,1073.452000000001,0.4296563055231827,0.6427503736920778,3,999.5839999999978,0.5909875622866575,0.6782449725776966,4,128,0.1742706772158522,0.1994699087175826,0.4843299999999992,0.3825002975528768,0.1120128129741107,0.4601334533088723
2.0,60,15.0,10.0,633.9320000000009,0.4072327675818271,0.6607142857142857,2,654.8310000000004,0.3876188092027164,0.7093821510297483,3,128,1082.2340000000013,0.4109589730260006,0.6472346786248132,4,2067.623999999997,0.5794041320697885,0.6910420475319927,4,128,0.1992778171905021,0.1998668886521579,0.7846666666666677,0.5717108703772826,0.5765103494499082,0.5585606773283172
