portfolio,components,train_final,train_dd,train_wr,train_pos_years,oos_final,oos_multiple,oos_dd,oos_wr,oos_trades,oos_pos_years,oos_max_day_loss,oos_max_day_risk,full_final,full_dd,ret_2023,ret_2024,ret_2025,ret_2026,growth_dd_score
A_smooth_15_20 + B_star_20_25 + C_30_20_ThuFri,3,187.49799999999868,0.541218585372181,0.4626038781163435,1,16035.509999999918,53.451699999999725,0.9334827215356218,0.5350877192982456,798,4,0.2939728222125922,0.2985938873673628,187.49799999999868,0.541218585372181,0.8144133333333208,5.189741771444996,0.3362153017385059,2.5618557044520562,14.064578093128393
A_highWR_bodyclose_6_12 + B_highWRmom_5_20 + C_30_20_ThuFri,3,197.56399999999826,0.6249718296698191,0.519916142557652,2,15413.369999999963,51.377899999999876,0.8575068866308726,0.6420798065296252,827,4,0.2963216803656662,0.29941485782071664,2722.8899999999917,0.8409197309262265,0.962063333333327,5.220883117942173,1.017986033923851,1.085898296460301,14.381414382511698
A_highWR_bodyclose_6_12 + B_highWR_5_20 + C_30_20_ThuFri,3,215.68999999999824,0.5952797504632806,0.5191489361702127,2,13867.890999999949,46.22630333333316,0.8794721112280317,0.6425178147268409,842,4,0.2944651859873146,0.2992039861669775,11843.65699999996,0.8797078361820477,0.9407133333333271,5.371468223024526,0.7704915248662967,1.1115161209919897,12.705061514091904
A_smooth_15_20 + B_highWR_5_20 + C_30_20_ThuFri,3,192.19999999999845,0.4795150445066115,0.4735376044568245,0,13030.346999999918,43.43448999999973,0.9058243286641127,0.6236162361623616,813,4,0.29085887683113804,0.2998631269920347,192.19999999999845,0.4795150445066115,0.8782699999999939,5.8284307722886775,0.4400836761579723,1.351624987344354,11.683875084947086
A_strong_20_12 + C_30_20_ThuFri,2,520.6769999999965,0.5303431732845652,0.5070093457943925,3,10535.12099999989,35.117069999999636,0.92097982731157,0.4887525562372188,489,4,0.19875071175389558,0.199558642801671,22924.10099999976,0.9230087216229146,1.4171233333333233,4.885685049859545,0.11285171633633717,1.2181205418342262,9.332350458621844
A_smooth_15_20 + B_highWRmom_5_20 + C_30_20_ThuFri,3,187.1699999999987,0.5251842362282643,0.4781420765027322,1,9668.153999999953,32.22717999999984,0.8891687667750365,0.6228070175438597,798,4,0.2971865885996553,0.2981756239133797,187.1699999999987,0.5251842362282643,0.3953233333333288,5.419295886019251,0.5785259785835755,1.2793358439891738,8.787218715109782
A_highWR_bodyclose_6_12 + C_30_20,2,119.90699999999856,0.6616199528158158,0.43037974683544306,0,8398.616999999918,27.995389999999727,0.9407907415737139,0.5147058823529411,1088,4,0.19881125374285624,0.19942881597143636,119.90699999999856,0.6616199528158158,0.6509233333333313,0.8715183624517266,0.9488380874292466,3.649323495073552,7.324087858042687
A_strong_20_12 + C_30_20,2,111.86599999999748,0.681773959548267,0.41762452107279696,0,8109.354999999781,27.031183333332603,0.9608553827499878,0.48536355051935787,1059,4,0.1993980868070078,0.19956057568558797,111.86599999999748,0.681773959548267,1.0814466666666682,0.7741907071043566,0.47920098567946456,3.948485283035507,6.962195182564165
A_strong_20_12 + B_star_20_25,2,995.1640000000032,0.4901557914377176,0.5338753387533876,4,7880.237999999979,26.267459999999932,0.699613043720015,0.5536992840095465,419,4,0.1982746137005632,0.19836870098360418,42996.040999999896,0.6967817061853482,0.9774200000000042,1.2128126548735207,0.7721044749058625,2.387545900290533,8.476548439017147
A_highWR_6_12 + B_star_20_25,2,111.9919999999986,0.7106561083050249,0.5240641711229946,1,7714.8039999999955,25.71601333333332,0.4631217275876166,0.6268041237113402,485,4,0.19490506579493327,0.198290673115856,111.9919999999986,0.7106561083050249,0.5516266666666676,1.2933566493658337,1.1852350753608678,2.3070948095082184,10.762696936764435
A_highWR_6_12 + C_30_20_ThuFri,2,117.84799999999836,0.6998986488207141,0.5,1,7028.942999999984,23.429809999999947,0.8217786073259186,0.5603603603603604,555,4,0.19890152114458803,0.19961607175532387,117.84799999999836,0.6998986488207141,0.936086666666657,3.492128451550049,0.33587554543729525,1.0166280638061855,6.761194644225839
A_strong_20_12 + B_highWRmom_5_20,2,906.0210000000009,0.5314596198086957,0.6209016393442623,4,6837.765999999977,22.792553333333256,0.6764727419247893,0.720763723150358,419,4,0.1985904677342255,0.19985294154384925,24317.40699999992,0.6851672375320335,1.4281066666666713,1.5960254354558696,0.8269248260734312,0.9792269577737023,7.523739422775511
A_highWR_bodyclose_6_12 + C_30_20_ThuFri,2,227.79199999999832,0.6224820626394922,0.5168195718654435,2,6757.13399999998,22.523779999999935,0.8183989254996206,0.5501930501930502,518,4,0.19936932641523739,0.19936932641523739,4565.1919999999855,0.8135398406413304,0.9437166666666577,3.3634223094929947,0.2976591126236354,1.0465409993657926,6.518812518349013
B_star_20_25 + C_30_20_ThuFri,2,193.0409999999997,0.45472494880305087,0.43478260869565216,0,6238.344999999961,20.794483333333204,0.9359765809890827,0.5218023255813954,688,4,0.1997835544970588,0.1997835544970588,193.0409999999997,0.45472494880305087,0.3057299999999903,5.168388564251475,0.2691622435360028,1.0342573072527266,5.460836921095489
A_strong_20_12 + B_highWR_5_20,2,870.6560000000013,0.5728171217511792,0.6061381074168798,3,6066.2269999999735,20.220756666666578,0.6739080229128768,0.7188940092165899,434,4,0.19687200669364938,0.1988466892026253,21588.25299999991,0.6742914885626146,1.3530733333333371,1.718657302081517,0.5976922195126964,0.9784011425116359,6.691794553930732
