variant,filter,tp,sl,h,train_score,train_n,train_ev,train_pf,train_wr,train_pos_years
0959,ThuFri & HIGH_VOL,25.0,25.0,480,2.9332303550687406,342,1.178985380116961,1.3182902868546094,0.5029239766081871,4
0959,gap_ratio_range>=0.35,20.0,8.0,480,2.930669228452295,223,1.1503273542600871,1.373819259656495,0.47533632286995514,4
0959,BIG_GAP,20.0,8.0,480,2.930669228452295,223,1.1503273542600871,1.373819259656495,0.47533632286995514,4
0959,HIGH_VOL & BIG_GAP,10.0,30.0,480,2.922596111265639,192,1.1380260416666712,1.3923847184360736,0.5572916666666666,4
0959,gap_ratio_range>=0.35,20.0,10.0,480,2.92084112109051,223,1.1552556053811642,1.3551853879062528,0.49327354260089684,4
0959,BIG_GAP,20.0,10.0,480,2.92084112109051,223,1.1552556053811642,1.3551853879062528,0.49327354260089684,4
0959,HIGH_VOL & BIG_GAP,25.0,12.0,480,2.915585954514153,192,1.157124999999997,1.3468388933902211,0.4947916666666667,4
0959,BIG_GAP & BIG_PREV_MOVE,20.0,20.0,1440,2.890845017444927,139,1.2150935251798605,1.255665889618844,0.48201438848920863,3
0959,gap_ratio_range_Q4,25.0,25.0,480,2.88378623105212,257,1.1559844357976679,1.3216456449953995,0.5097276264591439,4
0959,gap_ratio_range>=0.35,20.0,30.0,1440,2.8758321880663265,223,1.1815201793722037,1.2647367643675116,0.515695067264574,4
0959,BIG_GAP,20.0,30.0,1440,2.8758321880663265,223,1.1815201793722037,1.2647367643675116,0.515695067264574,4
0959,BIG_GAP & BIG_PREV_MOVE,30.0,30.0,480,2.874338520875262,139,1.151597122302156,1.3222865610579124,0.48201438848920863,4
0959,gap_ratio_range_Q4,20.0,25.0,480,2.8655535791788753,257,1.1490817120622598,1.3197250040599804,0.5097276264591439,4
0959,HIGH_VOL & BIG_GAP,20.0,10.0,480,2.848610168638779,192,1.1311510416666657,1.341517685150386,0.484375,4
0959,BIG_GAP & BIG_PREV_MOVE,30.0,25.0,480,2.8470999298221042,139,1.1416690647481982,1.3186228054676574,0.48201438848920863,4
0959,BIG_GAP & BIG_PREV_MOVE,12.0,30.0,480,2.830966124713983,139,1.112733812949641,1.3644164436234782,0.5251798561151079,4
0959,HIGH_VOL & BIG_GAP,30.0,30.0,1440,2.820495151272511,192,1.162052083333343,1.2550582618944486,0.5,4
0959,HIGH_VOL & BIG_GAP,12.0,25.0,480,2.819066061110335,192,1.1074739583333368,1.3649008099945101,0.5416666666666666,4
0959,ThuFri & HIGH_VOL,30.0,25.0,480,2.8170226141215435,342,1.1372953216374286,1.301093273076748,0.5,4
0959,BIG_GAP,25.0,10.0,480,2.799521086141324,223,1.110264573991029,1.3413528153896839,0.49327354260089684,4
0959,gap_ratio_range>=0.35,25.0,10.0,480,2.799521086141324,223,1.110264573991029,1.3413528153896839,0.49327354260089684,4
