label,start_hour,mode,tp,sl,group_type,group,n,tp_count,sl_count,eod_count,net,expectancy,positive_rate
baseline_5_15,10,raw,20.0,25.0,year_setup,2023|fresh,112,14,3,95,123.63999999999987,1.1039285714285703,0.5267857142857143
baseline_5_15,10,raw,20.0,25.0,year_setup,2023|prebroken,142,19,11,112,-195.60799999999927,-1.3775211267605583,0.3873239436619718
baseline_5_15,10,raw,20.0,25.0,year_setup,2024|fresh,127,37,11,79,318.9504999999949,2.51142125984248,0.5590551181102362
baseline_5_15,10,raw,20.0,25.0,year_setup,2024|prebroken,128,36,12,80,294.8095000000019,2.3031992187500148,0.5625
baseline_5_15,10,raw,20.0,25.0,year_setup,2025|fresh,131,52,37,42,-39.5405000000037,-0.30183587786262367,0.5267175572519084
baseline_5_15,10,raw,20.0,25.0,year_setup,2025|prebroken,116,51,26,39,404.1145000000006,3.4837456896551773,0.603448275862069
baseline_5_15,10,raw,20.0,25.0,year_setup,2026|fresh,99,57,30,12,354.8715000000011,3.5845606060606174,0.6060606060606061
baseline_5_15,10,raw,20.0,25.0,year_setup,2026|prebroken,54,32,22,0,90.0,1.6666666666666667,0.5925925925925926
robust_selected,10,raw,15.0,22.5,year,2023,254,58,18,178,-103.63449999999898,-0.40800984251968103,0.4566929133858268
robust_selected,10,raw,15.0,22.5,year,2024,255,100,33,122,419.2954999999979,1.6442960784313643,0.5725490196078431
robust_selected,10,raw,15.0,22.5,year,2025,247,144,62,41,641.4884999999981,2.597119433198373,0.6396761133603239
robust_selected,10,raw,15.0,22.5,year,2026,153,94,53,6,197.94850000000133,1.2937810457516428,0.6209150326797386
robust_selected,10,raw,15.0,22.5,direction,LONG,492,212,85,195,738.2370000000026,1.5004817073170784,0.556910569105691
robust_selected,10,raw,15.0,22.5,direction,SHORT,417,184,81,152,416.8609999999958,0.9996666666666566,0.5779376498800959
robust_selected,10,raw,15.0,22.5,setup,fresh,469,216,87,166,818.8999999999958,1.7460554371002042,0.5906183368869936
robust_selected,10,raw,15.0,22.5,setup,prebroken,440,180,79,181,336.1980000000026,0.7640863636363695,0.5409090909090909
robust_selected,10,raw,15.0,22.5,weekday,0,174,65,22,87,197.30299999999988,1.1339252873563213,0.5459770114942529
robust_selected,10,raw,15.0,22.5,weekday,1,187,74,40,73,-13.729000000002088,-0.07341711229947641,0.5454545454545454
robust_selected,10,raw,15.0,22.5,weekday,2,184,77,42,65,-121.21300000000087,-0.6587663043478308,0.4891304347826087
robust_selected,10,raw,15.0,22.5,weekday,3,184,90,30,64,608.2389999999984,3.3056467391304265,0.6304347826086957
robust_selected,10,raw,15.0,22.5,weekday,4,180,90,32,58,484.498000000003,2.691655555555572,0.6222222222222222
robust_selected,10,raw,15.0,22.5,year_direction,2023|LONG,134,31,9,94,-102.63449999999989,-0.7659291044776111,0.40298507462686567
robust_selected,10,raw,15.0,22.5,year_direction,2023|SHORT,120,27,9,84,-0.9999999999990905,-0.008333333333325754,0.5166666666666667
robust_selected,10,raw,15.0,22.5,year_direction,2024|LONG,139,53,14,72,350.7510000000011,2.523388489208641,0.5899280575539568
robust_selected,10,raw,15.0,22.5,year_direction,2024|SHORT,116,47,19,50,68.54449999999679,0.5909008620689378,0.5517241379310345
robust_selected,10,raw,15.0,22.5,year_direction,2025|LONG,138,82,30,26,515.2655,3.7338079710144925,0.6594202898550725
robust_selected,10,raw,15.0,22.5,year_direction,2025|SHORT,109,62,32,15,126.22299999999814,1.1580091743119094,0.6146788990825688
robust_selected,10,raw,15.0,22.5,year_direction,2026|LONG,81,46,32,3,-25.144999999998618,-0.31043209876541505,0.5802469135802469
robust_selected,10,raw,15.0,22.5,year_direction,2026|SHORT,72,48,21,3,223.09349999999995,3.0985208333333327,0.6666666666666666
