date,year,weekday,direction,setup,both_pre,asia_range,signal_spread,outcome,pnl,exit_idx,exit_time,full_mfe,full_mae,pre_exit_mfe,pre_exit_mae
2024-02-15,2024,3,LONG,prebroken,False,4.036499999999933,0.3500000000001364,EOD,10.103000000000065,838,2024-02-15 23:59:00+02:00,14.173000000000002,0.5370000000000346,14.173000000000002,0.5370000000000346
2024-02-16,2024,4,LONG,prebroken,False,3.2849999999998545,0.33999999999991815,EOD,7.320000000000164,838,2024-02-16 23:59:00+02:00,9.360000000000127,10.75,9.360000000000127,10.75
2024-02-19,2024,0,LONG,prebroken,False,11.2800000000002,0.3300000000001546,EOD,-3.5599999999999454,838,2024-02-19 23:59:00+02:00,0.0,8.150000000000091,0.0,8.150000000000091
2024-02-20,2024,1,LONG,prebroken,False,5.8400000000001455,0.30999999999994543,EOD,2.5299999999999727,838,2024-02-20 23:59:00+02:00,9.200000000000045,0.8600000000001273,9.200000000000045,0.8600000000001273
2024-02-21,2024,2,SHORT,fresh,False,9.404999999999745,0.3500000000001364,EOD,-3.5950000000000273,287,2024-02-21 23:59:00+02:00,2.5650000000000546,4.375,2.5650000000000546,4.375
2024-02-22,2024,3,LONG,prebroken,False,5.496499999999969,0.2899999999999636,EOD,-7.32100000000014,838,2024-02-22 23:59:00+02:00,2.8730000000000473,12.279999999999973,2.8730000000000473,12.279999999999973
2024-02-23,2024,4,SHORT,fresh,False,9.248499999999922,0.2899999999999636,EOD,-17.87999999999988,762,2024-02-23 23:59:00+02:00,1.759999999999991,23.567000000000007,1.759999999999991,23.567000000000007
2024-02-26,2024,0,LONG,prebroken,False,5.113499999999931,0.2899999999999636,EOD,-3.911000000000058,838,2024-02-26 23:59:00+02:00,2.168999999999869,9.82100000000014,2.168999999999869,9.82100000000014
2024-02-27,2024,1,LONG,prebroken,False,4.316499999999905,0.3100000000001728,EOD,-5.891000000000076,838,2024-02-27 23:59:00+02:00,3.519999999999982,7.130000000000109,3.519999999999982,7.130000000000109
2024-02-28,2024,2,SHORT,prebroken,False,5.0900000000001455,0.30999999999994543,EOD,-6.679999999999836,838,2024-02-28 23:59:00+02:00,3.3300000000001546,10.059999999999945,3.3300000000001546,10.059999999999945
