start_hour,mode,tp,sl,train_n,train_tp_count,train_sl_count,train_eod_count,train_tp_rate_all,train_win_rate_resolved,train_positive_pnl_rate,train_net,train_expectancy,train_median_pnl,train_profit_factor,train_max_drawdown,train_max_losing_streak,oos_n,oos_tp_count,oos_sl_count,oos_eod_count,oos_tp_rate_all,oos_win_rate_resolved,oos_positive_pnl_rate,oos_net,oos_expectancy,oos_median_pnl,oos_profit_factor,oos_max_drawdown,oos_max_losing_streak,all_n,all_tp_count,all_sl_count,all_eod_count,all_tp_rate_all,all_win_rate_resolved,all_positive_pnl_rate,all_net,all_expectancy,all_median_pnl,all_profit_factor,all_max_drawdown,all_max_losing_streak,neighbor_score
10,raw,6.5,20.0,756,516,94,146,0.6825396825396826,0.8459016393442623,0.7116402116402116,696.0164999999995,0.9206567460317454,6.5,1.2573882259881612,161.41249999999968,6,153,119,32,2,0.7777777777777778,0.7880794701986755,0.7777777777777778,114.67849999999999,0.749532679738562,6.5,1.1740661165429482,87.0,4,909,635,126,148,0.6985698569856986,0.8344283837056504,0.7227722772277227,810.6949999999995,0.8918536853685363,6.5,1.2410650460366601,161.41249999999968,6,0.7817793650793649
10,raw,9.0,20.0,756,433,119,204,0.5727513227513228,0.7844202898550725,0.6362433862433863,630.2504999999978,0.8336646825396796,9.0,1.1839457581528905,171.28649999999925,6,153,108,42,3,0.7058823529411765,0.72,0.7058823529411765,111.85350000000017,0.7310686274509814,9.0,1.130040057129803,164.8814999999995,4,909,541,161,207,0.5951595159515951,0.7706552706552706,0.647964796479648,742.103999999998,0.8163960396039582,9.0,1.1731286471192464,171.28649999999925,6,0.7797666446208088
10,raw,10.0,20.0,756,406,124,226,0.5370370370370371,0.7660377358490567,0.6177248677248677,714.5644999999984,0.9451911375661354,10.0,1.2004537785352594,224.04449999999997,6,153,107,43,3,0.6993464052287581,0.7133333333333334,0.6993464052287581,189.85350000000017,1.2408725490196089,10.0,1.2157067033726774,139.8814999999995,4,909,513,167,229,0.5643564356435643,0.7544117647058823,0.6314631463146315,904.4179999999985,0.9949592959295913,10.0,1.203474063760087,224.04449999999997,6,0.7777233796296277
10,raw,7.0,17.5,756,491,126,139,0.6494708994708994,0.7957860615883307,0.6825396825396826,621.9114999999999,0.8226342592592591,7.0,1.2165073063337224,160.74099999999976,6,153,116,35,2,0.7581699346405228,0.7682119205298014,0.7581699346405228,180.67849999999999,1.1809052287581698,7.0,1.2861909502527633,77.0,4,909,607,161,141,0.6677667766776678,0.7903645833333334,0.6952695269526953,802.5899999999999,0.8829372937293728,7.0,1.2290630587691345,160.74099999999976,6,0.7682426366843023
10,raw,8.0,17.5,756,452,139,165,0.5978835978835979,0.7648054145516074,0.6455026455026455,520.7374999999981,0.6888062169312145,8.0,1.1626410923871986,175.7799999999993,6,153,110,40,3,0.7189542483660131,0.7333333333333333,0.7189542483660131,159.85350000000017,1.0447941176470599,8.0,1.221973584541479,91.3814999999995,4,909,562,179,168,0.6182618261826183,0.7584345479082322,0.6578657865786579,680.5909999999983,0.7487249724972479,8.0,1.173535819965042,175.7799999999993,6,0.761982749118164
10,raw,6.5,25.0,756,521,65,170,0.6891534391534392,0.8890784982935154,0.7182539682539683,595.1830000000016,0.7872791005291027,6.5,1.2097573061204934,170.96099999999888,6,153,127,24,2,0.8300653594771242,0.8410596026490066,0.8300653594771242,206.67849999999999,1.3508398692810457,6.5,1.3339872645019606,74.0,2,909,648,89,172,0.7128712871287128,0.8792401628222524,0.7370737073707371,801.8615000000016,0.8821358635863603,6.5,1.2319996018870445,170.96099999999888,6,0.755949867724869
10,raw,6.5,17.5,756,504,122,130,0.6666666666666666,0.805111821086262,0.6957671957671958,555.7135000000003,0.7350707671957676,6.5,1.2008757783205104,168.6174999999996,6,153,118,33,2,0.7712418300653595,0.7814569536423841,0.7712418300653595,170.67849999999999,1.1155457516339868,6.5,1.2862189272062134,78.76500000000033,4,909,622,155,132,0.6842684268426843,0.8005148005148005,0.7084708470847084,726.3920000000003,0.7991111111111114,6.5,1.2160096943744378,168.6174999999996,6,0.7425678571428569
10,raw,9.0,17.5,756,422,152,182,0.5582010582010583,0.735191637630662,0.6190476190476191,483.5979999999988,0.6396798941798926,9.0,1.139433105206259,190.5339999999992,6,153,107,43,3,0.6993464052287581,0.7133333333333334,0.6993464052287581,190.35350000000017,1.244140522875818,9.0,1.246365575978148,118.3814999999995,5,909,529,195,185,0.581958195819582,0.7306629834254144,0.6325632563256326,673.951499999999,0.7414207920792069,9.0,1.1589147698093023,190.5339999999992,6,0.7396338918283342
10,raw,10.0,17.5,756,394,159,203,0.5211640211640212,0.7124773960216998,0.5978835978835979,523.4224999999992,0.6923578042328032,10.0,1.1442227084240597,250.14899999999943,6,153,106,44,3,0.6928104575163399,0.7066666666666667,0.6928104575163399,269.85350000000017,1.763748366013073,10.0,1.3415233757284253,97.3814999999995,5,909,500,203,206,0.5500550055005501,0.7112375533428165,0.6138613861386139,793.2759999999994,0.872690869086908,10.0,1.1794980870758371,250.14899999999943,6,0.7368152557319209
10,raw,6.0,20.0,756,532,90,134,0.7037037037037037,0.8553054662379421,0.7275132275132276,642.9174999999998,0.8504199735449732,6.0,1.2490920823302667,135.91749999999956,6,153,121,30,2,0.7908496732026143,0.8013245033112583,0.7908496732026143,107.17849999999999,0.7005130718954248,6.0,1.1731977638139592,88.0,4,909,653,120,136,0.7183718371837183,0.8447606727037517,0.7381738173817382,750.0959999999998,0.8251881188118809,6.0,1.2344148893781455,135.91749999999956,6,0.7264956349206352
10,raw,12.0,15.0,756,339,211,206,0.44841269841269843,0.6163636363636363,0.5436507936507936,607.6209999999996,0.803731481481481,3.4349999999998317,1.1611696651296044,327.3444999999988,7,153,90,61,2,0.5882352941176471,0.5960264900662252,0.5882352941176471,146.17849999999999,0.9554150326797385,12.0,1.1565379464919152,102.0,6,909,429,272,208,0.47194719471947194,0.6119828815977175,0.5511551155115512,753.7994999999996,0.8292623762376233,5.376499999999851,1.1602501715600613,327.3444999999988,7,0.7242491732804222
10,raw,12.0,8.0,756,284,370,102,0.37566137566137564,0.43425076452599387,0.4497354497354497,557.0305000000005,0.7368128306878314,-4.831749999999943,1.1797580015360885,315.97249999999894,7,153,59,94,0,0.38562091503267976,0.38562091503267976,0.38562091503267976,-44.0,-0.2875816993464052,-8.0,0.9414893617021277,152.0,9,909,343,464,102,0.3773377337733773,0.4250309789343247,0.4389438943894389,513.0305000000005,0.5643899889989005,-8.0,1.1332276837419955,315.97249999999894,9,0.707924823633157
10,raw,6.0,17.5,756,520,117,119,0.6878306878306878,0.8163265306122449,0.7116402116402116,500.1945000000005,0.6616329365079372,6.0,1.1886269021046916,145.1224999999995,6,153,120,31,2,0.7843137254901961,0.7947019867549668,0.7843137254901961,158.67849999999999,1.0371143790849673,6.0,1.2826873725663457,75.5,4,909,640,148,121,0.7040704070407041,0.8121827411167513,0.7238723872387238,658.8730000000005,0.7248327832783283,6.0,1.2050591206963521,145.1224999999995,6,0.6895173721340391
10,raw,6.0,25.0,756,536,63,157,0.708994708994709,0.8948247078464107,0.7328042328042328,523.9325000000017,0.6930324074074097,6.0,1.1923373782616453,178.59649999999874,6,153,128,23,2,0.8366013071895425,0.847682119205298,0.8366013071895425,174.17849999999999,1.1384215686274508,6.0,1.2933179415026232,74.55649999999969,2,909,664,86,159,0.7304730473047305,0.8853333333333333,0.7502750275027503,698.1110000000017,0.7679988998899908,6.0,1.2104106575041071,178.59649999999874,6,0.6884083333333353
10,raw,12.0,9.0,756,295,343,118,0.39021164021164023,0.46238244514106586,0.4669312169312169,496.38999999999965,0.6566005291005287,-3.0954999999999018,1.1507814655956023,395.9044999999992,7,153,63,90,0,0.4117647058823529,0.4117647058823529,0.4117647058823529,-54.0,-0.35294117647058826,-9.0,0.9333333333333333,147.0,8,909,358,433,118,0.39383938393839385,0.4525916561314791,0.45764576457645767,442.38999999999965,0.4866776677667763,-3.622000000000071,1.1078443549431993,395.9044999999992,8,0.6819464285714282
10,raw,12.0,12.5,756,320,256,180,0.42328042328042326,0.5555555555555556,0.5158730158730159,505.06899999999905,0.6680806878306865,1.267500000000041,1.1390120866193958,307.1399999999992,7,153,79,74,0,0.5163398692810458,0.5163398692810458,0.5163398692810458,23.0,0.1503267973856209,12.0,1.0248648648648648,147.0,8,909,399,330,180,0.4389438943894389,0.5473251028806584,0.5159515951595159,528.068999999999,0.5809339933993389,1.4104999999999563,1.1158484549195593,307.1399999999992,8,0.6811784611992935
10,raw,12.0,10.0,756,305,311,140,0.40343915343915343,0.49512987012987014,0.48412698412698413,552.1529999999998,0.7303611111111108,-1.1849999999999454,1.1634553772796927,350.43149999999946,7,153,67,86,0,0.43790849673202614,0.43790849673202614,0.43790849673202614,-56.0,-0.3660130718954248,-10.0,0.9348837209302325,138.0,8,909,372,397,140,0.40924092409240925,0.4837451235370611,0.47634763476347636,496.1529999999998,0.5458228822882286,-2.126499999999396,1.1170723155201934,350.43149999999946,8,0.6743091931216924
10,raw,7.5,15.0,756,459,172,125,0.6071428571428571,0.7274167987321711,0.6468253968253969,507.0874999999992,0.6707506613756603,7.5,1.1678391035032765,155.8234999999995,7,153,105,46,2,0.6862745098039216,0.695364238410596,0.6862745098039216,78.67849999999999,0.5142385620915032,7.5,1.110999031491003,115.26500000000033,5,909,564,218,127,0.6204620462046204,0.7212276214833759,0.6534653465346535,585.7659999999992,0.6444070407040695,7.5,1.157037907633938,155.8234999999995,7,0.6731870453042317
10,raw,12.0,13.0,756,323,250,183,0.42724867724867727,0.5636998254799301,0.5198412698412699,476.9584999999993,0.6308974867724858,1.4427499999999327,1.1289988909727942,335.1654999999994,7,153,82,71,0,0.5359477124183006,0.5359477124183006,0.5359477124183006,61.0,0.39869281045751637,12.0,1.0660888407367282,116.0,8,909,405,321,183,0.44554455445544555,0.5578512396694215,0.5225522552255225,537.9584999999993,0.5918135313531345,2.4650000000001455,1.1164315437384051,335.1654999999994,8,0.67134193121693
10,raw,7.0,15.0,756,480,162,114,0.6349206349206349,0.7476635514018691,0.6653439153439153,573.9599999999998,0.759206349206349,7.0,1.202105707947463,160.3699999999999,7,153,108,43,2,0.7058823529411765,0.7152317880794702,0.7058823529411765,92.17849999999999,0.6024738562091503,7.0,1.1388603713498282,102.0,5,909,588,205,116,0.6468646864686468,0.7414880201765448,0.6721672167216721,666.1384999999998,0.7328256325632561,7.0,1.1901231305056639,160.3699999999999,7,0.6613690806878296
10,raw,12.0,12.0,756,317,271,168,0.4193121693121693,0.5391156462585034,0.5105820105820106,491.3914999999986,0.6499887566137548,0.9904999999999973,1.1361439859764277,314.75749999999925,7,153,77,76,0,0.5032679738562091,0.5032679738562091,0.5032679738562091,12.0,0.0784313725490196,12.0,1.013157894736842,144.0,8,909,394,347,168,0.43344334433443343,0.5317139001349528,0.5093509350935094,503.3914999999986,0.5537860286028587,1.0199999999999818,1.1113365107755941,314.75749999999925,8,0.6566678571428559
10,raw,12.0,11.0,756,309,294,153,0.4087301587301587,0.5124378109452736,0.4947089947089947,456.6324999999988,0.6040112433862418,-0.6017500000001519,1.1291265560855321,320.16349999999943,7,153,72,81,0,0.47058823529411764,0.47058823529411764,0.47058823529411764,-27.0,-0.17647058823529413,-11.0,0.9696969696969697,139.0,8,909,381,375,153,0.41914191419141916,0.503968253968254,0.49064906490649063,429.6324999999988,0.4726430143014288,-0.8399999999999181,1.097041267087802,320.16349999999943,8,0.656656635802468
10,raw,8.0,15.0,756,442,177,137,0.5846560846560847,0.7140549273021002,0.6296296296296297,505.0889999999981,0.6681071428571403,8.0,1.1611703950563543,162.97749999999996,7,153,102,49,2,0.6666666666666666,0.6754966887417219,0.6666666666666666,62.178499999999985,0.40639542483660124,8.0,1.0824843812494072,138.26500000000033,5,909,544,226,139,0.5984598459845984,0.7064935064935065,0.6358635863586358,567.2674999999981,0.6240566556655645,8.0,1.145913262161067,162.97749999999996,7,0.6474010003306863
10,raw,6.5,15.0,756,494,155,107,0.6534391534391535,0.7611710323574731,0.6798941798941799,535.1419999999998,0.7078597883597881,6.5,1.1968519404083133,167.74649999999974,7,153,110,41,2,0.7189542483660131,0.7284768211920529,0.7189542483660131,81.17849999999999,0.5305784313725489,6.5,1.1280778578827004,85.0,5,909,604,196,109,0.6644664466446645,0.755,0.6864686468646864,616.3204999999998,0.6780203520352033,6.5,1.1838488641378817,167.74649999999974,7,0.6425196759259257
10,raw,5.5,20.0,756,546,86,124,0.7222222222222222,0.8639240506329114,0.7380952380952381,561.8455000000001,0.7431818783068784,5.5,1.2282673038240415,147.14649999999938,6,153,126,26,1,0.8235294117647058,0.8289473684210527,0.8235294117647058,162.73499999999967,1.06362745098039,5.5,1.306893722949845,63.5,2,909,672,112,125,0.7392739273927392,0.8571428571428571,0.7524752475247525,724.5804999999998,0.7971182618261824,5.5,1.242203873895496,147.14649999999938,6,0.618990608465609
10,raw,7.5,13.0,756,444,204,108,0.5873015873015873,0.6851851851851852,0.6243386243386243,434.8964999999989,0.5752599206349193,7.5,1.146448831396942,147.8234999999995,7,153,97,56,0,0.6339869281045751,0.6339869281045751,0.6339869281045751,-0.5,-0.0032679738562091504,7.5,0.9993131868131868,154.5,7,909,541,260,108,0.5951595159515951,0.6754057428214731,0.6259625962596259,434.3964999999989,0.4778839383938382,7.5,1.1174802183245733,154.5,7,0.6180950727513213
10,raw,7.0,13.0,756,464,193,99,0.6137566137566137,0.7062404870624048,0.6428571428571429,491.7279999999996,0.6504338624338619,7.0,1.1752746061981725,134.8484999999996,7,153,101,52,0,0.6601307189542484,0.6601307189542484,0.6601307189542484,31.0,0.20261437908496732,7.0,1.0458579881656804,121.0,7,909,565,245,99,0.6215621562156216,0.6975308641975309,0.6457645764576457,522.7279999999996,0.5750583058305826,7.0,1.1501456855031433,134.8484999999996,7,0.6118042328042317
