tp2,sl2,b_train_final,b_train_dd,b_train_wr,b_train_pos_years,b_train_score,b_oos_final,b_oos_dd,b_oos_wr,b_oos_trades,b_oos_reentries,b_oos_pos_years,ab_train_final,ab_train_dd,ab_train_wr,ab_train_pos_years,ab_train_score,ab_oos_final,ab_oos_dd,ab_oos_wr,ab_oos_trades,ab_oos_reentries,ab_oos_pos_years,ab_oos_maxrisk,ab_oos_maxdayloss,b_full_final,ab_full_final,b_ret_2023,b_ret_2024,b_ret_2025,b_ret_2026,ab_ret_2023,ab_ret_2024,ab_ret_2025,ab_ret_2026
30.0,10.0,563.7520000000034,0.4343020247970735,0.6356466876971609,3,0.3445242303501912,770.5079999999994,0.41627075525960544,0.6666666666666666,504,195,4,194.50399999999854,0.40617081168216945,0.5328185328185329,1,-0.8816603420274052,1689.715999999997,0.637657109764761,0.6579804560260586,614,195,4,0.19878607967346,0.1969809388111555,1605.2770000000028,194.50399999999854,0.13843000000000227,0.4435377376445382,0.2956086083446501,0.20627853237896687,0.46725666666666865,0.3985237756629756,0.3421031257411382,1.0451757210153572
15.0,10.0,562.353000000003,0.4380647885402196,0.638801261829653,3,0.33695982740624375,1017.3619999999992,0.3177868040143482,0.6904761904761905,504,195,4,199.128999999999,0.3920504851286268,0.5346938775510204,1,-0.8390977736669039,1591.320999999997,0.5558231687827133,0.6775244299674267,614,195,4,0.19864869227082757,0.19678821947003022,2004.5240000000022,199.128999999999,0.01505666666666694,0.34629265361211514,1.1547043800872703,0.1516931903342007,0.34201333333333417,0.3043511738581821,0.8820250715527511,0.6101256575545819
10.0,15.0,454.20000000000186,0.3589952824806901,0.6514195583596214,4,0.3301115236663295,410.38300000000186,0.5166957112577921,0.7182539682539683,504,195,3,197.8179999999993,0.3990911244904297,0.5377777777777778,1,-0.8552080766588913,754.588,0.6459164748088253,0.7003257328990228,614,195,4,0.19954877034306154,0.18248508184455922,601.2530000000045,197.8179999999993,0.15193666666666794,0.4015527474022038,0.16730257045524954,-0.27415044315092507,0.39212000000000224,0.201986897681234,0.35776395288380347,0.107102824580245
15.0,6.0,542.9080000000024,0.42339950454903874,0.613564668769716,3,0.32156807068419957,776.9670000000006,0.28413804150703714,0.6468253968253969,504,195,4,195.95799999999895,0.4100475976866522,0.5381818181818182,1,-0.8794463809794195,1684.431999999998,0.520014443800827,0.6416938110749185,614,195,4,0.19953607861721506,0.19645593493379485,1561.168000000003,195.95799999999895,0.11347333333333309,0.19869657108986583,0.675678983055078,0.15798094392123585,0.38682666666666665,0.37477646809983445,0.7473412206520205,0.6853893011230392
15.0,8.0,529.6190000000026,0.40701465887976573,0.6277602523659306,3,0.318905615968316,658.7890000000002,0.3274338067355418,0.6666666666666666,504,195,2,196.38499999999863,0.4015553435986855,0.5328185328185329,1,-0.865805170256185,1762.3249999999982,0.4559507233379754,0.6579804560260586,614,195,4,0.1979742986937234,0.1887994713614805,1180.1460000000027,196.38499999999863,-0.007050000000000001,0.26263155244473735,0.7754726562603835,-0.013477310947020649,0.31990666666666745,0.37434970149404534,0.8804069797355356,0.7221557178804401
20.0,15.0,538.3110000000031,0.4210356148489732,0.6435331230283912,3,0.3162559053576559,933.9980000000019,0.5256635605366791,0.6984126984126984,504,195,4,197.7989999999986,0.39914884051543803,0.5328185328185329,1,-0.8553820457879463,1329.6990000000003,0.6698406913922086,0.6840390879478827,614,195,4,0.1972688132801363,0.1972688132801363,1494.206000000008,197.7989999999986,0.23813333333333575,0.2954528322205505,0.5815147251669288,0.227333054751786,0.3714866666666694,0.2139940599738508,0.5870072253264753,0.6774324176011322
10.0,10.0,485.1570000000013,0.35421472287922645,0.6451104100946372,3,0.30250019935132383,680.3390000000006,0.3605917219800661,0.7043650793650794,504,195,2,195.9989999999991,0.4016065115313473,0.5374449339207048,1,-0.867841708046839,1351.5689999999984,0.5226453405411797,0.6889250814332247,614,195,4,0.19952015402955925,0.17736550152312666,972.8730000000019,195.9989999999991,-0.012566666666665838,0.600837187320665,0.4684004757325757,-0.022977314210463562,0.3143900000000015,0.40415198938924557,0.4115871774541633,0.729302211321075
20.0,6.0,536.6370000000024,0.4321013081095985,0.613564668769716,3,0.2982026476751708,899.1200000000003,0.339388612169157,0.6408730158730159,504,195,4,1003.6610000000046,0.38896432130395614,0.6083445491251682,4,1.0825252854163527,2089.6139999999978,0.501566701893554,0.6368078175895765,614,195,4,0.19868589151352992,0.19868589151352992,1857.5730000000028,12826.479999999996,0.1725166666666671,0.3833833207772479,0.6339917634583585,0.1307978669886305,0.3922100000000015,0.32522153027680134,0.8728482229320489,1.0158072339366453
30.0,8.0,525.8700000000028,0.4178523480138919,0.6246056782334385,3,0.29717088942761527,651.6749999999995,0.3572617047870025,0.6468253968253969,504,195,4,195.17399999999884,0.40524562788160867,0.5381818181818182,1,-0.8769726039101692,1612.9769999999967,0.5304948732636581,0.6416938110749185,614,195,4,0.19782002334276258,0.18757832860675097,1391.402000000002,195.17399999999884,0.1135466666666678,0.2065233009243761,0.32903368266443844,0.21654921360899815,0.3742000000000014,0.28077911997283267,0.4677205528641206,1.0813224134393713
20.0,8.0,520.7990000000029,0.4122826700918445,0.6261829652996845,3,0.29500009148944273,698.0400000000009,0.30197601662610235,0.6587301587301587,504,195,4,195.4409999999989,0.4044319979034577,0.5381818181818182,1,-0.8745071282296352,2254.0829999999996,0.4509470333299767,0.6514657980456026,614,195,4,0.1956433486967708,0.17823993412252045,1642.9820000000052,195.4409999999989,0.051993333333334,0.213867008029204,0.5610790041086506,0.1672128954584975,0.3720133333333342,0.36731664415311904,0.8516275078048197,1.1630551501176019
