tp1,tp2,sl,first_frac,runner_stop,fallback_001,train_final,train_multiple,train_dd,train_wr,train_trades,train_pos_years,train_score
5.0,20.0,20.0,0.5,ORIG,TP2,790.3580000000036,2.6345266666666785,0.3504326429073599,0.5517241379310345,464,4,0.8956194647888487
6.0,30.0,25.0,0.5,BE,TP2,708.7930000000017,2.362643333333339,0.2711432128072257,0.5689655172413793,464,4,0.8937377114496502
6.0,30.0,25.0,0.7,BE,TP2,708.7930000000017,2.362643333333339,0.2711432128072257,0.5689655172413793,464,4,0.8937377114496502
6.0,30.0,25.0,0.3,BE,TP2,708.7930000000017,2.362643333333339,0.2711432128072257,0.5689655172413793,464,4,0.8937377114496502
5.0,20.0,20.0,0.3,ORIG,TP2,787.3380000000036,2.624460000000012,0.3504326429073599,0.5517241379310345,464,4,0.8917910926708554
5.0,15.0,25.0,0.7,ORIG,TP2,694.0250000000021,2.313416666666674,0.25768139973872617,0.5495689655172413,464,4,0.8908556186092667
5.0,15.0,25.0,0.3,ORIG,TP2,694.0250000000021,2.313416666666674,0.25768139973872617,0.5495689655172413,464,4,0.8908556186092667
5.0,15.0,25.0,0.5,ORIG,TP2,694.0250000000021,2.313416666666674,0.25768139973872617,0.5495689655172413,464,4,0.8908556186092667
10.0,15.0,20.0,0.7,BE,TP2,725.0090000000027,2.4166966666666756,0.2903309798192923,0.540948275862069,464,4,0.8904547711584857
5.0,20.0,25.0,0.7,BE+2,TP2,697.3230000000005,2.3244100000000016,0.26283080414125676,0.584051724137931,464,4,0.8886446578043734
5.0,20.0,25.0,0.5,BE+2,TP2,697.3230000000005,2.3244100000000016,0.26283080414125676,0.584051724137931,464,4,0.8886446578043734
5.0,20.0,25.0,0.3,BE+2,TP2,697.3230000000005,2.3244100000000016,0.26283080414125676,0.584051724137931,464,4,0.8886446578043734
6.0,25.0,20.0,0.7,ORIG,TP2,720.3540000000032,2.4011800000000108,0.2872768600561861,0.540948275862069,464,4,0.8881365221162676
4.0,20.0,25.0,0.7,BE,TP2,663.2450000000001,2.210816666666667,0.23314950597699152,0.5926724137931034,464,4,0.878610146628787
4.0,20.0,25.0,0.3,BE,TP2,663.2450000000001,2.210816666666667,0.23314950597699152,0.5926724137931034,464,4,0.878610146628787
4.0,20.0,25.0,0.5,BE,TP2,663.2450000000001,2.210816666666667,0.23314950597699152,0.5926724137931034,464,4,0.878610146628787
4.0,15.0,25.0,0.5,BE+2,TP2,673.9880000000003,2.2466266666666677,0.24523639236115038,0.5926724137931034,464,4,0.8783607022557549
4.0,15.0,25.0,0.3,BE+2,TP2,673.9880000000003,2.2466266666666677,0.24523639236115038,0.5926724137931034,464,4,0.8783607022557549
4.0,15.0,25.0,0.7,BE+2,TP2,673.9880000000003,2.2466266666666677,0.24523639236115038,0.5926724137931034,464,4,0.8783607022557549
4.0,25.0,25.0,0.3,BE,TP2,673.0530000000001,2.2435100000000006,0.24554984626900636,0.5883620689655172,464,4,0.8765493112819588
4.0,25.0,25.0,0.7,BE,TP2,673.0530000000001,2.2435100000000006,0.24554984626900636,0.5883620689655172,464,4,0.8765493112819588
4.0,25.0,25.0,0.5,BE,TP2,673.0530000000001,2.2435100000000006,0.24554984626900636,0.5883620689655172,464,4,0.8765493112819588
4.0,25.0,25.0,0.3,BE+2,TP2,662.0629999999999,2.206876666666666,0.23386777219341298,0.5905172413793104,464,4,0.8758567504548294
4.0,25.0,25.0,0.7,BE+2,TP2,662.0629999999999,2.206876666666666,0.23386777219341298,0.5905172413793104,464,4,0.8758567504548294
4.0,25.0,25.0,0.5,BE+2,TP2,662.0629999999999,2.206876666666666,0.23386777219341298,0.5905172413793104,464,4,0.8758567504548294
8.0,30.0,20.0,0.5,BE,TP2,690.0360000000028,2.3001200000000095,0.2666562470152032,0.5538793103448276,464,4,0.8729753620166161
8.0,30.0,20.0,0.3,BE,TP2,690.0360000000028,2.3001200000000095,0.2666562470152032,0.5538793103448276,464,4,0.8729753620166161
5.0,20.0,25.0,0.5,BE,TP2,693.5330000000006,2.3117766666666686,0.2718421158430631,0.584051724137931,464,4,0.8710294922936469
