tp1,tp2,sl,first_frac,runner_stop,fallback_001,train_final,train_multiple,train_dd,train_wr,train_trades,train_pos_years,train_score,oos_final,oos_multiple,oos_dd,oos_wr,oos_trades,oos_pos_years,full_final,full_dd,ret_2023,ret_2024,ret_2025,ret_2026,growth_dd
10.0,20.0,25.0,0.3,ORIG,TP2,728.7380000000026,2.4291266666666753,0.23991104949899647,0.5344827586206896,464,4,0.9636518794969686,1378.8270000000002,4.596090000000001,0.4724467296870392,0.5922330097087378,309,4,4015.9929999999995,0.4456329180553841,0.1705700000000001,0.8460408177212881,0.463615805613653,0.45319115075772487,1.9013004544408367
4.0,30.0,25.0,0.5,ORIG,TP2,705.0760000000016,2.3502533333333386,0.22130269244050668,0.5366379310344828,464,4,0.9557644889696703,1388.7989999999945,4.629329999999982,0.48186687478519535,0.5631067961165048,309,4,2642.2879999999914,0.4993067013849055,0.37093000000000065,0.7069896590878755,0.14994679858527493,0.7202605165987672,1.8929214990774736
10.0,20.0,25.0,0.7,ORIG,TP2,729.1000000000022,2.4303333333333406,0.25986455086894855,0.5344827586206896,464,4,0.9372112784831059,1301.3370000000004,4.337790000000002,0.4342759758904145,0.5954692556634305,309,4,2712.3650000000016,0.44869993806659847,0.1705700000000001,0.8460408177212881,0.5214769635155343,0.31936346299489915,1.8836796044881359
4.0,30.0,25.0,0.3,ORIG,TP2,705.0760000000016,2.3502533333333386,0.22130269244050668,0.5366379310344828,464,4,0.9557644889696703,1401.0389999999943,4.670129999999981,0.4943128367399317,0.5631067961165048,309,4,3184.631999999986,0.5389897524683005,0.37093000000000065,0.7069896590878755,0.1678800197706909,0.7087737785534731,1.8808883026211434
6.0,25.0,25.0,0.7,ORIG,TP2,726.002000000002,2.4200066666666733,0.2471318240899664,0.5344827586206896,464,4,0.9501423324642853,1337.8509999999997,4.459503333333332,0.45945731182328853,0.6019417475728155,309,4,2641.235999999999,0.45613951498065414,0.31165333333333445,0.9052671437575026,0.4109908431870728,0.26469951533358915,1.8750235263149972
10.0,30.0,25.0,0.5,ORIG,TP2,729.6830000000025,2.432276666666675,0.2561150991678765,0.5301724137931034,464,4,0.9430723347219152,1364.0659999999957,4.546886666666652,0.4941129975710553,0.5792880258899676,309,4,3417.990999999992,0.5111423288817379,0.37093000000000065,0.587547625820922,0.3073262625875768,0.5980416735982068,1.8316944945931666
10.0,30.0,25.0,0.7,ORIG,TP2,735.7600000000023,2.452533333333341,0.23468974330921988,0.5301724137931034,464,4,0.9802903504707974,1247.6989999999978,4.158996666666659,0.4426259454679758,0.5792880258899676,309,4,2496.106999999996,0.5125376098089925,0.37093000000000065,0.587547625820922,0.3885193552092423,0.3762413150687336,1.7866043490887897
10.0,30.0,25.0,0.3,ORIG,TP2,729.6830000000025,2.432276666666675,0.2561150991678765,0.5301724137931034,464,4,0.9430723347219152,1318.1459999999952,4.393819999999984,0.5037324964723641,0.5728155339805825,309,4,3802.8809999999835,0.5779303624545616,0.37093000000000065,0.587547625820922,0.243658919477725,0.6233005260980065,1.7496911407871358
10.0,15.0,20.0,0.5,ORIG,TP2,792.314000000004,2.64104666666668,0.30414295146637166,0.5387931034482759,464,4,0.9605823187537513,1227.7779999999996,4.0925933333333315,0.46203615840618506,0.5857605177993528,309,4,2981.6840000000034,0.5121886093846937,0.14353666666666576,0.6006949201454028,0.9171534920311117,0.1662268778412923,1.7151748865727787
8.0,20.0,25.0,0.7,ORIG,TP2,729.6190000000022,2.432063333333341,0.24615671610151485,0.5323275862068966,464,4,0.9564284386944669,1192.3939999999998,3.9746466666666658,0.440095779212031,0.6051779935275081,309,4,2548.784,0.44761965719829677,0.1705700000000001,0.9111002901720295,0.5338380594913257,0.1583455897353201,1.7129976111993237
8.0,30.0,25.0,0.7,ORIG,TP2,728.5880000000025,2.4286266666666747,0.26087966136656376,0.5280172413793104,464,4,0.9351383969954185,1161.1729999999975,3.870576666666658,0.42255842735410165,0.5825242718446602,309,4,2304.395999999995,0.4849964576897694,0.37093000000000065,0.6691807750942842,0.35334938579662256,0.24981890551119101,1.7068478442586443
10.0,30.0,20.0,0.7,BE,TP2,758.0410000000029,2.526803333333343,0.28340140228045857,0.5387931034482759,464,4,0.9443631061545222,1218.547,4.061823333333334,0.46163534529974387,0.6148867313915858,309,4,2569.8669999999997,0.5131632216459725,0.28988000000000214,0.6352528917418734,0.8311256289665887,0.05164377189401659,1.7031376801400138
10.0,15.0,20.0,0.3,ORIG,TP2,797.314000000004,2.6577133333333465,0.30414295146637166,0.5387931034482759,464,4,0.9668731194810009,1240.1979999999996,4.133993333333332,0.4821379736610398,0.5825242718446602,309,4,3586.8920000000035,0.514263956179776,0.14353666666666576,0.6006949201454028,0.8214030768334197,0.23995248940709746,1.689817613395545
8.0,20.0,20.0,0.7,ORIG,TP2,769.8460000000032,2.566153333333344,0.2910390985363977,0.5366379310344828,464,4,0.9495052371647286,1166.4049999999993,3.8880166666666645,0.4395223086487583,0.5792880258899676,309,3,3102.6129999999994,0.4758854320295791,0.19597333333333378,0.6709764989185965,1.005569334798913,-0.02993999525950075,1.6769050844110749
6.0,30.0,25.0,0.7,ORIG,TP2,734.3700000000024,2.447900000000008,0.2632746419007943,0.5344827586206896,464,4,0.9398097475764374,1209.8879999999967,4.032959999999989,0.471746666796144,0.5889967637540453,309,4,2963.049999999992,0.49441523651740665,0.37093000000000065,0.8166962086564162,0.3126722334572163,0.233587686635643,1.66979679011253
5.0,30.0,20.0,0.3,ORIG,TP2,795.5430000000038,2.6518100000000127,0.3249880453112837,0.5495689655172413,464,4,0.9365085645445985,1386.7259999999924,4.622419999999974,0.5998748366745493,0.5663430420711975,309,4,4858.419999999981,0.5943585324503836,0.46727000000000163,0.6752994790779321,0.2309640849701846,0.5276417892032694,1.6510857021897303
6.0,20.0,25.0,0.7,ORIG,TP2,772.3600000000024,2.5745333333333416,0.25280114277697324,0.5387931034482759,464,4,1.004386745169226,1161.1290000000004,3.870430000000001,0.45062767184010893,0.6019417475728155,309,4,3138.155999999998,0.47287714182613216,0.1705700000000001,0.9236269509726078,0.41539283694683204,0.21440621506093827,1.6456728393625963
10.0,15.0,20.0,0.7,ORIG,TP2,778.0260000000028,2.5934200000000094,0.30414295146637166,0.5387931034482759,464,4,0.9423844835073255,1120.3149999999998,3.7343833333333327,0.4373769877222032,0.5889967637540453,309,4,3070.3070000000016,0.5181513577153966,0.14353666666666576,0.6006949201454028,0.8216161388071388,0.1199622119032504,1.615126215955717
6.0,30.0,25.0,0.3,ORIG,TP2,734.3700000000024,2.447900000000008,0.2632746419007943,0.5344827586206896,464,4,0.9398097475764374,1294.6499999999924,4.315499999999974,0.5592269919214347,0.56957928802589,309,4,3973.585999999983,0.5664151618001755,0.37093000000000065,0.8166962086564162,0.14903054061396026,0.5080021432232213,1.6116557719383204
